Date,Open,High,Low,Close,Volume
12/29/2023,"0.600","0.720","0.600","0.600","64,000"
11/24/2023,"0.690","0.690","0.690","0.690","12,000"
11/23/2023,"0.680","0.680","0.680","0.680","1,000"
10/31/2023,"0.550","0.680","0.550","0.680","25,000"
10/19/2023,"0.570","0.570","0.570","0.570","2,000"
10/17/2023,"0.560","0.570","0.560","0.570","10,000"
10/16/2023,"0.690","0.690","0.690","0.690","1,000"
10/05/2023,"0.690","0.690","0.690","0.690","1,000"
10/04/2023,"0.680","0.680","0.680","0.680","5,000"
10/02/2023,"0.540","0.540","0.540","0.540","500,000"
09/12/2023,"0.540","0.540","0.540","0.540","1,000"
08/16/2023,"0.540","0.540","0.540","0.540","11,000"
08/02/2023,"0.600","0.600","0.580","0.580","377,000"
07/21/2023,"0.610","0.610","0.600","0.600","680,000"
07/07/2023,"0.620","0.620","0.620","0.620","20,000"
06/29/2023,"0.620","0.620","0.620","0.620","39,000"
06/22/2023,"0.620","0.620","0.620","0.620","18,000"
06/19/2023,"0.620","0.620","0.620","0.620","20,000"
05/31/2023,"0.670","0.670","0.650","0.650","50,000"
05/22/2023,"0.650","0.650","0.650","0.650","5,000"
05/16/2023,"0.680","0.680","0.680","0.680","69,000"
05/10/2023,"0.680","0.680","0.680","0.680","1,000"
05/04/2023,"0.720","0.720","0.680","0.680","20,000"
04/26/2023,"0.650","0.700","0.650","0.700","88,000"
04/24/2023,"0.610","0.700","0.610","0.700","20,000"
03/27/2023,"0.600","0.700","0.600","0.700","64,000"
02/13/2023,"0.700","0.710","0.700","0.710","58,000"
