Date,Open,High,Low,Close,Volume
12/29/2023,"5.360","5.360","5.350","5.350","95,200"
12/27/2023,"5.320","5.350","5.320","5.350","4,500"
12/22/2023,"5.300","5.300","5.300","5.300","200"
12/19/2023,"5.210","5.250","5.210","5.250","1,600"
12/18/2023,"5.290","5.290","5.290","5.290","6,700"
12/15/2023,"5.290","5.290","5.200","5.200","63,100"
12/14/2023,"5.200","5.220","5.200","5.220","22,400"
12/12/2023,"5.290","5.290","5.290","5.290","100"
12/11/2023,"5.200","5.210","5.200","5.200","29,400"
12/07/2023,"5.200","5.200","5.200","5.200","38,500"
12/06/2023,"5.190","5.200","5.070","5.200","88,300"
12/05/2023,"5.190","5.190","5.190","5.190","100"
12/01/2023,"5.200","5.200","5.080","5.080","500"
11/30/2023,"5.200","5.200","5.080","5.080","80,200"
11/29/2023,"5.200","5.200","5.200","5.200","200"
11/28/2023,"5.200","5.200","5.100","5.200","300"
11/24/2023,"5.200","5.200","5.200","5.200","100"
11/23/2023,"5.290","5.290","5.290","5.290","100"
11/22/2023,"5.100","5.100","5.100","5.100","145,200"
11/20/2023,"5.130","5.130","5.130","5.130","100"
11/17/2023,"5.130","5.130","5.110","5.110","151,000"
11/16/2023,"5.130","5.130","5.080","5.080","204,800"
11/14/2023,"5.080","5.080","5.080","5.080","900"
11/13/2023,"5.070","5.070","5.070","5.070","2,200"
11/09/2023,"5.060","5.060","5.060","5.060","100"
11/07/2023,"5.220","5.220","5.010","5.010","600"
10/31/2023,"5.300","5.350","5.300","5.350","300"
10/26/2023,"5.300","5.300","5.220","5.220","5,300"
10/25/2023,"5.220","5.220","5.220","5.220","400"
10/24/2023,"5.540","5.540","5.230","5.230","2,000"
10/23/2023,"5.010","5.220","5.010","5.220","12,800"
10/19/2023,"5.590","5.590","5.590","5.590","3,000"
10/17/2023,"5.500","5.500","5.500","5.500","6,000"
10/12/2023,"4.990","4.990","4.990","4.990","100"
10/11/2023,"5.590","5.590","5.590","5.590","31,800"
10/05/2023,"5.590","5.590","5.590","5.590","500"
10/04/2023,"5.600","5.600","5.600","5.600","3,200"
10/03/2023,"5.200","5.210","5.200","5.210","1,800"
10/02/2023,"5.210","5.210","5.200","5.210","22,800"
09/29/2023,"5.300","5.300","5.220","5.220","1,600"
09/28/2023,"5.390","5.390","5.300","5.300","17,000"
09/26/2023,"5.610","5.610","5.390","5.390","18,200"
09/25/2023,"5.210","5.540","5.210","5.540","1,600"
09/22/2023,"5.610","5.610","5.610","5.610","100"
09/21/2023,"5.610","5.610","5.610","5.610","2,000"
09/19/2023,"5.600","5.600","5.600","5.600","49,600"
09/18/2023,"5.600","5.600","5.600","5.600","700"
09/15/2023,"5.800","5.800","5.800","5.800","500"
09/14/2023,"5.800","5.800","5.800","5.800","400"
09/11/2023,"5.500","5.500","5.500","5.500","50,000"
09/08/2023,"5.600","5.800","5.600","5.800","1,100"
09/06/2023,"5.600","5.600","5.600","5.600","100"
09/05/2023,"5.500","5.500","5.500","5.500","49,900"
09/04/2023,"5.010","5.500","5.010","5.500","48,600"
09/01/2023,"5.800","5.800","5.800","5.800","100"
08/31/2023,"5.500","5.500","5.500","5.500","200"
08/30/2023,"5.480","5.500","5.480","5.500","112,000"
08/29/2023,"4.900","4.900","4.900","4.900","3,000"
08/22/2023,"4.900","4.900","4.900","4.900","2,000"
08/18/2023,"4.900","4.900","4.900","4.900","2,000"
08/17/2023,"4.900","4.900","4.900","4.900","25,000"
08/14/2023,"4.900","4.910","4.900","4.900","57,000"
08/11/2023,"4.900","4.900","4.900","4.900","2,000"
