Date,Open,High,Low,Close,Volume
12/28/2022,"2.34","2.44","2.34","2.44","36,000"
12/27/2022,"2.36","2.36","2.36","2.36","26,000"
12/23/2022,"2.02","2.02","2.02","2.02","1,000"
12/21/2022,"2.07","2.07","2.00","2.00","22,000"
12/14/2022,"2.19","2.46","2.19","2.45","22,000"
12/13/2022,"2.00","2.19","1.87","1.98","108,000"
12/12/2022,"2.00","2.00","2.00","2.00","5,000"
11/28/2022,"1.87","1.87","1.87","1.87","2,000"
11/22/2022,"1.84","1.84","1.84","1.84","3,000"
11/21/2022,"1.81","1.81","1.81","1.81","1,000"
10/14/2022,"2.43","2.43","2.43","2.43","3,000"
10/12/2022,"1.90","1.90","1.80","1.80","10,000"
10/05/2022,"1.70","1.70","1.70","1.70","3,000"
09/23/2022,"1.80","1.80","1.80","1.80","3,000"
09/13/2022,"1.80","1.80","1.80","1.80","1,000"
08/17/2022,"1.79","1.79","1.79","1.79","3,000"
08/10/2022,"1.80","1.80","1.80","1.80","22,000"
07/22/2022,"1.80","1.80","1.79","1.79","13,000"
07/13/2022,"2.02","2.02","2.02","2.02","5,000"
07/12/2022,"2.05","2.05","2.05","2.05","6,000"
07/07/2022,"2.18","2.20","2.18","2.20","7,000"
06/28/2022,"2.11","2.11","2.11","2.11","1,000"
06/27/2022,"2.18","2.18","2.18","2.18","5,000"
06/21/2022,"2.18","2.18","2.18","2.18","10,000"
06/20/2022,"2.13","2.13","2.11","2.11","12,000"
06/16/2022,"2.14","2.14","2.13","2.13","35,000"
06/14/2022,"2.14","2.14","2.14","2.14","1,000"
05/30/2022,"2.13","2.13","2.13","2.13","5,000"
05/26/2022,"2.13","2.13","2.13","2.13","7,000"
05/24/2022,"2.12","2.12","2.12","2.12","1,000"
05/23/2022,"2.12","2.12","2.12","2.12","4,000"
05/18/2022,"2.20","2.20","2.11","2.11","9,000"
05/11/2022,"2.22","2.22","2.20","2.20","18,000"
05/10/2022,"2.22","2.22","2.22","2.22","28,000"
05/05/2022,"2.22","2.22","2.22","2.22","5,000"
05/04/2022,"2.24","2.24","2.24","2.24","4,000"
04/29/2022,"2.29","2.29","2.20","2.20","35,000"
04/27/2022,"2.40","2.40","2.40","2.40","5,000"
04/22/2022,"2.61","2.61","2.61","2.61","3,000"
04/21/2022,"2.22","2.22","2.22","2.22","2,000"
04/19/2022,"2.22","2.22","2.22","2.22","5,000"
04/12/2022,"2.82","2.82","2.82","2.82","1,000"
04/11/2022,"2.67","2.83","2.65","2.73","60,000"
03/31/2022,"2.10","2.10","2.10","2.10","1,000"
03/14/2022,"2.36","2.36","2.30","2.30","17,000"
03/09/2022,"2.50","2.50","2.50","2.50","1,000"
03/04/2022,"2.39","2.39","2.37","2.37","71,000"
03/01/2022,"2.37","2.37","2.37","2.37","5,000"
02/28/2022,"2.45","2.45","2.43","2.43","61,000"
02/17/2022,"2.50","2.50","2.50","2.50","6,000"
02/16/2022,"2.51","2.51","2.50","2.50","19,000"
02/15/2022,"2.70","2.70","2.60","2.60","52,000"
02/14/2022,"2.73","2.73","2.70","2.70","23,000"
02/08/2022,"2.75","2.77","2.75","2.77","27,000"
02/04/2022,"2.78","2.78","2.78","2.78","7,000"
02/03/2022,"2.81","2.81","2.78","2.78","32,000"
02/02/2022,"2.86","2.86","2.85","2.85","18,000"
01/31/2022,"2.91","2.91","2.85","2.85","20,000"
01/28/2022,"2.92","2.93","2.92","2.92","82,000"
01/27/2022,"3.09","3.09","3.09","3.09","3,000"
01/26/2022,"3.15","3.15","2.90","3.11","640,000"
01/25/2022,"3.19","3.19","3.15","3.15","25,000"
01/24/2022,"3.21","3.21","3.20","3.20","20,000"
01/20/2022,"3.21","3.30","3.20","3.30","38,000"
01/18/2022,"3.32","3.32","3.21","3.31","30,000"
01/17/2022,"3.21","3.21","3.21","3.21","85,000"
01/07/2022,"3.21","3.32","3.21","3.32","9,000"
