Date,Open,High,Low,Close,Volume
12/29/2020,"4.24","4.24","3.90","4.08","330,000"
12/28/2020,"4.14","4.14","3.90","4.08","497,000"
12/23/2020,"4.07","4.24","3.90","4.19","235,000"
12/22/2020,"4.42","4.42","4.03","4.11","776,000"
12/21/2020,"4.55","4.55","4.40","4.44","630,000"
12/18/2020,"4.51","4.56","4.31","4.52","550,000"
12/17/2020,"4.72","4.73","4.50","4.59","1,281,000"
12/16/2020,"4.90","4.93","4.65","4.71","735,000"
12/15/2020,"4.80","4.88","4.61","4.82","1,394,000"
12/14/2020,"5.00","5.05","4.55","4.75","2,842,800"
12/11/2020,"5.00","6.25","5.00","5.11","15,787,000"
12/10/2020,"3.69","4.80","3.68","4.50","2,094,000"
12/09/2020,"3.70","3.78","3.70","3.71","250,000"
12/07/2020,"3.83","3.84","3.70","3.72","84,000"
12/04/2020,"3.80","3.85","3.78","3.85","83,000"
12/03/2020,"3.80","3.85","3.76","3.85","42,000"
12/02/2020,"3.86","3.95","3.80","3.80","116,000"
12/01/2020,"4.00","4.00","3.71","3.90","201,000"
11/27/2020,"4.01","4.07","4.00","4.05","65,000"
11/26/2020,"4.00","4.14","3.90","4.00","136,000"
11/25/2020,"3.87","4.18","3.86","3.89","287,000"
11/24/2020,"4.15","4.15","3.81","4.02","574,000"
11/23/2020,"3.58","4.95","3.58","4.16","3,048,000"
11/20/2020,"3.50","3.58","3.50","3.58","60,000"
11/18/2020,"3.39","3.50","3.39","3.50","2,000"
11/17/2020,"3.38","3.50","3.38","3.50","22,000"
11/16/2020,"3.40","3.57","3.38","3.57","11,000"
11/13/2020,"3.34","3.58","3.34","3.58","16,000"
11/11/2020,"3.35","3.56","3.34","3.56","22,000"
11/10/2020,"3.55","3.56","3.55","3.56","10,000"
11/09/2020,"3.39","3.56","3.39","3.56","21,000"
11/06/2020,"3.45","3.57","3.45","3.57","54,000"
11/05/2020,"3.45","3.60","3.40","3.60","142,000"
11/04/2020,"3.59","3.60","3.45","3.60","8,000"
11/03/2020,"3.49","3.59","3.45","3.59","21,000"
10/29/2020,"3.60","3.60","3.60","3.60","3,000"
10/28/2020,"3.55","3.74","3.48","3.67","82,000"
10/27/2020,"3.62","3.62","3.55","3.55","90,000"
10/26/2020,"3.98","3.98","3.65","3.65","177,000"
10/23/2020,"3.87","3.97","3.66","3.72","58,000"
10/22/2020,"3.89","3.99","3.61","3.80","72,000"
10/21/2020,"3.70","4.08","3.70","3.89","265,000"
10/20/2020,"3.65","3.70","3.44","3.55","33,000"
10/19/2020,"3.24","3.70","3.24","3.70","129,000"
10/16/2020,"3.36","3.37","3.36","3.37","32,000"
10/15/2020,"3.21","3.37","3.21","3.36","44,000"
10/14/2020,"3.24","3.37","3.23","3.23","72,000"
10/13/2020,"3.37","3.37","3.37","3.37","3,000"
10/12/2020,"3.21","3.37","3.21","3.36","12,000"
10/09/2020,"3.38","3.38","3.38","3.38","2,000"
10/08/2020,"3.37","3.49","3.37","3.39","29,000"
10/07/2020,"3.20","3.43","3.20","3.40","11,000"
10/06/2020,"3.20","3.60","3.13","3.13","173,000"
10/05/2020,"3.29","3.68","3.20","3.30","535,000"
10/02/2020,"3.10","3.32","3.10","3.32","27,000"
09/30/2020,"3.22","3.30","3.22","3.30","8,000"
09/29/2020,"3.15","3.39","3.00","3.23","56,000"
09/28/2020,"3.03","3.14","2.91","3.14","31,000"
09/25/2020,"3.05","3.05","2.86","3.04","25,000"
09/24/2020,"2.99","3.05","2.98","3.05","43,000"
09/23/2020,"2.84","2.99","2.83","2.99","57,000"
09/22/2020,"3.14","3.14","2.87","3.14","34,000"
09/21/2020,"2.90","3.35","2.90","3.14","467,000"
09/18/2020,"2.81","2.90","2.78","2.90","46,000"
09/17/2020,"2.81","2.81","2.81","2.81","3,000"
09/16/2020,"2.76","2.91","2.70","2.80","115,000"
09/15/2020,"2.72","2.81","2.71","2.81","31,000"
09/14/2020,"2.80","2.90","2.80","2.85","33,000"
09/11/2020,"2.66","2.95","2.66","2.80","68,000"
09/10/2020,"2.63","2.65","2.63","2.65","310,000"
09/09/2020,"2.64","2.65","2.64","2.65","9,000"
09/08/2020,"2.65","2.65","2.65","2.65","1,000"
09/07/2020,"2.70","2.70","2.65","2.65","3,000"
09/03/2020,"2.70","2.77","2.60","2.70","323,000"
09/02/2020,"2.70","2.79","2.52","2.79","78,000"
09/01/2020,"2.70","2.75","2.66","2.75","343,000"
