Date,Open,High,Low,Close,Volume
12/31/2021,"1.850","2.600","1.810","2.600","72,000"
12/29/2021,"2.460","2.460","2.380","2.380","65,000"
11/17/2021,"2.470","2.470","2.460","2.460","44,000"
11/16/2021,"2.600","2.600","2.460","2.460","15,000"
11/08/2021,"2.630","2.630","2.600","2.600","10,000"
11/04/2021,"2.620","2.620","2.620","2.620","1,000"
10/29/2021,"2.700","2.700","2.700","2.700","5,000"
10/26/2021,"2.540","2.540","2.540","2.540","1,000"
10/22/2021,"2.520","2.520","2.520","2.520","1,000"
10/18/2021,"2.790","2.800","2.790","2.800","6,000"
10/15/2021,"2.390","2.390","2.390","2.390","1,000"
10/12/2021,"2.800","2.800","2.800","2.800","2,000"
09/29/2021,"2.680","2.680","2.680","2.680","1,000"
09/27/2021,"2.800","2.800","2.800","2.800","5,000"
09/23/2021,"2.800","2.800","2.800","2.800","20,000"
09/22/2021,"2.800","2.810","2.800","2.810","29,000"
09/17/2021,"2.670","2.670","2.670","2.670","1,000"
09/16/2021,"2.750","2.800","2.750","2.800","19,000"
09/13/2021,"2.800","2.800","2.800","2.800","3,000"
09/08/2021,"2.800","2.800","2.800","2.800","3,000"
08/26/2021,"2.800","2.800","2.800","2.800","2,000"
08/24/2021,"2.800","2.800","2.800","2.800","3,000"
08/17/2021,"2.740","2.740","2.740","2.740","1,000"
08/16/2021,"2.680","2.680","2.680","2.680","1,000"
08/13/2021,"2.810","2.810","2.810","2.810","1,000"
08/12/2021,"2.810","2.810","2.810","2.810","1,000"
08/10/2021,"2.810","2.810","2.810","2.810","3,000"
08/09/2021,"2.950","2.950","2.800","2.800","30,000"
08/02/2021,"2.990","2.990","2.990","2.990","3,000"
07/23/2021,"2.760","2.760","2.760","2.760","10,000"
07/21/2021,"2.760","2.760","2.760","2.760","10,000"
07/16/2021,"2.920","2.920","2.750","2.750","20,000"
07/14/2021,"2.910","2.910","2.910","2.910","3,000"
07/13/2021,"2.950","2.950","2.950","2.950","10,000"
07/12/2021,"2.910","2.910","2.910","2.910","6,000"
07/08/2021,"2.910","3.050","2.910","3.050","13,000"
07/02/2021,"3.080","3.080","3.080","3.080","1,000"
06/29/2021,"2.980","3.100","2.980","3.100","13,000"
06/23/2021,"3.200","3.200","3.200","3.200","1,000"
06/21/2021,"2.990","2.990","2.990","2.990","10,000"
06/15/2021,"2.990","3.050","2.990","2.990","14,000"
06/11/2021,"2.990","2.990","2.990","2.990","4,000"
06/10/2021,"3.000","3.000","3.000","3.000","23,000"
06/09/2021,"3.060","3.060","3.060","3.060","3,000"
05/26/2021,"2.950","3.010","2.950","2.950","22,000"
05/04/2021,"3.010","3.010","3.010","3.010","1,000"
03/11/2021,"2.800","2.800","2.800","2.800","2,000"
03/09/2021,"2.810","2.810","2.750","2.750","10,000"
03/02/2021,"3.270","3.270","2.770","2.770","232,000"
03/01/2021,"3.270","3.270","3.070","3.070","2,000"
02/23/2021,"3.070","3.070","3.070","3.070","230,000"
02/17/2021,"3.070","3.070","3.070","3.070","60,000"
02/16/2021,"3.060","3.060","3.060","3.060","3,000"
02/11/2021,"3.280","3.280","3.280","3.280","3,000"
02/03/2021,"3.050","3.050","3.050","3.050","200,000"
02/02/2021,"3.270","3.280","3.270","3.280","3,000"
01/19/2021,"3.300","3.300","3.300","3.300","10,000"
01/18/2021,"3.380","3.390","3.380","3.390","8,000"
01/15/2021,"3.400","3.400","3.400","3.400","10,000"
01/12/2021,"3.130","3.130","3.030","3.090","34,000"
01/11/2021,"3.040","3.170","3.040","3.150","331,000"
01/08/2021,"3.280","3.280","3.280","3.280","2,000"
01/07/2021,"3.470","3.470","3.440","3.440","3,000"
01/04/2021,"3.020","3.030","3.020","3.020","30,000"
