Date,Open,High,Low,Close,Volume
12/23/2024,"0.085","0.104","0.085","0.104","410,000"
12/20/2024,"0.105","0.105","0.105","0.105","40,000"
12/16/2024,"0.105","0.105","0.105","0.105","20,000"
12/13/2024,"0.110","0.110","0.110","0.110","10,000"
12/12/2024,"0.100","0.100","0.100","0.100","1,000,000"
12/10/2024,"0.100","0.100","0.100","0.100","990,000"
12/06/2024,"0.091","0.105","0.090","0.105","260,000"
12/05/2024,"0.109","0.109","0.100","0.108","190,000"
12/04/2024,"0.095","0.104","0.095","0.104","170,000"
12/03/2024,"0.109","0.109","0.109","0.109","110,000"
12/02/2024,"0.105","0.109","0.105","0.109","70,000"
11/29/2024,"0.105","0.105","0.100","0.105","140,000"
11/28/2024,"0.100","0.110","0.090","0.110","540,000"
11/27/2024,"0.101","0.110","0.084","0.109","1,310,000"
11/21/2024,"0.105","0.113","0.101","0.113","330,000"
11/20/2024,"0.112","0.112","0.110","0.110","60,000"
11/19/2024,"0.112","0.112","0.112","0.112","120,000"
11/18/2024,"0.110","0.110","0.104","0.104","260,000"
11/15/2024,"0.113","0.113","0.113","0.113","10,000"
11/13/2024,"0.104","0.115","0.104","0.115","210,000"
11/12/2024,"0.115","0.115","0.110","0.110","700,000"
11/11/2024,"0.110","0.116","0.103","0.116","280,000"
11/08/2024,"0.118","0.118","0.118","0.118","50,000"
11/07/2024,"0.111","0.116","0.111","0.116","750,000"
11/06/2024,"0.115","0.115","0.115","0.115","50,000"
11/05/2024,"0.115","0.115","0.110","0.110","820,000"
11/04/2024,"0.111","0.111","0.111","0.111","250,000"
10/31/2024,"0.115","0.115","0.115","0.115","100,000"
10/28/2024,"0.115","0.115","0.115","0.115","110,000"
10/25/2024,"0.111","0.111","0.111","0.111","100,000"
10/23/2024,"0.114","0.114","0.114","0.114","80,000"
10/21/2024,"0.110","0.118","0.110","0.118","610,000"
10/18/2024,"0.115","0.115","0.115","0.115","70,000"
10/17/2024,"0.105","0.110","0.105","0.110","490,000"
10/16/2024,"0.103","0.110","0.103","0.110","70,000"
10/15/2024,"0.110","0.110","0.110","0.110","730,000"
10/14/2024,"0.110","0.110","0.110","0.110","10,000"
10/11/2024,"0.110","0.110","0.110","0.110","580,000"
10/10/2024,"0.110","0.115","0.110","0.115","580,000"
10/08/2024,"0.119","0.119","0.112","0.112","370,000"
10/07/2024,"0.112","0.117","0.111","0.112","1,680,000"
10/04/2024,"0.111","0.114","0.111","0.114","120,000"
10/03/2024,"0.110","0.117","0.110","0.110","110,000"
10/02/2024,"0.110","0.115","0.110","0.115","590,000"
10/01/2024,"0.110","0.115","0.110","0.115","400,000"
09/30/2024,"0.110","0.110","0.110","0.110","90,000"
09/27/2024,"0.110","0.110","0.110","0.110","10,000"
09/26/2024,"0.116","0.116","0.112","0.112","790,000"
09/25/2024,"0.110","0.118","0.110","0.118","220,000"
09/24/2024,"0.105","0.110","0.105","0.110","310,000"
09/23/2024,"0.105","0.110","0.105","0.110","290,000"
09/20/2024,"0.101","0.102","0.101","0.102","520,000"
09/19/2024,"0.101","0.107","0.101","0.101","220,000"
09/18/2024,"0.101","0.109","0.100","0.109","790,000"
09/17/2024,"0.109","0.109","0.100","0.105","3,320,000"
09/16/2024,"0.101","0.109","0.101","0.103","2,620,000"
09/13/2024,"0.101","0.109","0.101","0.109","340,000"
09/12/2024,"0.119","0.119","0.102","0.112","3,220,000"
09/11/2024,"0.115","0.115","0.115","0.115","60,000"
09/10/2024,"0.113","0.115","0.113","0.115","250,000"
09/09/2024,"0.110","0.125","0.102","0.110","3,640,000"
09/06/2024,"0.112","0.112","0.110","0.110","80,000"
09/05/2024,"0.112","0.112","0.110","0.110","160,000"
09/04/2024,"0.110","0.110","0.110","0.110","40,000"
09/03/2024,"0.100","0.109","0.100","0.109","610,000"
09/02/2024,"0.101","0.105","0.101","0.105","920,000"
08/30/2024,"0.095","0.100","0.094","0.100","400,000"
08/29/2024,"0.096","0.102","0.096","0.102","260,000"
08/28/2024,"0.095","0.104","0.095","0.103","750,000"
08/27/2024,"0.094","0.094","0.093","0.094","1,520,000"
08/22/2024,"0.095","0.095","0.093","0.093","200,000"
08/21/2024,"0.098","0.099","0.096","0.096","2,960,000"
08/20/2024,"0.100","0.102","0.096","0.102","5,850,000"
08/19/2024,"0.094","0.099","0.094","0.098","5,370,000"
08/16/2024,"0.098","0.098","0.094","0.094","370,000"
08/15/2024,"0.099","0.099","0.097","0.097","340,000"
08/14/2024,"0.100","0.111","0.095","0.099","3,340,000"
08/13/2024,"0.096","0.101","0.093","0.100","1,060,000"
08/12/2024,"0.100","0.100","0.100","0.100","1,580,000"
08/09/2024,"0.104","0.104","0.104","0.104","230,000"
08/08/2024,"0.101","0.104","0.101","0.104","20,000"
08/07/2024,"0.102","0.110","0.095","0.101","1,140,000"
08/06/2024,"0.117","0.117","0.100","0.102","1,220,000"
08/05/2024,"0.117","0.117","0.117","0.117","10,000"
08/02/2024,"0.118","0.127","0.110","0.119","1,640,000"
08/01/2024,"0.104","0.118","0.104","0.118","1,490,000"
07/31/2024,"0.091","0.104","0.091","0.100","5,080,000"
07/30/2024,"0.093","0.103","0.092","0.092","6,450,000"
07/29/2024,"0.091","0.106","0.091","0.100","3,840,000"
07/26/2024,"0.100","0.109","0.091","0.108","22,030,000"
07/25/2024,"0.121","0.131","0.099","0.110","3,690,000"
07/23/2024,"0.120","0.120","0.117","0.118","330,000"
07/22/2024,"0.140","0.140","0.125","0.132","2,650,000"
07/19/2024,"0.124","0.136","0.122","0.129","2,360,000"
07/18/2024,"0.128","0.133","0.121","0.132","1,230,000"
07/17/2024,"0.121","0.129","0.121","0.125","1,720,000"
07/16/2024,"0.120","0.125","0.120","0.121","2,270,000"
07/15/2024,"0.130","0.130","0.114","0.123","5,970,000"
07/12/2024,"0.129","0.145","0.129","0.130","4,520,000"
07/11/2024,"0.140","0.150","0.124","0.140","8,100,000"
07/10/2024,"0.146","0.152","0.140","0.150","5,170,000"
07/09/2024,"0.148","0.157","0.146","0.157","1,010,000"
07/08/2024,"0.154","0.159","0.147","0.159","1,480,000"
07/05/2024,"0.152","0.153","0.152","0.153","480,000"
07/04/2024,"0.152","0.162","0.152","0.160","970,000"
07/03/2024,"0.155","0.155","0.150","0.155","1,760,000"
07/02/2024,"0.157","0.168","0.150","0.160","6,210,000"
06/28/2024,"0.160","0.160","0.160","0.160","1,350,000"
06/27/2024,"0.160","0.160","0.160","0.160","2,090,000"
06/26/2024,"0.165","0.166","0.155","0.165","2,820,000"
06/25/2024,"0.159","0.163","0.159","0.163","260,000"
06/24/2024,"0.160","0.160","0.160","0.160","1,820,000"
06/21/2024,"0.160","0.160","0.157","0.157","4,190,000"
06/20/2024,"0.165","0.165","0.165","0.165","100,000"
06/19/2024,"0.168","0.169","0.153","0.164","4,950,000"
06/18/2024,"0.168","0.168","0.167","0.167","600,000"
06/14/2024,"0.159","0.167","0.149","0.167","2,860,000"
06/13/2024,"0.159","0.159","0.159","0.159","820,000"
06/11/2024,"0.161","0.169","0.156","0.168","3,070,000"
06/10/2024,"0.170","0.170","0.161","0.161","510,000"
06/07/2024,"0.170","0.177","0.170","0.170","740,000"
06/06/2024,"0.160","0.170","0.160","0.170","1,950,000"
06/05/2024,"0.162","0.162","0.160","0.160","4,700,000"
06/04/2024,"0.175","0.175","0.160","0.161","1,600,000"
06/03/2024,"0.173","0.178","0.170","0.170","1,870,000"
05/31/2024,"0.161","0.165","0.159","0.164","5,190,000"
05/30/2024,"0.159","0.171","0.159","0.167","4,180,000"
05/29/2024,"0.172","0.179","0.159","0.160","21,780,000"
05/28/2024,"0.180","0.180","0.165","0.171","13,870,000"
05/27/2024,"0.171","0.180","0.170","0.180","5,300,000"
05/24/2024,"0.170","0.180","0.165","0.178","16,630,000"
05/23/2024,"0.159","0.174","0.156","0.171","11,640,000"
05/22/2024,"0.160","0.161","0.153","0.159","6,250,000"
05/21/2024,"0.160","0.164","0.154","0.161","3,770,000"
05/20/2024,"0.150","0.165","0.150","0.157","7,840,000"
05/17/2024,"0.137","0.151","0.137","0.149","17,730,000"
05/16/2024,"0.131","0.149","0.131","0.140","14,310,000"
05/15/2024,"0.124","0.133","0.120","0.131","5,340,000"
05/14/2024,"0.130","0.130","0.115","0.124","18,930,000"
05/13/2024,"0.119","0.135","0.119","0.130","29,730,000"
05/10/2024,"0.087","0.123","0.087","0.119","34,320,000"
05/09/2024,"0.077","0.086","0.077","0.086","3,650,000"
05/08/2024,"0.075","0.080","0.075","0.080","1,700,000"
05/07/2024,"0.075","0.075","0.075","0.075","230,000"
05/06/2024,"0.081","0.081","0.074","0.075","20,540,000"
05/02/2024,"0.075","0.077","0.075","0.077","1,200,000"
04/30/2024,"0.076","0.084","0.076","0.078","2,610,000"
04/29/2024,"0.082","0.084","0.074","0.076","2,620,000"
04/26/2024,"0.074","0.080","0.074","0.080","2,010,000"
04/25/2024,"0.073","0.076","0.073","0.076","3,430,000"
04/24/2024,"0.074","0.078","0.073","0.077","1,460,000"
04/23/2024,"0.084","0.084","0.073","0.078","4,610,000"
04/22/2024,"0.075","0.087","0.074","0.085","4,490,000"
04/19/2024,"0.074","0.074","0.074","0.074","2,030,000"
04/18/2024,"0.080","0.080","0.073","0.074","2,180,000"
04/16/2024,"0.083","0.083","0.077","0.077","100,000"
04/15/2024,"0.084","0.084","0.083","0.083","110,000"
04/12/2024,"0.082","0.082","0.078","0.078","15,780,000"
04/11/2024,"0.077","0.077","0.077","0.077","40,000"
04/08/2024,"0.083","0.084","0.078","0.078","28,610,000"
04/05/2024,"0.088","0.088","0.075","0.081","140,000"
04/04/2024,"0.076","0.076","0.073","0.073","13,270,000"
04/03/2024,"0.083","0.083","0.078","0.078","2,470,000"
04/02/2024,"0.081","0.082","0.078","0.079","12,490,000"
04/01/2024,"0.090","0.093","0.080","0.088","4,990,000"
03/27/2024,"0.080","0.091","0.080","0.090","2,280,000"
03/26/2024,"0.092","0.092","0.083","0.083","5,850,000"
03/25/2024,"0.096","0.096","0.086","0.094","4,180,000"
03/22/2024,"0.096","0.097","0.095","0.096","1,110,000"
03/21/2024,"0.100","0.100","0.093","0.097","6,560,000"
03/20/2024,"0.100","0.100","0.092","0.096","6,490,000"
03/19/2024,"0.086","0.101","0.086","0.093","16,350,000"
03/18/2024,"0.084","0.086","0.081","0.084","3,470,000"
03/15/2024,"0.084","0.086","0.077","0.083","4,110,000"
03/14/2024,"0.083","0.086","0.078","0.084","12,680,000"
03/13/2024,"0.071","0.086","0.071","0.082","17,200,000"
03/12/2024,"0.055","0.072","0.055","0.071","3,860,000"
03/11/2024,"0.057","0.058","0.054","0.058","650,000"
03/08/2024,"0.065","0.065","0.057","0.057","5,810,000"
03/07/2024,"0.068","0.068","0.065","0.065","1,470,000"
03/06/2024,"0.068","0.070","0.064","0.068","11,040,000"
03/05/2024,"0.070","0.076","0.066","0.072","10,230,000"
03/04/2024,"0.052","0.072","0.052","0.072","16,090,000"
03/01/2024,"0.053","0.074","0.053","0.055","8,240,000"
02/29/2024,"0.052","0.053","0.052","0.053","2,200,000"
02/28/2024,"0.046","0.047","0.045","0.045","240,000"
02/27/2024,"0.044","0.051","0.044","0.050","240,000"
02/26/2024,"0.048","0.051","0.048","0.051","3,500,000"
02/23/2024,"0.044","0.048","0.044","0.048","2,700,000"
02/22/2024,"0.044","0.044","0.043","0.044","4,400,000"
02/21/2024,"0.043","0.046","0.043","0.046","7,300,000"
02/20/2024,"0.045","0.045","0.044","0.045","2,500,000"
02/16/2024,"0.044","0.044","0.043","0.044","2,100,000"
02/15/2024,"0.042","0.046","0.042","0.044","3,700,000"
02/14/2024,"0.041","0.041","0.041","0.041","600,000"
02/13/2024,"0.045","0.045","0.045","0.045","1,600,000"
02/12/2024,"0.040","0.047","0.040","0.047","3,400,000"
02/08/2024,"0.037","0.047","0.037","0.047","2,900,000"
02/07/2024,"0.038","0.038","0.038","0.038","200,000"
02/06/2024,"0.036","0.040","0.034","0.040","3,300,000"
02/05/2024,"0.035","0.036","0.033","0.034","5,200,000"
02/02/2024,"0.042","0.042","0.036","0.036","2,400,000"
02/01/2024,"0.040","0.041","0.040","0.041","500,000"
01/31/2024,"0.037","0.037","0.037","0.037","200,000"
01/30/2024,"0.040","0.041","0.039","0.041","2,200,000"
01/29/2024,"0.038","0.038","0.030","0.033","7,800,000"
01/25/2024,"0.038","0.039","0.038","0.039","1,400,000"
01/23/2024,"0.038","0.039","0.038","0.039","600,000"
01/22/2024,"0.035","0.038","0.035","0.038","1,100,000"
01/19/2024,"0.044","0.044","0.040","0.040","2,900,000"
01/18/2024,"0.034","0.044","0.034","0.044","4,800,000"
01/17/2024,"0.032","0.034","0.032","0.034","1,400,000"
01/16/2024,"0.032","0.032","0.032","0.032","300,000"
01/12/2024,"0.032","0.032","0.027","0.027","1,400,000"
01/08/2024,"0.029","0.030","0.029","0.030","400,000"
01/05/2024,"0.027","0.027","0.027","0.027","100,000"
01/04/2024,"0.027","0.027","0.026","0.027","3,500,000"
