Date,Open,High,Low,Close,Volume
12/29/2020,"0.930","0.930","0.920","0.920","1,578,000"
12/28/2020,"0.930","0.940","0.930","0.940","310,000"
12/23/2020,"0.930","0.950","0.930","0.940","929,000"
12/22/2020,"0.980","0.980","0.920","0.940","3,132,000"
12/21/2020,"0.970","0.990","0.950","0.990","2,467,000"
12/18/2020,"0.990","0.990","0.970","0.980","887,000"
12/17/2020,"0.960","0.990","0.960","0.990","1,116,000"
12/16/2020,"0.980","0.980","0.960","0.960","1,003,000"
12/15/2020,"0.980","0.980","0.960","0.980","3,414,000"
12/14/2020,"0.980","1.000","0.970","0.980","492,000"
12/11/2020,"0.960","0.990","0.930","0.970","1,207,000"
12/10/2020,"0.970","0.970","0.950","0.960","296,000"
12/09/2020,"0.910","0.950","0.910","0.950","1,757,000"
12/07/2020,"0.920","0.920","0.910","0.910","330,000"
12/04/2020,"0.900","0.920","0.900","0.920","220,000"
12/03/2020,"0.900","0.920","0.900","0.900","279,000"
12/02/2020,"0.890","0.910","0.890","0.910","140,000"
12/01/2020,"0.900","0.900","0.890","0.900","722,000"
11/27/2020,"0.890","0.900","0.870","0.890","915,000"
11/26/2020,"0.910","0.910","0.860","0.860","4,153,000"
11/25/2020,"0.930","0.940","0.870","0.900","8,299,000"
11/24/2020,"0.900","0.940","0.900","0.920","1,890,000"
11/23/2020,"0.880","0.930","0.880","0.900","2,942,000"
11/20/2020,"0.880","0.900","0.880","0.890","1,054,000"
11/19/2020,"0.880","0.890","0.870","0.890","940,000"
11/18/2020,"0.880","0.900","0.870","0.880","1,464,000"
11/17/2020,"0.870","0.890","0.870","0.880","796,000"
11/16/2020,"0.860","0.880","0.860","0.870","672,000"
11/13/2020,"0.880","0.890","0.840","0.860","2,348,000"
11/11/2020,"0.820","0.880","0.820","0.860","4,275,000"
11/10/2020,"0.820","0.820","0.790","0.810","2,384,000"
11/09/2020,"0.760","0.810","0.760","0.800","3,179,000"
11/06/2020,"0.770","0.770","0.760","0.760","1,580,000"
11/05/2020,"0.760","0.770","0.750","0.760","4,042,000"
11/04/2020,"0.750","0.760","0.750","0.760","753,000"
11/03/2020,"0.750","0.750","0.750","0.750","233,000"
10/30/2020,"0.750","0.760","0.750","0.750","1,498,000"
10/29/2020,"0.760","0.760","0.750","0.750","12,000"
10/28/2020,"0.760","0.760","0.740","0.750","356,000"
10/27/2020,"0.760","0.760","0.700","0.750","4,292,000"
10/26/2020,"0.780","0.780","0.760","0.760","1,276,000"
10/23/2020,"0.770","0.780","0.760","0.770","565,000"
10/22/2020,"0.780","0.790","0.760","0.760","248,000"
10/21/2020,"0.760","0.780","0.750","0.780","370,000"
10/20/2020,"0.750","0.770","0.750","0.770","323,000"
10/19/2020,"0.750","0.750","0.750","0.750","891,000"
10/16/2020,"0.740","0.760","0.740","0.760","343,000"
10/15/2020,"0.760","0.760","0.750","0.760","251,000"
10/14/2020,"0.760","0.760","0.760","0.760","58,000"
10/13/2020,"0.740","0.760","0.740","0.760","135,000"
