Date,Open,High,Low,Close,Volume
12/27/2024,"6.47","6.48","6.09","6.11","892,300"
12/26/2024,"6.30","6.50","6.29","6.48","252,600"
12/23/2024,"6.37","6.37","6.27","6.27","152,900"
12/20/2024,"6.42","6.42","6.25","6.37","451,200"
12/19/2024,"6.50","6.54","6.43","6.43","171,500"
12/18/2024,"6.45","6.60","6.45","6.50","122,800"
12/17/2024,"6.60","6.62","6.40","6.40","280,900"
12/16/2024,"6.42","6.55","6.42","6.52","160,900"
12/13/2024,"6.38","6.45","6.20","6.40","354,100"
12/12/2024,"6.50","6.50","6.40","6.40","622,500"
12/11/2024,"6.59","6.62","6.48","6.54","491,700"
12/10/2024,"6.60","6.60","6.50","6.59","273,700"
12/09/2024,"6.60","6.60","6.45","6.50","226,600"
12/06/2024,"6.70","6.70","6.50","6.60","238,500"
12/05/2024,"6.80","6.80","6.50","6.70","222,100"
12/04/2024,"6.80","6.86","6.76","6.79","200,600"
12/03/2024,"6.59","6.73","6.59","6.73","187,700"
12/02/2024,"6.59","6.59","6.55","6.59","494,900"
11/29/2024,"6.50","6.55","6.50","6.55","127,500"
11/28/2024,"6.55","6.56","6.40","6.50","385,500"
11/27/2024,"6.70","6.71","6.55","6.55","384,700"
11/26/2024,"6.90","6.90","6.68","6.70","966,500"
11/25/2024,"6.92","6.93","6.90","6.90","218,700"
11/22/2024,"6.96","6.96","6.91","6.92","121,500"
11/21/2024,"6.97","6.99","6.95","6.97","130,300"
11/20/2024,"6.99","6.99","6.90","6.96","138,800"
11/19/2024,"6.99","6.99","6.95","6.99","264,000"
11/18/2024,"7.00","7.00","6.91","6.97","125,200"
11/15/2024,"6.99","7.05","6.94","7.00","172,000"
11/14/2024,"7.02","7.02","6.95","6.99","299,700"
11/13/2024,"7.03","7.04","7.00","7.02","102,400"
11/12/2024,"7.03","7.03","7.00","7.03","109,500"
11/11/2024,"7.04","7.04","7.00","7.02","107,800"
11/08/2024,"7.02","7.12","6.99","7.05","79,300"
11/07/2024,"7.08","7.08","7.00","7.02","462,100"
11/06/2024,"7.11","7.11","7.08","7.10","94,500"
11/05/2024,"7.14","7.14","7.02","7.11","239,900"
11/04/2024,"7.15","7.16","7.10","7.14","263,100"
10/31/2024,"7.05","7.15","7.05","7.15","117,100"
10/30/2024,"7.10","7.15","7.08","7.13","166,400"
10/29/2024,"7.13","7.15","7.08","7.08","298,100"
10/28/2024,"7.14","7.15","7.05","7.15","261,900"
10/25/2024,"7.12","7.14","7.10","7.14","134,100"
10/24/2024,"7.14","7.16","7.08","7.12","266,600"
10/23/2024,"7.13","7.16","7.13","7.14","309,400"
10/22/2024,"7.14","7.14","7.08","7.12","246,900"
10/21/2024,"7.10","7.12","7.08","7.11","331,500"
10/18/2024,"7.04","7.07","7.04","7.07","200,000"
10/17/2024,"7.07","7.07","7.04","7.04","314,600"
10/16/2024,"7.06","7.07","7.03","7.05","254,600"
10/15/2024,"7.05","7.09","7.01","7.07","113,900"
10/14/2024,"7.05","7.10","7.03","7.05","173,400"
10/11/2024,"7.08","7.09","7.03","7.05","243,600"
10/10/2024,"7.07","7.09","7.00","7.08","238,400"
10/09/2024,"7.07","7.08","7.00","7.07","726,200"
10/08/2024,"7.05","7.10","7.02","7.07","263,700"
10/07/2024,"7.00","7.05","6.98","7.05","495,800"
10/04/2024,"7.04","7.05","6.98","6.99","458,900"
10/03/2024,"7.00","7.09","6.94","7.04","747,900"
10/02/2024,"7.13","7.20","6.95","7.00","1,682,100"
10/01/2024,"7.08","7.15","6.98","7.12","1,127,500"
09/30/2024,"7.01","7.10","7.01","7.08","316,200"
09/27/2024,"7.05","7.08","7.00","7.06","506,700"
09/26/2024,"7.00","7.05","7.00","7.05","283,700"
09/25/2024,"7.05","7.05","6.99","6.99","257,100"
09/24/2024,"7.08","7.08","6.97","7.00","1,193,700"
09/23/2024,"7.10","7.15","7.00","7.08","817,600"
09/20/2024,"7.04","7.10","7.00","7.10","548,600"
09/19/2024,"6.98","7.04","6.98","7.04","353,700"
09/18/2024,"6.95","7.01","6.95","7.00","640,300"
09/17/2024,"6.96","6.96","6.88","6.95","326,700"
09/16/2024,"6.96","6.98","6.86","6.87","639,200"
09/13/2024,"6.98","6.99","6.96","6.96","311,000"
09/12/2024,"6.99","6.99","6.96","6.98","318,500"
09/11/2024,"6.99","7.00","6.96","6.99","279,100"
09/10/2024,"6.95","7.00","6.95","6.97","358,000"
09/09/2024,"7.02","7.04","6.95","6.95","838,000"
09/06/2024,"7.02","7.04","7.00","7.02","88,200"
09/05/2024,"7.02","7.04","6.95","7.00","562,500"
09/04/2024,"7.06","7.15","7.00","7.04","515,800"
09/03/2024,"7.14","7.15","7.05","7.06","208,000"
09/02/2024,"7.06","7.14","7.06","7.14","231,800"
08/30/2024,"7.09","7.09","7.06","7.06","699,500"
08/29/2024,"7.19","7.20","7.09","7.10","332,100"
08/28/2024,"7.19","7.20","7.10","7.19","316,900"
08/27/2024,"7.21","7.22","7.20","7.20","97,700"
08/22/2024,"7.20","7.21","7.17","7.21","225,900"
08/21/2024,"7.20","7.21","7.19","7.20","80,200"
08/20/2024,"7.18","7.21","7.18","7.19","122,600"
08/19/2024,"7.19","7.21","7.18","7.21","108,300"
08/16/2024,"7.22","7.22","7.16","7.19","233,100"
08/15/2024,"7.19","7.23","7.19","7.22","67,400"
08/14/2024,"7.19","7.21","7.18","7.19","305,900"
08/13/2024,"7.19","7.20","7.17","7.19","155,100"
08/12/2024,"7.17","7.19","7.17","7.19","235,800"
08/09/2024,"7.19","7.20","7.15","7.18","216,800"
08/08/2024,"7.10","7.19","7.10","7.19","61,900"
08/07/2024,"7.10","7.10","7.01","7.10","317,300"
08/06/2024,"7.17","7.17","7.10","7.14","258,100"
08/05/2024,"7.30","7.30","7.15","7.20","450,200"
08/02/2024,"7.35","7.39","7.30","7.30","120,200"
08/01/2024,"7.30","7.38","7.30","7.35","196,700"
07/31/2024,"7.38","7.40","7.30","7.30","199,800"
07/30/2024,"7.40","7.40","7.38","7.38","50,700"
07/29/2024,"7.40","7.41","7.38","7.39","134,500"
07/26/2024,"7.34","7.41","7.34","7.41","175,300"
07/25/2024,"7.40","7.40","7.30","7.34","52,600"
07/23/2024,"7.41","7.41","7.30","7.40","106,500"
07/22/2024,"7.40","7.41","7.29","7.41","172,500"
07/19/2024,"7.35","7.42","7.29","7.40","129,900"
07/18/2024,"7.27","7.35","7.27","7.35","125,700"
07/17/2024,"7.30","7.34","7.25","7.25","96,200"
07/16/2024,"7.30","7.40","7.25","7.30","120,500"
07/15/2024,"7.31","7.35","7.28","7.30","290,400"
07/12/2024,"7.30","7.40","7.29","7.31","191,700"
07/11/2024,"7.30","7.37","7.28","7.33","80,400"
07/10/2024,"7.35","7.37","7.30","7.33","119,200"
07/09/2024,"7.34","7.40","7.30","7.36","58,400"
07/08/2024,"7.35","7.42","7.32","7.34","103,500"
07/05/2024,"7.35","7.42","7.33","7.35","98,200"
07/04/2024,"7.39","7.42","7.30","7.31","80,100"
07/03/2024,"7.30","7.45","7.28","7.39","110,100"
07/02/2024,"7.36","7.38","7.28","7.29","129,500"
07/01/2024,"7.44","7.49","7.35","7.36","111,000"
06/28/2024,"7.40","7.41","7.30","7.40","138,300"
06/27/2024,"7.24","7.40","7.24","7.40","332,500"
06/26/2024,"7.22","7.25","7.20","7.24","85,700"
06/25/2024,"7.15","7.20","7.14","7.20","316,000"
06/24/2024,"7.21","7.21","6.98","7.13","617,600"
06/21/2024,"7.17","7.21","7.16","7.21","261,800"
06/20/2024,"7.16","7.19","7.11","7.17","400,300"
06/19/2024,"7.25","7.25","7.15","7.16","278,700"
06/18/2024,"7.22","7.25","7.19","7.20","207,500"
06/14/2024,"7.27","7.27","7.22","7.22","240,500"
06/13/2024,"7.25","7.30","7.22","7.27","170,000"
06/11/2024,"7.29","7.30","7.25","7.25","106,800"
06/10/2024,"7.30","7.30","7.24","7.30","309,600"
06/07/2024,"7.30","7.30","7.28","7.30","113,000"
06/06/2024,"7.30","7.30","7.28","7.30","141,800"
06/05/2024,"7.30","7.30","7.25","7.28","109,200"
06/04/2024,"7.19","7.35","7.19","7.30","348,400"
06/03/2024,"7.35","7.35","7.19","7.19","485,100"
05/31/2024,"7.40","7.45","7.36","7.36","168,100"
05/30/2024,"7.45","7.45","7.35","7.38","231,700"
05/29/2024,"7.43","7.47","7.42","7.45","224,400"
05/28/2024,"7.40","7.48","7.38","7.46","349,300"
05/27/2024,"7.44","7.45","7.40","7.40","138,400"
05/24/2024,"7.41","7.50","7.38","7.44","330,000"
05/23/2024,"7.42","7.46","7.35","7.41","621,000"
05/22/2024,"7.59","7.59","7.34","7.46","497,300"
05/21/2024,"7.62","7.63","7.59","7.59","298,000"
05/20/2024,"7.61","7.63","7.58","7.61","322,200"
05/17/2024,"7.70","7.73","7.58","7.61","444,200"
05/16/2024,"7.50","7.70","7.50","7.60","467,900"
05/15/2024,"7.06","7.48","7.04","7.47","401,800"
05/14/2024,"7.00","7.06","7.00","7.06","181,500"
05/13/2024,"7.02","7.04","6.90","7.00","495,900"
05/10/2024,"7.00","7.04","6.98","7.01","372,200"
05/09/2024,"7.00","7.07","6.99","7.00","706,000"
05/08/2024,"7.00","7.10","6.95","6.99","450,500"
05/07/2024,"7.00","7.01","6.95","7.00","491,800"
05/06/2024,"7.10","7.14","6.85","6.88","1,272,700"
05/03/2024,"7.25","7.25","7.14","7.14","705,800"
05/02/2024,"7.49","7.49","7.20","7.25","852,500"
04/30/2024,"7.55","7.65","7.48","7.49","668,900"
04/29/2024,"7.70","7.75","7.55","7.55","565,700"
04/26/2024,"7.70","7.75","7.68","7.70","316,100"
04/25/2024,"7.70","7.77","7.64","7.74","588,400"
04/24/2024,"7.88","7.90","7.69","7.77","677,300"
04/23/2024,"7.96","7.96","7.84","7.88","987,300"
04/22/2024,"8.24","8.43","8.24","8.35","671,000"
04/19/2024,"8.12","8.35","8.12","8.25","602,900"
04/18/2024,"8.60","8.64","8.00","8.12","1,847,900"
04/17/2024,"8.80","8.80","8.60","8.60","888,800"
04/16/2024,"8.87","8.90","8.85","8.85","249,100"
04/15/2024,"8.90","8.93","8.87","8.89","459,400"
04/12/2024,"8.93","8.93","8.88","8.90","669,600"
04/11/2024,"8.92","8.94","8.90","8.93","447,300"
04/08/2024,"8.82","8.92","8.82","8.91","254,300"
04/05/2024,"8.82","8.82","8.75","8.77","469,000"
04/04/2024,"8.99","8.99","8.65","8.82","2,628,200"
04/03/2024,"9.27","9.37","8.75","9.00","3,267,800"
04/02/2024,"9.16","9.30","9.16","9.27","1,394,300"
04/01/2024,"9.04","9.19","9.04","9.15","1,051,600"
03/27/2024,"9.03","9.11","9.00","9.08","1,891,800"
03/26/2024,"8.97","9.04","8.97","9.03","1,293,100"
03/25/2024,"8.90","8.98","8.89","8.97","787,500"
03/22/2024,"8.90","8.90","8.89","8.90","336,400"
03/21/2024,"8.88","8.92","8.87","8.90","877,600"
03/20/2024,"8.85","8.90","8.84","8.90","261,700"
03/19/2024,"8.92","8.92","8.85","8.85","678,900"
03/18/2024,"8.90","8.91","8.89","8.90","469,000"
03/15/2024,"8.89","8.90","8.88","8.89","373,000"
03/14/2024,"8.89","8.90","8.87","8.88","755,800"
03/13/2024,"8.90","8.96","8.90","8.90","499,000"
03/12/2024,"8.90","8.92","8.88","8.88","611,400"
03/11/2024,"8.89","8.90","8.87","8.88","326,100"
03/08/2024,"8.87","9.00","8.87","8.88","754,400"
03/07/2024,"9.04","9.04","8.86","8.87","1,210,800"
03/06/2024,"9.10","9.11","9.00","9.04","598,600"
03/05/2024,"9.00","9.09","9.00","9.08","1,338,500"
03/04/2024,"8.90","9.00","8.90","9.00","1,511,800"
03/01/2024,"8.90","8.93","8.89","8.90","937,200"
02/29/2024,"8.90","8.95","8.89","8.89","647,200"
02/28/2024,"8.88","8.90","8.87","8.90","756,900"
02/27/2024,"8.88","8.88","8.86","8.87","442,800"
