Date,Open,High,Low,Close,Volume
12/31/2021,"1.613","1.613","1.577","1.606","7,926,000"
12/29/2021,"1.634","1.641","1.577","1.620","1,943,000"
12/28/2021,"1.655","1.655","1.606","1.641","2,305,000"
12/27/2021,"1.634","1.655","1.627","1.655","3,841,000"
12/24/2021,"1.620","1.655","1.620","1.648","4,769,000"
12/23/2021,"1.676","1.683","1.627","1.655","7,679,000"
12/22/2021,"1.683","1.683","1.634","1.641","1,685,000"
12/21/2021,"1.648","1.690","1.627","1.683","4,954,000"
12/20/2021,"1.634","1.669","1.620","1.655","684,000"
12/17/2021,"1.676","1.690","1.641","1.676","3,443,000"
12/16/2021,"1.634","1.676","1.620","1.676","2,329,000"
12/15/2021,"1.662","1.690","1.620","1.648","4,004,000"
12/14/2021,"1.669","1.690","1.634","1.662","7,855,000"
12/13/2021,"1.704","1.704","1.662","1.690","3,533,000"
12/10/2021,"1.690","1.718","1.655","1.697","2,935,000"
12/09/2021,"1.676","1.704","1.662","1.690","4,250,000"
12/07/2021,"1.655","1.697","1.641","1.676","1,944,000"
12/06/2021,"1.634","1.697","1.634","1.669","6,552,000"
12/03/2021,"1.655","1.662","1.634","1.655","5,266,000"
12/02/2021,"1.606","1.655","1.606","1.634","4,098,000"
12/01/2021,"1.592","1.690","1.592","1.620","1,816,000"
11/29/2021,"1.634","1.690","1.556","1.669","1,282,000"
11/26/2021,"1.711","1.725","1.676","1.725","3,447,000"
11/25/2021,"1.718","1.718","1.697","1.711","2,447,000"
11/24/2021,"1.676","1.718","1.676","1.704","7,888,000"
11/23/2021,"1.676","1.732","1.634","1.690","4,615,000"
11/22/2021,"1.662","1.697","1.634","1.662","1,039,000"
11/19/2021,"1.627","1.718","1.627","1.697","6,070,000"
11/18/2021,"1.662","1.718","1.648","1.690","4,232,000"
11/17/2021,"1.754","1.761","1.655","1.683","3,123,000"
11/16/2021,"1.768","1.796","1.711","1.747","5,468,000"
11/15/2021,"1.789","1.803","1.739","1.768","8,579,000"
11/12/2021,"1.761","1.810","1.761","1.789","5,200,000"
11/11/2021,"1.768","1.782","1.725","1.775","6,613,000"
11/10/2021,"1.789","1.796","1.732","1.768","1,869,000"
