Date,Open,High,Low,Close,Volume
04/30/2025,"285.60","290.00","285.00","286.00","13,170"
04/29/2025,"289.80","289.80","284.40","285.20","6,160"
04/28/2025,"289.80","290.00","289.00","289.80","4,920"
04/25/2025,"286.00","290.00","285.80","289.80","5,290"
04/24/2025,"286.00","286.00","285.40","286.00","3,020"
04/23/2025,"289.00","289.00","286.00","286.20","2,390"
04/22/2025,"289.00","289.80","287.40","289.00","101,390"
04/21/2025,"290.00","290.20","288.00","290.00","36,900"
04/16/2025,"291.00","292.00","290.00","290.00","125,290"
04/15/2025,"290.00","290.40","290.00","290.00","50,820"
04/14/2025,"290.00","290.40","286.00","290.00","11,080"
04/11/2025,"290.00","292.00","289.80","290.00","44,060"
04/10/2025,"290.00","292.00","290.00","290.00","13,440"
04/08/2025,"292.00","292.00","290.20","292.00","82,960"
04/07/2025,"295.00","295.00","290.00","292.00","23,890"
04/04/2025,"292.00","295.00","292.00","295.00","6,970"
04/03/2025,"297.80","297.80","290.00","292.00","19,180"
04/02/2025,"299.80","299.80","297.00","297.80","970"
03/31/2025,"299.00","299.00","295.20","298.00","920"
03/28/2025,"298.00","300.80","295.00","300.80","1,100"
03/27/2025,"299.00","300.00","295.00","298.80","1,230"
03/26/2025,"299.20","300.00","298.00","299.00","26,410"
03/25/2025,"300.20","303.60","299.80","300.00","75,910"
03/24/2025,"303.00","303.00","302.00","302.00","510"
03/21/2025,"304.00","304.00","301.00","301.00","2,990"
03/20/2025,"303.00","304.00","301.00","303.80","41,040"
03/19/2025,"304.00","304.00","300.00","304.00","6,030"
03/18/2025,"304.20","304.20","303.60","304.00","15,360"
03/17/2025,"304.00","304.20","303.60","304.00","6,110"
03/14/2025,"304.20","304.20","304.00","304.00","3,620"
03/13/2025,"304.00","304.00","302.00","303.00","2,830"
03/12/2025,"303.80","304.00","301.60","303.00","2,640"
03/11/2025,"305.40","305.40","304.00","304.00","310"
03/10/2025,"300.20","305.80","300.00","305.60","1,170"
03/07/2025,"305.00","308.00","304.60","308.00","5,550"
03/06/2025,"300.00","305.00","299.00","304.60","3,340"
03/05/2025,"295.00","300.00","295.00","299.00","43,010"
03/04/2025,"294.40","299.60","288.00","299.60","2,880"
03/03/2025,"297.80","299.20","285.00","285.00","5,020"
02/28/2025,"299.00","299.00","297.20","297.80","6,780"
02/27/2025,"298.00","299.80","298.00","299.60","2,010"
02/26/2025,"299.00","299.00","297.00","298.00","47,400"
02/25/2025,"284.00","300.00","284.00","299.60","15,720"
02/24/2025,"284.80","285.00","282.00","284.00","3,260"
02/21/2025,"278.80","285.00","278.00","284.80","57,740"
02/20/2025,"274.80","279.80","274.00","278.80","5,410"
02/19/2025,"274.00","274.80","274.00","274.80","1,160"
02/18/2025,"272.20","274.00","272.20","274.00","4,410"
02/17/2025,"275.80","275.80","273.00","273.00","1,100"
02/14/2025,"273.00","276.00","272.20","275.80","2,170"
02/13/2025,"280.00","280.00","273.00","276.00","1,400"
02/12/2025,"279.00","280.00","275.00","280.00","2,290"
02/11/2025,"279.00","280.00","279.00","279.80","1,520"
02/10/2025,"280.40","282.00","278.60","279.00","3,680"
02/07/2025,"274.60","284.00","274.40","280.00","72,300"
02/06/2025,"270.00","275.00","270.00","274.60","14,800"
02/05/2025,"272.20","274.00","272.20","274.00","5,300"
02/04/2025,"272.40","272.60","270.60","272.40","3,430"
02/03/2025,"271.40","274.00","265.00","272.40","13,070"
01/31/2025,"273.00","273.00","271.40","272.40","1,300"
01/30/2025,"273.60","274.00","271.00","272.00","2,580"
01/28/2025,"273.80","273.80","271.00","273.60","1,940"
01/27/2025,"274.00","274.00","270.20","274.00","840"
01/24/2025,"274.80","274.80","271.00","274.00","15,370"
01/23/2025,"275.00","275.00","274.00","275.00","4,100"
01/22/2025,"274.40","275.00","272.00","275.00","13,400"
01/21/2025,"275.00","275.00","274.00","274.00","6,360"
01/20/2025,"275.00","275.00","272.00","275.00","5,080"
01/17/2025,"275.00","275.00","272.00","275.00","6,250"
01/16/2025,"272.00","275.00","271.00","275.00","6,430"
01/15/2025,"271.00","273.00","270.60","273.00","1,810"
01/14/2025,"274.60","274.60","272.00","274.60","6,800"
01/13/2025,"274.00","277.60","273.00","275.00","18,400"
01/10/2025,"277.60","277.60","273.00","273.00","5,280"
01/09/2025,"277.60","278.40","272.00","277.80","9,790"
01/08/2025,"272.00","278.80","272.00","277.60","17,260"
01/07/2025,"274.00","274.00","270.60","272.00","10,140"
01/06/2025,"274.20","274.80","270.80","271.80","12,690"
01/03/2025,"275.00","275.00","270.00","274.00","10,100"
01/02/2025,"273.20","275.00","270.00","275.00","29,590"
