Date,Open,High,Low,Close,Volume
12/29/2022,"441.60","441.60","434.20","435.00","159,380"
12/28/2022,"439.00","441.60","432.20","441.60","176,370"
12/27/2022,"433.40","439.00","430.00","438.00","107,230"
12/23/2022,"428.00","437.80","420.00","434.00","204,050"
12/22/2022,"419.00","435.00","416.60","430.00","361,370"
12/21/2022,"402.00","416.80","402.00","415.00","256,250"
12/20/2022,"396.80","400.00","391.00","400.00","655,080"
12/19/2022,"410.00","410.00","389.40","390.00","1,229,410"
12/16/2022,"421.80","422.00","412.00","412.00","251,830"
12/15/2022,"424.80","424.80","419.80","422.00","401,890"
12/14/2022,"429.60","429.60","418.40","420.00","505,080"
12/13/2022,"434.00","437.80","418.40","419.00","624,480"
12/12/2022,"439.40","440.00","431.00","431.00","178,690"
12/09/2022,"447.00","447.80","436.00","438.00","253,840"
12/07/2022,"450.00","450.00","440.00","443.00","399,770"
12/06/2022,"443.00","454.80","439.00","450.60","637,930"
12/05/2022,"438.00","446.80","438.00","443.00","532,700"
12/02/2022,"449.00","450.00","432.00","438.00","832,710"
12/01/2022,"440.00","454.00","440.00","450.00","2,450,710"
11/29/2022,"469.60","469.60","439.00","439.00","9,297,830"
11/28/2022,"458.00","477.80","451.00","470.00","749,800"
11/25/2022,"430.00","458.00","429.00","458.00","361,800"
11/24/2022,"434.00","436.80","429.00","430.40","174,640"
11/23/2022,"436.00","442.00","431.00","433.80","172,420"
11/22/2022,"439.00","443.00","430.00","436.00","103,550"
11/21/2022,"431.00","443.00","423.20","438.00","323,010"
11/18/2022,"414.00","435.00","414.00","433.00","274,630"
11/17/2022,"410.00","414.00","409.00","412.80","143,040"
11/16/2022,"408.20","417.00","405.40","407.00","508,670"
11/15/2022,"401.80","409.40","401.80","407.80","348,110"
11/14/2022,"398.00","403.00","398.00","401.00","240,300"
11/11/2022,"395.00","403.60","391.00","398.00","344,280"
11/10/2022,"400.20","402.20","380.00","380.00","495,740"
11/09/2022,"403.00","403.00","400.00","400.00","163,650"
11/08/2022,"402.40","407.00","402.20","405.00","190,540"
11/07/2022,"410.00","410.00","402.40","402.60","219,320"
11/04/2022,"407.00","409.20","401.00","408.80","148,300"
11/03/2022,"413.80","413.80","401.80","405.00","133,730"
11/02/2022,"417.20","419.60","407.20","411.00","328,020"
10/28/2022,"415.00","415.40","411.00","412.80","123,710"
10/27/2022,"410.00","417.40","409.00","414.00","222,960"
10/26/2022,"410.00","410.80","407.20","409.00","59,250"
10/25/2022,"410.00","414.00","401.20","410.00","134,320"
10/24/2022,"410.00","416.00","409.00","410.00","122,760"
10/21/2022,"409.00","409.80","403.20","409.00","200,710"
10/20/2022,"412.00","412.20","399.80","407.00","225,430"
10/19/2022,"411.00","414.60","407.00","410.00","238,710"
10/18/2022,"397.20","409.80","396.80","407.60","358,420"
10/17/2022,"395.00","397.00","391.20","395.20","160,090"
10/14/2022,"397.00","400.00","395.00","395.00","619,790"
10/13/2022,"390.00","398.60","389.60","395.00","280,530"
10/12/2022,"392.80","397.20","390.20","390.20","57,690"
10/11/2022,"390.00","396.80","389.00","393.00","167,260"
10/10/2022,"397.00","397.80","388.00","390.00","232,440"
10/07/2022,"413.00","413.00","396.40","400.00","556,010"
10/06/2022,"415.00","415.20","410.80","413.00","257,730"
10/05/2022,"415.00","420.80","413.00","415.00","192,970"
10/04/2022,"423.00","425.00","404.00","410.00","460,000"
10/03/2022,"410.00","423.00","405.00","416.00","85,330"
09/30/2022,"416.20","420.00","405.00","415.60","306,440"
09/29/2022,"438.00","438.00","416.00","416.00","270,620"
09/28/2022,"453.00","471.60","413.00","415.60","630,320"
09/27/2022,"483.60","483.60","450.60","450.60","264,610"
09/23/2022,"485.00","485.00","477.00","483.80","15,680"
09/22/2022,"479.00","499.60","475.00","485.00","127,770"
09/21/2022,"495.00","499.00","479.00","480.40","287,870"
09/20/2022,"494.00","499.00","492.00","493.00","84,920"
09/19/2022,"509.00","509.00","490.60","495.00","112,960"
09/16/2022,"505.00","507.00","496.00","507.00","129,420"
09/15/2022,"506.00","514.00","495.00","495.00","162,390"
09/14/2022,"496.60","508.50","490.00","508.00","164,730"
09/13/2022,"509.00","509.00","496.80","500.00","139,240"
09/12/2022,"508.00","512.00","503.00","509.00","163,210"
09/09/2022,"493.00","504.50","490.40","502.00","46,650"
09/08/2022,"500.00","502.50","490.40","492.20","110,520"
09/07/2022,"510.00","510.00","492.00","492.40","109,460"
09/06/2022,"507.50","514.50","501.50","504.00","132,360"
09/05/2022,"499.80","505.00","494.00","495.60","178,920"
