Date,Open,High,Low,Close,Volume
12/27/2023,"940.00","940.00","940.00","940.00","10"
12/18/2023,"937.50","937.50","937.50","937.50","2,500"
12/15/2023,"938.50","938.50","937.50","937.50","900"
12/14/2023,"940.00","940.00","937.50","937.50","40"
12/11/2023,"937.50","937.50","937.50","937.50","930"
12/07/2023,"944.50","944.50","936.00","936.00","2,110"
11/29/2023,"940.50","940.50","940.50","940.50","900"
11/22/2023,"950.00","950.00","950.00","950.00","1,000"
11/21/2023,"936.00","948.00","936.00","948.00","70"
11/20/2023,"940.00","940.00","935.00","935.00","40"
11/17/2023,"939.00","940.00","939.00","940.00","2,130"
11/16/2023,"918.50","925.00","918.50","925.00","550"
11/15/2023,"918.50","918.50","918.50","918.50","500"
11/07/2023,"917.50","917.50","917.00","917.00","490"
11/06/2023,"917.50","917.50","916.00","916.00","2,000"
10/31/2023,"917.00","917.00","915.00","915.00","5,810"
10/27/2023,"950.00","950.00","950.00","950.00","10"
10/25/2023,"949.50","950.00","940.00","940.00","30"
10/24/2023,"917.00","917.00","915.00","915.00","2,100"
10/20/2023,"940.00","940.00","940.00","940.00","110"
10/17/2023,"916.50","916.50","916.50","916.50","50"
10/13/2023,"915.00","916.50","910.00","910.00","2,060"
10/10/2023,"912.00","912.00","912.00","912.00","1,050"
10/09/2023,"912.00","912.50","912.00","912.00","6,460"
10/06/2023,"910.00","912.00","910.00","911.00","600"
10/03/2023,"950.00","950.00","950.00","950.00","50"
10/02/2023,"940.00","940.00","940.00","940.00","100"
09/27/2023,"913.00","913.00","900.00","900.00","2,100"
09/25/2023,"912.50","947.00","912.50","947.00","600"
09/18/2023,"943.00","943.00","910.50","910.50","4,840"
09/14/2023,"968.00","968.00","968.00","968.00","10"
08/30/2023,"968.00","968.00","968.00","968.00","10"
08/29/2023,"940.00","940.00","940.00","940.00","10"
08/23/2023,"941.00","941.00","933.00","933.00","1,070"
08/18/2023,"941.00","941.00","941.00","941.00","200"
08/16/2023,"941.00","941.00","941.00","941.00","1,000"
08/15/2023,"941.00","941.00","941.00","941.00","1,010"
08/14/2023,"937.00","937.00","935.00","935.00","100"
08/04/2023,"973.50","973.50","973.50","973.50","10"
07/28/2023,"933.50","933.50","933.50","933.50","930"
07/26/2023,"932.50","932.50","932.50","932.50","1,800"
07/24/2023,"952.00","952.00","952.00","952.00","4,830"
07/21/2023,"952.00","952.00","952.00","952.00","500"
07/19/2023,"952.00","952.00","952.00","952.00","40"
07/10/2023,"955.00","955.00","955.00","955.00","470"
07/06/2023,"950.50","950.50","950.50","950.50","100"
07/05/2023,"950.50","955.00","950.50","955.00","110"
07/04/2023,"955.00","955.00","950.00","950.00","90"
07/03/2023,"950.00","950.00","950.00","950.00","640"
06/29/2023,"950.00","950.00","948.00","948.00","500"
06/27/2023,"960.00","960.00","960.00","960.00","140"
06/23/2023,"960.00","960.00","960.00","960.00","10"
06/22/2023,"960.00","960.00","960.00","960.00","10"
06/21/2023,"965.00","970.00","938.00","970.00","2,650"
06/20/2023,"965.00","965.00","965.00","965.00","300"
06/16/2023,"964.50","964.50","964.50","964.50","10"
06/14/2023,"940.00","940.00","940.00","940.00","500"
06/13/2023,"936.50","936.50","931.00","931.00","1,700"
06/08/2023,"936.00","936.00","936.00","936.00","2,000"
06/07/2023,"948.50","948.50","936.00","936.00","2,000"
06/06/2023,"948.50","949.00","948.50","948.50","1,500"
06/02/2023,"948.50","949.50","948.50","949.50","300"
06/01/2023,"945.00","945.00","945.00","945.00","390"
05/31/2023,"945.00","945.00","945.00","945.00","60"
05/26/2023,"945.00","945.00","945.00","945.00","50"
05/24/2023,"940.00","940.00","940.00","940.00","10"
05/23/2023,"935.00","935.00","935.00","935.00","10"
05/19/2023,"944.00","944.00","944.00","944.00","80"
05/18/2023,"944.00","944.00","944.00","944.00","200"
05/16/2023,"935.00","944.00","935.00","944.00","20"
05/09/2023,"945.00","945.00","945.00","945.00","10"
05/03/2023,"945.00","945.00","945.00","945.00","10"
04/27/2023,"944.00","944.00","944.00","944.00","10"
04/26/2023,"949.00","949.00","944.00","944.00","230"
04/24/2023,"950.00","950.00","950.00","950.00","1,000"
04/17/2023,"912.00","912.00","911.50","911.50","100"
04/14/2023,"940.00","940.00","940.00","940.00","6,000"
03/29/2023,"940.00","940.00","940.00","940.00","20"
03/21/2023,"931.00","931.00","931.00","931.00","500"
03/20/2023,"931.00","931.00","930.00","930.00","8,100"
03/17/2023,"930.50","930.50","930.00","930.00","300"
03/16/2023,"950.00","950.00","950.00","950.00","100"
03/15/2023,"950.00","950.00","950.00","950.00","350"
03/14/2023,"951.00","951.00","950.00","950.00","3,000"
03/09/2023,"985.00","985.00","985.00","985.00","50"
03/08/2023,"984.50","984.50","984.50","984.50","10"
03/02/2023,"950.50","951.00","950.00","951.00","3,010"
02/20/2023,"990.00","990.00","990.00","990.00","50"
02/17/2023,"953.00","953.00","952.00","952.00","100"
02/07/2023,"952.50","952.50","952.50","952.50","900"
02/06/2023,"990.00","990.00","990.00","990.00","10"
02/03/2023,"990.00","990.00","990.00","990.00","10"
02/01/2023,"950.50","950.50","950.50","950.50","2,100"
01/30/2023,"995.00","995.00","950.00","950.00","110"
01/25/2023,"995.00","995.00","995.00","995.00","10"
01/24/2023,"995.00","995.00","995.00","995.00","30"
01/13/2023,"995.00","995.00","950.00","995.00","130"
01/10/2023,"984.50","984.50","984.50","984.50","10"
