Date,Open,High,Low,Close,Volume
12/27/2024,"3.450","3.450","3.380","3.380","30,000"
12/23/2024,"3.450","3.450","3.450","3.450","5,000"
12/19/2024,"3.400","3.400","3.400","3.400","10,000"
12/16/2024,"3.500","3.500","3.500","3.500","8,000"
12/12/2024,"3.570","3.570","3.570","3.570","10,000"
12/09/2024,"3.500","3.500","3.500","3.500","20,000"
12/06/2024,"3.500","3.500","3.500","3.500","340,000"
12/05/2024,"3.580","3.580","3.500","3.500","109,000"
12/04/2024,"3.500","3.500","3.500","3.500","20,000"
11/20/2024,"3.500","3.500","3.480","3.480","46,000"
11/18/2024,"3.510","3.510","3.510","3.510","2,000"
11/15/2024,"3.630","3.650","3.500","3.500","144,000"
11/07/2024,"3.450","3.450","3.450","3.450","10,000"
10/30/2024,"3.480","3.480","3.460","3.460","11,000"
10/29/2024,"3.480","3.480","3.480","3.480","3,000"
10/25/2024,"3.650","3.650","3.650","3.650","19,000"
10/22/2024,"3.650","3.650","3.650","3.650","5,000"
10/21/2024,"3.650","3.650","3.650","3.650","1,000"
10/17/2024,"3.540","3.540","3.540","3.540","30,000"
10/16/2024,"3.540","3.540","3.540","3.540","8,000"
10/15/2024,"3.480","3.480","3.480","3.480","1,000"
10/10/2024,"3.500","3.500","3.500","3.500","45,000"
09/30/2024,"3.510","3.510","3.500","3.500","111,000"
09/27/2024,"3.550","3.550","3.550","3.550","5,000"
09/26/2024,"3.560","3.560","3.550","3.550","59,000"
09/24/2024,"3.530","3.550","3.530","3.550","435,000"
09/23/2024,"3.550","3.550","3.500","3.500","661,000"
09/20/2024,"3.500","3.500","3.500","3.500","145,000"
09/18/2024,"3.500","3.500","3.500","3.500","14,000"
09/17/2024,"3.800","3.800","3.500","3.500","54,000"
09/16/2024,"3.460","3.460","3.460","3.460","150,000"
09/13/2024,"3.450","3.450","3.450","3.450","49,000"
09/12/2024,"3.530","3.600","3.500","3.500","194,000"
09/10/2024,"3.530","3.530","3.530","3.530","1,000"
09/09/2024,"3.550","3.550","3.550","3.550","10,000"
09/06/2024,"3.500","3.500","3.500","3.500","10,000"
08/30/2024,"3.500","3.500","3.500","3.500","1,000"
08/29/2024,"3.400","3.400","3.400","3.400","640,000"
08/28/2024,"3.400","3.400","3.400","3.400","1,000"
08/27/2024,"3.600","3.600","3.100","3.400","53,000"
08/22/2024,"3.770","3.850","3.770","3.850","8,000"
08/21/2024,"3.820","3.820","3.800","3.800","8,000"
08/20/2024,"3.850","3.850","3.850","3.850","5,000"
08/16/2024,"3.990","4.000","3.990","3.990","11,000"
08/15/2024,"4.080","4.090","3.990","4.000","71,000"
08/14/2024,"3.590","4.300","3.590","4.090","160,000"
08/09/2024,"3.600","3.600","3.600","3.600","7,000"
08/07/2024,"3.240","3.240","3.240","3.240","9,000"
08/02/2024,"3.240","3.240","3.240","3.240","1,000"
07/18/2024,"3.310","3.310","3.300","3.300","4,000"
07/10/2024,"3.300","3.300","3.300","3.300","5,000"
07/08/2024,"3.300","3.300","3.300","3.300","1,000"
07/05/2024,"3.330","3.330","3.300","3.300","20,000"
06/28/2024,"3.510","3.510","3.510","3.510","1,000"
05/23/2024,"3.440","3.460","3.430","3.430","51,000"
05/21/2024,"3.510","3.510","3.410","3.410","3,000"
05/10/2024,"3.510","3.510","3.510","3.510","50,000"
04/29/2024,"3.510","3.510","3.510","3.510","5,000"
04/25/2024,"3.320","3.320","3.320","3.320","1,000"
04/24/2024,"3.320","3.320","3.320","3.320","4,000"
04/02/2024,"3.500","3.500","3.500","3.500","26,000"
03/20/2024,"3.490","3.490","3.490","3.490","14,000"
03/19/2024,"3.310","3.310","3.300","3.300","10,000"
03/18/2024,"3.600","3.600","3.300","3.300","310,000"
02/08/2024,"3.840","3.840","3.840","3.840","1,000"
02/07/2024,"3.700","3.700","3.600","3.600","17,000"
01/31/2024,"3.750","3.970","3.750","3.850","70,000"
01/24/2024,"3.420","3.420","3.350","3.350","20,000"
01/19/2024,"3.400","3.400","3.400","3.400","25,000"
01/18/2024,"3.410","3.410","3.320","3.320","450,000"
01/17/2024,"3.610","3.610","3.500","3.500","76,000"
01/16/2024,"3.790","3.790","3.590","3.610","10,000"
01/15/2024,"3.560","3.790","3.560","3.790","360,000"
01/12/2024,"3.560","3.560","3.560","3.560","1,000"
01/11/2024,"3.560","3.560","3.560","3.560","174,000"
01/10/2024,"3.500","3.560","3.500","3.560","267,000"
01/09/2024,"3.450","3.500","3.450","3.500","62,000"
01/08/2024,"3.470","3.480","3.470","3.480","7,000"
01/05/2024,"3.300","3.300","3.220","3.220","30,000"
01/04/2024,"3.500","3.500","3.500","3.500","22,000"
01/03/2024,"3.500","3.500","3.500","3.500","20,000"
01/02/2024,"3.270","3.270","3.270","3.270","50,000"
