Date,Open,High,Low,Close,Volume
05/07/2025,"1.130","1.160","1.130","1.160","2,000"
05/06/2025,"1.140","1.140","1.140","1.140","195,000"
05/05/2025,"1.140","1.150","1.140","1.150","148,000"
05/02/2025,"1.150","1.160","1.150","1.150","552,000"
04/30/2025,"1.140","1.140","1.140","1.140","100,000"
04/29/2025,"1.130","1.150","1.120","1.120","385,000"
04/28/2025,"1.140","1.140","1.130","1.130","356,000"
04/25/2025,"1.150","1.150","1.120","1.120","218,000"
04/24/2025,"1.120","1.150","1.120","1.150","639,000"
04/23/2025,"1.110","1.150","1.110","1.150","78,000"
04/22/2025,"1.120","1.140","1.110","1.140","234,000"
04/21/2025,"1.140","1.140","1.130","1.140","222,000"
04/16/2025,"1.110","1.140","1.110","1.140","67,000"
04/15/2025,"1.120","1.140","1.120","1.130","85,000"
04/14/2025,"1.100","1.130","1.100","1.130","279,000"
04/10/2025,"1.140","1.140","1.120","1.120","150,000"
04/08/2025,"1.150","1.150","1.120","1.120","505,000"
04/07/2025,"1.130","1.150","1.110","1.140","2,214,000"
