Date,Open,High,Low,Close,Volume
12/29/2022,"198.20","204.40","196.70","200.00","1,111,840"
12/28/2022,"204.00","204.00","196.30","198.00","485,330"
12/27/2022,"204.00","205.00","200.00","200.00","320,150"
12/23/2022,"197.10","204.00","197.10","204.00","750,890"
12/22/2022,"197.00","199.90","196.00","198.00","943,720"
12/21/2022,"203.40","203.40","194.80","195.90","1,077,210"
12/20/2022,"197.60","204.60","195.00","204.00","1,347,930"
12/19/2022,"203.40","203.60","196.00","196.00","586,490"
12/16/2022,"200.00","205.00","198.00","205.00","1,891,770"
12/15/2022,"207.80","207.80","200.20","204.00","1,363,100"
12/14/2022,"203.00","207.00","199.10","207.00","845,000"
12/13/2022,"200.00","207.00","199.50","207.00","1,273,030"
12/12/2022,"200.00","204.40","198.90","201.00","1,482,550"
12/09/2022,"191.50","203.00","185.50","203.00","2,812,130"
12/07/2022,"193.80","196.10","189.10","190.00","2,870,470"
12/06/2022,"184.00","199.50","184.00","188.40","2,089,490"
12/05/2022,"193.60","193.60","184.30","184.30","1,199,500"
12/02/2022,"199.50","199.50","193.50","193.50","1,130,800"
12/01/2022,"205.80","207.00","196.80","196.80","2,612,970"
11/29/2022,"197.50","205.00","192.10","205.00","2,896,390"
11/28/2022,"186.00","198.90","185.80","198.90","1,432,720"
11/25/2022,"186.80","189.60","182.30","185.80","2,838,660"
11/24/2022,"186.00","186.70","183.00","184.50","1,854,160"
11/23/2022,"185.20","189.00","185.20","186.00","1,247,680"
11/22/2022,"188.80","191.30","185.50","186.00","1,636,180"
11/21/2022,"188.40","190.00","184.10","190.00","1,755,350"
11/18/2022,"183.10","188.80","181.80","188.00","940,720"
11/17/2022,"185.00","187.00","182.80","184.20","1,023,570"
11/16/2022,"183.90","187.50","182.10","187.50","1,285,730"
11/15/2022,"183.00","186.50","181.60","183.80","925,150"
11/14/2022,"178.20","183.80","178.00","181.00","371,510"
11/11/2022,"183.00","189.00","175.80","178.20","897,680"
11/10/2022,"181.00","182.80","176.10","176.70","1,354,450"
11/09/2022,"188.90","188.90","180.00","180.00","1,263,780"
11/08/2022,"187.00","189.80","184.00","186.80","1,975,170"
11/07/2022,"177.80","191.00","174.00","190.00","3,465,610"
11/04/2022,"171.90","177.80","167.10","177.80","2,363,430"
11/03/2022,"165.00","176.00","161.80","172.00","3,571,420"
11/02/2022,"173.00","173.00","162.20","162.50","3,818,800"
10/28/2022,"175.20","175.20","171.00","173.00","926,620"
10/27/2022,"173.40","177.50","172.00","177.50","2,891,060"
10/26/2022,"168.00","173.00","166.40","171.70","3,650,630"
10/25/2022,"174.00","174.90","165.90","165.90","3,520,750"
10/24/2022,"172.00","174.50","171.00","174.50","1,249,690"
10/21/2022,"176.40","176.40","172.00","172.00","670,800"
10/20/2022,"172.10","175.00","172.10","175.00","2,589,550"
10/19/2022,"177.00","178.00","172.00","173.40","1,219,570"
10/18/2022,"172.50","176.80","172.00","176.60","850,760"
