Date,Open,High,Low,Close,Volume
12/27/2024,"1.520","1.520","1.490","1.490","13,000"
12/26/2024,"1.530","1.530","1.510","1.510","26,000"
12/23/2024,"1.450","1.550","1.450","1.450","546,000"
12/20/2024,"1.520","1.600","1.460","1.480","1,061,000"
12/19/2024,"1.550","1.550","1.530","1.550","150,000"
12/18/2024,"1.550","1.650","1.530","1.620","582,000"
12/17/2024,"1.540","1.590","1.530","1.570","150,000"
12/16/2024,"1.550","1.560","1.550","1.560","10,000"
12/13/2024,"1.600","1.600","1.550","1.550","301,000"
12/12/2024,"1.660","1.660","1.600","1.610","251,000"
12/11/2024,"1.600","1.660","1.600","1.610","51,000"
12/10/2024,"1.620","1.620","1.560","1.600","485,000"
12/09/2024,"1.700","1.710","1.530","1.660","89,000"
12/06/2024,"1.600","1.690","1.550","1.660","1,296,000"
12/05/2024,"1.580","1.590","1.530","1.560","465,000"
12/04/2024,"1.530","1.570","1.520","1.570","580,000"
12/03/2024,"1.560","1.570","1.530","1.530","426,000"
12/02/2024,"1.650","1.650","1.560","1.570","195,000"
11/29/2024,"1.640","1.640","1.620","1.630","22,000"
11/28/2024,"1.620","1.690","1.550","1.640","140,000"
11/27/2024,"1.700","1.700","1.660","1.690","226,000"
11/26/2024,"1.700","1.700","1.600","1.660","536,000"
11/25/2024,"1.650","1.670","1.600","1.610","355,000"
11/22/2024,"1.670","1.670","1.600","1.650","175,000"
11/21/2024,"1.710","1.710","1.620","1.660","73,000"
11/20/2024,"1.660","1.660","1.620","1.620","634,000"
11/19/2024,"1.700","1.710","1.650","1.660","86,000"
11/18/2024,"1.640","1.700","1.640","1.680","67,000"
11/15/2024,"1.550","1.640","1.550","1.640","98,000"
11/14/2024,"1.660","1.660","1.500","1.550","1,727,000"
11/13/2024,"1.670","1.700","1.660","1.660","497,000"
11/12/2024,"1.700","1.710","1.680","1.680","469,000"
11/11/2024,"1.710","1.760","1.700","1.700","665,000"
11/08/2024,"1.690","1.710","1.680","1.710","530,000"
11/07/2024,"1.700","1.700","1.660","1.690","641,000"
11/06/2024,"1.710","1.720","1.680","1.710","832,000"
11/05/2024,"1.690","1.720","1.690","1.710","622,000"
11/04/2024,"1.770","1.770","1.680","1.690","205,000"
10/31/2024,"1.720","1.730","1.680","1.720","159,000"
10/30/2024,"1.700","1.740","1.650","1.680","2,670,000"
10/29/2024,"1.750","1.770","1.700","1.710","1,023,000"
10/28/2024,"1.750","1.800","1.750","1.760","118,000"
10/25/2024,"1.830","1.830","1.760","1.760","293,000"
10/24/2024,"1.760","1.800","1.710","1.780","1,301,000"
10/23/2024,"1.830","1.830","1.740","1.750","1,048,000"
10/22/2024,"1.850","1.850","1.800","1.800","375,000"
10/21/2024,"1.790","1.840","1.780","1.810","226,000"
10/18/2024,"1.800","1.830","1.790","1.790","344,000"
10/17/2024,"1.800","1.840","1.790","1.800","232,000"
10/16/2024,"1.850","1.850","1.790","1.800","620,000"
