Date,Open,High,Low,Close,Volume
12/21/2023,"3.500","3.500","3.500","3.500","10,000"
12/18/2023,"3.450","3.450","3.400","3.400","10,000"
12/06/2023,"3.500","3.500","3.500","3.500","2,000"
12/05/2023,"3.650","3.650","3.540","3.540","5,000"
11/20/2023,"3.700","3.700","3.680","3.680","5,000"
10/20/2023,"3.800","3.800","3.720","3.720","5,000"
10/11/2023,"3.950","3.950","3.800","3.800","5,000"
09/27/2023,"4.000","4.000","4.000","4.000","2,000"
09/15/2023,"4.150","4.150","4.050","4.050","5,000"
09/14/2023,"4.400","4.400","4.200","4.200","6,000"
09/13/2023,"4.450","4.450","4.450","4.450","2,000"
09/08/2023,"4.700","4.700","4.500","4.500","7,000"
09/06/2023,"4.900","4.900","4.800","4.800","3,000"
09/01/2023,"5.700","5.700","5.500","5.500","18,500"
08/30/2023,"5.850","5.850","5.700","5.700","15,000"
08/24/2023,"5.850","5.850","5.800","5.800","2,000"
08/18/2023,"6.000","6.000","5.850","5.850","10,000"
07/20/2023,"5.920","5.920","5.850","5.850","5,000"
07/19/2023,"5.970","5.970","5.950","5.970","5,000"
07/18/2023,"5.980","5.980","5.970","5.970","2,500"
07/17/2023,"5.970","5.970","5.970","5.970","3,000"
07/11/2023,"6.000","6.000","6.000","6.000","2,000"
07/06/2023,"5.970","5.970","5.970","5.970","400"
06/30/2023,"6.100","6.100","6.000","6.000","5,000"
06/05/2023,"6.100","6.100","6.000","6.000","3,700"
06/01/2023,"6.100","6.100","6.000","6.000","5,800"
05/17/2023,"6.100","6.100","6.050","6.050","3,000"
05/16/2023,"6.200","6.200","6.000","6.000","12,000"
05/12/2023,"6.250","6.250","6.000","6.000","12,000"
04/26/2023,"6.320","6.320","6.300","6.300","4,500"
04/04/2023,"6.300","6.300","6.300","6.300","2,000"
03/30/2023,"6.300","6.300","6.250","6.250","4,000"
03/24/2023,"6.500","6.500","6.500","6.500","1,500"
03/16/2023,"6.490","6.490","6.490","6.490","1,400"
03/13/2023,"6.490","6.490","6.490","6.490","100"
03/07/2023,"6.250","6.250","6.250","6.250","1,000"
02/15/2023,"6.400","6.400","6.260","6.260","5,000"
02/08/2023,"6.400","6.400","6.400","6.400","3,000"
02/01/2023,"6.630","6.630","6.500","6.500","14,100"
01/26/2023,"6.620","6.620","6.620","6.620","200"
01/16/2023,"6.600","6.600","6.600","6.600","1,500"
01/11/2023,"6.650","6.650","6.650","6.650","2,000"
01/04/2023,"6.600","6.600","6.600","6.600","1,700"
