Date,Open,High,Low,Close,Volume
12/31/2021,"1.740","1.740","1.740","1.740","29,000"
12/29/2021,"1.680","1.750","1.680","1.750","7,000"
12/28/2021,"1.750","1.750","1.740","1.740","7,000"
12/27/2021,"1.750","1.800","1.750","1.800","28,000"
12/23/2021,"1.750","1.750","1.750","1.750","2,000"
12/22/2021,"1.770","1.770","1.750","1.750","23,000"
12/20/2021,"1.680","1.680","1.680","1.680","5,000"
12/17/2021,"1.800","1.800","1.700","1.700","11,000"
12/16/2021,"1.800","1.800","1.800","1.800","2,000"
12/15/2021,"1.790","1.790","1.700","1.780","5,000"
12/14/2021,"1.800","1.800","1.700","1.790","9,000"
12/09/2021,"1.700","1.800","1.700","1.800","5,000"
12/02/2021,"1.850","1.850","1.800","1.800","6,000"
12/01/2021,"1.800","1.880","1.800","1.880","22,000"
11/25/2021,"1.900","1.900","1.900","1.900","2,000"
11/24/2021,"1.900","1.900","1.900","1.900","2,000"
11/19/2021,"1.850","1.950","1.850","1.950","2,000"
11/11/2021,"1.950","1.950","1.900","1.900","30,000"
11/04/2021,"1.910","1.950","1.900","1.950","52,000"
11/03/2021,"1.920","1.920","1.920","1.920","6,000"
11/02/2021,"1.940","1.950","1.920","1.950","3,000"
10/28/2021,"1.920","1.950","1.910","1.950","37,000"
10/26/2021,"1.960","2.000","1.950","2.000","45,000"
10/22/2021,"2.000","2.000","2.000","2.000","2,000"
10/21/2021,"1.940","2.000","1.940","2.000","3,000"
10/20/2021,"1.930","2.000","1.930","2.000","28,000"
10/14/2021,"2.000","2.000","2.000","2.000","5,000"
10/12/2021,"2.000","2.000","2.000","2.000","1,000"
10/11/2021,"2.000","2.000","2.000","2.000","10,000"
10/08/2021,"2.000","2.000","2.000","2.000","9,000"
10/06/2021,"2.000","2.000","2.000","2.000","9,000"
10/05/2021,"2.000","2.000","2.000","2.000","20,000"
10/04/2021,"2.000","2.000","2.000","2.000","10,000"
09/29/2021,"2.030","2.030","2.030","2.030","10,000"
09/28/2021,"2.020","2.020","2.020","2.020","2,000"
09/27/2021,"2.110","2.110","2.110","2.110","2,000"
09/24/2021,"2.120","2.120","2.120","2.120","5,000"
09/22/2021,"2.110","2.110","2.110","2.110","3,000"
09/21/2021,"2.010","2.110","2.000","2.110","17,000"
09/10/2021,"2.150","2.200","2.150","2.200","13,000"
09/09/2021,"2.200","2.200","2.200","2.200","2,000"
08/31/2021,"2.200","2.200","2.150","2.150","5,000"
08/27/2021,"2.200","2.200","2.200","2.200","5,000"
08/26/2021,"2.250","2.270","2.250","2.250","10,000"
08/20/2021,"2.170","2.350","2.170","2.250","89,000"
08/19/2021,"2.200","2.250","2.170","2.250","12,000"
08/18/2021,"2.200","2.250","2.200","2.250","23,000"
08/17/2021,"2.130","2.220","2.130","2.220","68,000"
08/16/2021,"2.260","2.300","2.260","2.300","55,000"
08/12/2021,"2.220","2.320","2.220","2.310","65,000"
08/11/2021,"2.210","2.210","2.210","2.210","10,000"
08/09/2021,"2.060","2.200","2.060","2.200","18,000"
08/06/2021,"2.020","2.020","2.020","2.020","9,000"
08/05/2021,"2.100","2.100","2.100","2.100","2,000"
08/03/2021,"2.150","2.200","2.150","2.200","5,000"
07/30/2021,"2.100","2.150","2.060","2.150","10,000"
07/28/2021,"2.150","2.150","2.150","2.150","5,000"
07/27/2021,"2.150","2.150","2.150","2.150","3,000"
07/23/2021,"2.180","2.340","2.150","2.150","35,000"
07/22/2021,"2.120","2.180","2.120","2.180","2,000"
07/19/2021,"2.050","2.180","2.040","2.180","22,000"
07/16/2021,"2.100","2.100","2.100","2.100","3,000"
07/15/2021,"2.150","2.200","2.150","2.200","4,000"
07/12/2021,"2.230","2.250","2.190","2.250","44,000"
07/09/2021,"2.230","2.230","2.230","2.230","1,000"
07/08/2021,"2.300","2.300","2.220","2.220","31,000"
07/07/2021,"2.400","2.500","2.200","2.270","248,000"
07/06/2021,"2.410","2.410","2.150","2.150","148,000"
07/02/2021,"2.410","2.410","2.410","2.410","12,000"
06/30/2021,"2.450","2.460","2.450","2.450","12,000"
06/29/2021,"2.400","2.470","2.380","2.450","188,000"
06/28/2021,"2.410","2.410","2.370","2.370","64,000"
