Date,Open,High,Low,Close,Volume
12/29/2020,"2.000","2.200","2.000","2.110","126,000"
12/28/2020,"2.230","2.230","2.100","2.190","19,000"
12/23/2020,"2.140","2.180","2.100","2.150","336,000"
12/22/2020,"2.310","2.310","2.030","2.050","423,000"
12/21/2020,"2.230","2.350","2.110","2.320","147,000"
12/18/2020,"2.110","2.250","2.110","2.250","99,000"
12/17/2020,"2.180","2.320","2.050","2.200","372,000"
12/16/2020,"2.130","2.400","2.100","2.280","661,000"
12/15/2020,"2.150","2.240","2.110","2.140","190,000"
12/14/2020,"2.080","2.180","1.950","2.180","548,000"
12/11/2020,"1.850","2.240","1.850","2.040","879,000"
12/10/2020,"1.880","1.900","1.840","1.890","68,000"
12/09/2020,"1.810","1.890","1.810","1.890","66,000"
12/07/2020,"1.830","1.870","1.800","1.870","93,000"
12/04/2020,"1.870","1.870","1.820","1.870","75,000"
12/03/2020,"1.820","1.890","1.800","1.890","84,000"
12/02/2020,"1.930","1.930","1.820","1.820","89,000"
12/01/2020,"1.890","1.890","1.780","1.820","118,000"
11/27/2020,"1.970","1.970","1.790","1.900","212,000"
11/26/2020,"1.900","2.000","1.850","1.950","298,000"
11/25/2020,"2.070","2.100","1.840","1.840","1,098,000"
11/24/2020,"1.750","1.980","1.680","1.930","2,611,000"
11/23/2020,"1.700","1.770","1.680","1.740","188,000"
11/20/2020,"1.690","1.710","1.660","1.700","116,000"
11/19/2020,"1.700","1.700","1.690","1.690","32,000"
11/18/2020,"1.630","1.690","1.610","1.690","284,000"
11/17/2020,"1.620","1.670","1.620","1.640","37,000"
11/16/2020,"1.670","1.710","1.630","1.670","84,000"
11/13/2020,"1.620","1.670","1.620","1.670","18,000"
11/11/2020,"1.630","1.670","1.610","1.670","63,000"
11/10/2020,"1.600","1.690","1.600","1.690","12,000"
11/09/2020,"1.600","1.710","1.600","1.690","25,000"
11/06/2020,"1.600","1.700","1.580","1.700","366,000"
11/05/2020,"1.650","1.670","1.600","1.600","160,000"
11/04/2020,"1.650","1.700","1.650","1.650","59,000"
11/03/2020,"1.650","1.650","1.630","1.650","34,000"
10/30/2020,"1.690","1.720","1.690","1.700","151,000"
10/29/2020,"1.600","1.690","1.600","1.690","116,000"
10/28/2020,"1.610","1.610","1.560","1.600","15,000"
10/27/2020,"1.610","1.650","1.580","1.620","46,000"
10/26/2020,"1.610","1.610","1.570","1.570","34,000"
10/23/2020,"1.590","1.650","1.580","1.610","36,000"
10/22/2020,"1.570","1.630","1.570","1.630","59,000"
10/21/2020,"1.580","1.610","1.560","1.610","44,000"
10/20/2020,"1.550","1.620","1.550","1.620","68,000"
10/19/2020,"1.600","1.620","1.510","1.610","170,000"
10/16/2020,"1.530","1.590","1.520","1.580","48,000"
10/15/2020,"1.520","1.560","1.520","1.520","47,000"
10/14/2020,"1.530","1.560","1.530","1.560","32,000"
10/13/2020,"1.530","1.530","1.520","1.520","113,000"
10/12/2020,"1.560","1.590","1.530","1.530","66,000"
10/09/2020,"1.560","1.610","1.560","1.560","184,000"
10/08/2020,"1.560","1.560","1.510","1.560","37,000"
10/07/2020,"1.510","1.590","1.510","1.580","58,000"
10/06/2020,"1.510","1.530","1.500","1.510","93,000"
10/05/2020,"1.510","1.550","1.510","1.510","145,000"
10/02/2020,"1.550","1.550","1.520","1.520","65,000"
10/01/2020,"1.550","1.550","1.520","1.550","108,000"
09/30/2020,"1.570","1.570","1.540","1.540","88,000"
09/29/2020,"1.580","1.580","1.580","1.580","43,000"
09/28/2020,"1.660","1.660","1.580","1.590","31,000"
09/25/2020,"1.680","1.700","1.560","1.660","93,000"
09/24/2020,"1.700","1.730","1.680","1.700","43,000"
09/23/2020,"1.600","1.690","1.600","1.670","82,000"
09/22/2020,"1.640","1.640","1.550","1.600","30,000"
09/21/2020,"1.580","1.640","1.550","1.640","52,000"
09/18/2020,"1.590","1.620","1.590","1.620","13,000"
09/17/2020,"1.660","1.700","1.630","1.630","72,000"
09/16/2020,"1.580","1.760","1.580","1.660","207,000"
09/15/2020,"1.610","1.630","1.580","1.580","61,000"
09/14/2020,"1.580","1.600","1.570","1.600","77,000"
09/10/2020,"1.570","1.580","1.570","1.580","15,000"
09/09/2020,"1.550","1.570","1.500","1.570","104,000"
09/08/2020,"1.620","1.630","1.530","1.550","50,000"
09/07/2020,"1.540","1.620","1.540","1.620","38,000"
09/04/2020,"1.630","1.630","1.580","1.610","23,000"
09/03/2020,"1.510","1.560","1.510","1.560","11,000"
