Date,Open,High,Low,Close,Volume
12/29/2020,"193.40","197.00","193.30","195.20","702,460"
12/28/2020,"196.00","196.30","192.70","193.30","597,460"
12/23/2020,"197.50","198.70","194.00","197.50","776,750"
12/22/2020,"201.00","201.40","193.30","197.00","1,023,200"
12/21/2020,"203.20","204.00","201.80","201.80","577,690"
12/18/2020,"206.40","206.40","202.40","204.00","786,270"
12/17/2020,"208.00","208.20","206.20","206.20","463,650"
12/16/2020,"209.00","209.00","206.20","206.20","1,027,020"
12/15/2020,"207.40","209.80","207.00","207.00","1,085,840"
12/14/2020,"206.80","208.00","206.00","207.00","603,610"
12/11/2020,"207.80","209.60","205.00","207.00","1,170,070"
12/10/2020,"210.80","210.80","207.80","207.80","676,190"
12/09/2020,"209.00","211.00","209.00","210.60","618,320"
12/07/2020,"207.00","209.00","205.20","209.00","849,270"
12/04/2020,"204.80","207.20","202.40","206.40","1,116,580"
12/03/2020,"199.80","205.00","199.30","204.80","1,626,900"
12/02/2020,"197.00","199.00","194.30","199.00","885,050"
12/01/2020,"187.00","197.00","185.70","197.00","928,550"
11/27/2020,"189.70","194.30","189.00","189.00","1,719,420"
11/26/2020,"191.00","191.10","188.50","189.00","693,960"
11/25/2020,"191.00","194.60","191.00","191.00","566,790"
11/24/2020,"193.00","193.00","190.00","190.00","996,580"
11/23/2020,"195.00","195.00","192.20","193.00","813,110"
11/20/2020,"194.00","195.00","192.00","195.00","530,820"
11/19/2020,"196.50","196.50","193.00","193.80","501,090"
11/18/2020,"196.90","198.00","196.30","196.60","451,570"
11/17/2020,"190.30","196.50","190.30","196.50","1,005,340"
11/16/2020,"193.30","195.70","189.00","190.20","1,039,390"
11/13/2020,"196.00","196.10","192.80","193.20","1,097,780"
11/11/2020,"200.20","200.20","196.00","196.50","1,316,330"
11/10/2020,"198.50","201.80","196.00","200.20","2,113,830"
11/09/2020,"197.00","201.20","195.00","198.90","1,126,490"
11/06/2020,"194.40","197.00","188.10","196.80","1,756,460"
11/05/2020,"185.00","199.00","184.80","194.20","2,009,130"
11/04/2020,"175.10","185.00","175.10","185.00","1,654,170"
11/03/2020,"170.00","175.00","169.00","174.50","889,400"
10/30/2020,"171.60","171.60","168.00","170.00","1,005,570"
10/29/2020,"173.50","173.50","171.60","172.50","637,430"
10/28/2020,"173.20","176.40","171.60","174.50","690,540"
10/27/2020,"175.50","175.50","170.60","173.20","2,195,390"
10/26/2020,"179.00","179.00","170.00","176.40","1,448,520"
10/23/2020,"172.00","179.00","171.90","179.00","2,351,810"
10/22/2020,"170.00","177.80","168.50","170.50","2,960,400"
10/21/2020,"170.00","175.00","165.10","170.00","3,108,770"
10/20/2020,"154.60","174.00","154.60","169.00","3,944,710"
10/19/2020,"147.10","154.80","147.10","154.60","1,882,710"
10/16/2020,"146.00","147.00","145.40","147.00","380,910"
10/15/2020,"146.70","147.50","146.60","147.20","389,960"
10/14/2020,"145.10","146.90","145.10","146.70","880,800"
10/13/2020,"145.40","147.50","144.30","145.50","792,550"
10/12/2020,"143.80","145.40","142.90","145.40","831,650"
10/09/2020,"143.00","144.50","142.80","143.80","746,480"
10/08/2020,"138.00","143.20","138.00","142.70","846,440"
10/07/2020,"137.80","137.90","137.20","137.70","693,560"
10/06/2020,"141.00","141.30","137.80","137.80","734,570"
10/05/2020,"143.00","143.00","141.10","141.10","947,680"
10/02/2020,"143.50","143.80","140.50","143.00","516,190"
10/01/2020,"145.00","145.00","143.00","143.60","330,260"
09/30/2020,"144.70","145.00","143.20","145.00","1,423,680"
09/29/2020,"140.00","144.80","140.00","144.80","1,582,390"
09/28/2020,"138.50","139.40","138.20","139.10","465,940"
09/25/2020,"138.00","138.40","137.00","138.00","505,510"
09/24/2020,"138.30","139.00","136.60","138.00","465,710"
09/23/2020,"133.00","138.50","133.00","138.10","983,000"
09/22/2020,"133.90","133.90","131.60","132.50","1,212,020"
09/21/2020,"132.00","134.00","131.70","131.90","544,140"
09/18/2020,"132.00","133.00","130.20","130.20","2,676,800"
09/17/2020,"134.00","136.00","130.20","130.20","1,570,770"
09/16/2020,"134.80","134.90","133.20","133.30","1,384,520"
09/15/2020,"135.00","135.50","134.50","134.90","780,190"
09/14/2020,"135.50","135.50","134.80","135.00","1,724,300"
09/11/2020,"136.00","136.00","135.00","135.60","548,660"
09/10/2020,"137.60","137.60","134.20","136.00","701,320"
09/09/2020,"138.00","138.10","136.00","136.80","627,960"
09/08/2020,"138.10","138.20","136.10","138.10","839,820"
09/07/2020,"136.10","138.40","136.10","138.10","499,370"
09/04/2020,"137.20","138.60","133.50","136.00","2,670,630"
09/03/2020,"137.00","139.00","137.00","137.80","661,710"
09/02/2020,"133.60","136.80","133.60","136.80","477,410"
09/01/2020,"137.00","137.00","133.60","133.60","1,268,270"
08/28/2020,"138.00","138.10","135.10","135.10","1,594,030"
08/27/2020,"138.30","138.80","136.50","138.70","308,450"
08/26/2020,"140.00","140.10","136.20","138.50","1,156,960"
08/25/2020,"141.00","141.20","139.50","141.00","392,840"
08/24/2020,"139.60","141.50","139.60","141.20","462,920"
08/20/2020,"141.40","141.40","139.50","139.50","1,407,640"
08/19/2020,"141.50","143.00","140.20","140.20","549,710"
08/18/2020,"141.00","143.80","139.10","140.50","798,140"
08/17/2020,"144.00","144.00","137.50","140.90","392,420"
08/14/2020,"142.50","144.80","142.00","144.50","914,330"
08/13/2020,"141.00","143.50","140.90","142.50","577,960"
08/12/2020,"141.10","142.40","139.00","140.20","769,320"
08/11/2020,"138.00","144.00","138.00","141.10","1,372,610"
08/10/2020,"133.00","138.50","131.20","137.50","1,094,390"
08/07/2020,"133.20","135.00","132.00","134.20","1,144,520"
08/06/2020,"130.00","135.00","129.00","135.00","842,300"
08/05/2020,"128.00","133.40","128.00","131.00","870,380"
08/04/2020,"127.20","130.80","126.20","126.20","657,170"
08/03/2020,"129.50","129.50","126.50","127.00","1,635,390"
07/30/2020,"133.00","135.00","132.00","135.00","1,402,350"
07/29/2020,"130.00","133.50","129.80","131.00","3,009,760"
07/28/2020,"128.00","129.80","127.90","129.10","1,161,930"
07/27/2020,"128.30","128.30","125.30","128.00","653,170"
07/24/2020,"128.10","129.70","127.50","128.50","400,400"
07/23/2020,"130.00","130.00","125.00","126.60","1,364,330"
07/22/2020,"134.70","134.70","130.00","130.00","751,080"
07/21/2020,"134.80","135.80","133.20","134.70","500,710"
07/20/2020,"135.00","135.50","133.20","133.50","360,850"
07/17/2020,"135.50","136.30","133.50","133.60","875,150"
07/16/2020,"136.50","137.90","133.00","133.00","1,849,380"
07/15/2020,"140.00","140.00","136.20","136.20","1,210,440"
07/14/2020,"140.90","142.50","140.00","140.00","424,880"
07/13/2020,"137.50","141.80","137.50","140.90","869,600"
07/10/2020,"139.50","139.50","137.20","137.50","897,060"
07/09/2020,"146.40","146.40","140.00","140.00","695,070"
07/08/2020,"146.50","147.00","145.90","146.60","704,290"
07/07/2020,"147.30","147.30","146.40","147.00","1,198,600"
07/06/2020,"147.50","148.00","145.70","147.30","513,790"
07/03/2020,"147.50","149.30","146.00","147.50","1,203,620"
07/02/2020,"143.80","147.00","143.70","147.00","603,020"
07/01/2020,"140.00","144.00","139.50","143.80","706,780"
06/30/2020,"137.00","140.00","135.50","140.00","882,320"
06/29/2020,"139.00","139.00","135.10","137.90","718,430"
06/26/2020,"141.20","142.90","140.00","140.20","411,960"
06/25/2020,"142.90","142.90","139.50","141.20","933,760"
06/24/2020,"144.50","147.50","141.30","143.90","741,670"
06/23/2020,"149.00","149.00","144.00","144.00","1,563,290"
06/22/2020,"151.00","151.00","147.90","149.10","824,750"
06/19/2020,"149.00","151.70","146.00","150.00","1,624,970"
06/18/2020,"145.10","150.00","145.00","149.90","2,089,330"
06/17/2020,"142.70","145.40","142.70","145.00","2,770,450"
06/16/2020,"144.00","146.30","141.50","142.50","1,862,660"
06/15/2020,"145.00","146.00","141.00","144.20","2,435,150"
06/11/2020,"144.00","145.30","140.50","145.00","2,809,030"
06/10/2020,"139.90","145.00","139.10","145.00","2,982,850"
06/09/2020,"133.10","139.00","132.50","138.90","2,954,630"
06/08/2020,"133.00","133.00","128.00","132.50","2,210,140"
06/05/2020,"133.00","133.90","126.00","130.00","1,682,420"
06/04/2020,"132.00","135.00","129.50","133.00","2,078,530"
06/03/2020,"125.70","131.80","125.70","130.00","2,829,760"
06/02/2020,"119.00","125.00","117.00","123.60","2,255,880"
06/01/2020,"113.00","118.70","112.00","115.10","3,567,090"
05/29/2020,"116.50","118.80","108.70","108.70","13,572,400"
05/28/2020,"120.00","120.00","115.20","116.10","3,063,000"
05/27/2020,"120.10","123.00","120.00","122.00","1,051,560"
05/26/2020,"133.00","134.00","117.00","119.00","4,724,140"
05/22/2020,"138.00","138.00","133.00","133.00","1,360,790"
05/21/2020,"138.00","139.00","136.30","136.50","658,920"
05/20/2020,"140.00","140.00","137.20","137.20","477,520"
05/19/2020,"138.00","140.00","137.40","140.00","778,900"
05/18/2020,"139.00","139.00","135.90","136.40","895,530"
05/15/2020,"139.00","140.00","136.20","137.20","618,100"
05/14/2020,"139.00","139.60","135.90","136.60","599,170"
05/13/2020,"140.60","141.00","137.10","138.00","398,280"
05/12/2020,"141.20","141.80","138.60","139.40","948,490"
05/11/2020,"137.20","141.00","136.50","140.50","440,240"
05/08/2020,"138.50","139.50","135.20","136.00","626,350"
05/07/2020,"138.90","140.90","136.00","136.50","928,450"
05/06/2020,"141.00","141.80","138.50","138.50","505,940"
05/05/2020,"141.00","141.00","139.30","139.60","544,550"
05/04/2020,"143.10","143.10","137.00","138.20","1,249,330"
04/30/2020,"148.00","149.00","143.00","143.10","1,930,300"
04/29/2020,"141.20","147.00","139.10","147.00","1,477,640"
04/28/2020,"136.00","141.40","135.60","141.20","2,294,620"
04/27/2020,"135.00","136.50","134.30","134.50","1,602,920"
04/24/2020,"137.80","137.80","133.70","134.30","1,040,620"
04/23/2020,"137.00","140.00","135.50","136.00","2,547,870"
04/22/2020,"135.00","135.00","131.00","134.00","5,807,560"
04/21/2020,"142.50","142.50","133.00","136.10","3,140,890"
04/20/2020,"148.50","149.90","143.00","143.00","1,585,880"
04/17/2020,"142.00","147.00","141.40","145.00","4,896,160"
04/16/2020,"147.00","147.00","137.40","141.50","2,318,510"
04/15/2020,"150.00","152.10","143.50","148.60","3,944,620"
04/14/2020,"139.90","148.00","139.80","146.50","3,519,200"
04/13/2020,"121.00","136.10","121.00","135.00","2,592,310"
04/08/2020,"111.00","120.00","108.10","120.00","2,922,350"
04/07/2020,"110.20","112.50","109.00","110.50","2,745,330"
04/06/2020,"104.60","106.40","103.50","106.00","1,865,350"
04/03/2020,"102.30","105.00","102.00","102.00","846,300"
04/02/2020,"102.90","103.20","102.00","102.00","1,284,860"
04/01/2020,"107.00","109.60","103.00","103.20","2,526,960"
03/31/2020,"105.00","109.50","105.00","106.40","1,549,020"
03/30/2020,"106.90","106.90","100.10","103.00","801,630"
03/27/2020,"107.40","111.00","103.00","107.00","3,592,270"
03/26/2020,"100.00","104.50","99.00","102.20","3,227,240"
03/25/2020,"101.80","101.80","98.00","98.45","4,027,090"
03/24/2020,"98.95","99.85","95.00","95.00","1,597,120"
03/23/2020,"98.00","99.90","91.50","95.00","2,580,240"
03/20/2020,"97.50","103.70","95.65","100.00","1,994,100"
03/19/2020,"105.00","106.20","91.10","91.10","3,310,100"
03/16/2020,"133.00","134.00","120.50","121.00","2,237,330"
03/13/2020,"145.00","145.00","124.50","140.50","2,203,770"
03/12/2020,"162.00","162.00","150.00","153.00","1,198,200"
03/11/2020,"159.00","166.30","159.00","166.30","916,340"
03/10/2020,"160.00","160.90","153.00","158.00","1,251,780"
03/09/2020,"170.00","170.10","161.50","163.00","1,144,100"
03/06/2020,"183.00","183.00","173.40","176.50","637,540"
03/05/2020,"175.00","184.00","171.30","184.00","1,144,230"
03/04/2020,"168.70","174.60","167.20","174.60","869,400"
03/03/2020,"168.10","172.00","168.00","168.00","1,158,580"
03/02/2020,"169.90","172.00","165.00","167.10","990,990"
02/28/2020,"173.60","173.60","170.00","170.00","1,743,110"
02/27/2020,"175.40","180.00","174.50","174.50","652,780"
02/26/2020,"180.00","181.30","170.20","175.10","2,328,310"
02/24/2020,"190.20","190.20","185.20","185.60","1,239,120"
02/21/2020,"190.80","191.80","188.90","189.00","1,135,990"
02/20/2020,"184.00","194.00","184.00","188.00","1,087,480"
02/19/2020,"184.60","185.40","181.50","184.00","1,798,180"
02/18/2020,"189.60","189.70","185.20","185.20","500,990"
02/17/2020,"187.20","190.00","187.10","188.80","281,170"
02/14/2020,"194.90","194.90","185.20","185.20","727,570"
