Date,Open,High,Low,Close,Volume
12/27/2024,"2.230","2.230","2.200","2.230","1,082,000"
12/26/2024,"2.230","2.240","2.210","2.220","788,000"
12/23/2024,"2.230","2.230","2.200","2.230","1,783,000"
12/20/2024,"2.220","2.240","2.200","2.230","1,773,000"
12/19/2024,"2.200","2.220","2.100","2.210","4,599,000"
12/18/2024,"2.200","2.210","2.200","2.200","897,000"
12/17/2024,"2.210","2.210","2.190","2.200","3,263,000"
12/16/2024,"2.220","2.220","2.190","2.210","3,127,000"
12/13/2024,"2.100","2.220","2.100","2.220","24,192,000"
12/12/2024,"2.130","2.130","2.090","2.100","1,304,000"
12/11/2024,"2.110","2.130","2.110","2.130","2,262,000"
12/10/2024,"2.110","2.110","2.090","2.100","654,000"
12/09/2024,"2.110","2.110","2.090","2.100","907,000"
12/06/2024,"2.100","2.110","2.090","2.110","1,194,000"
12/05/2024,"2.050","2.110","2.040","2.110","5,621,000"
12/04/2024,"2.040","2.060","2.040","2.050","827,000"
12/03/2024,"2.030","2.060","2.020","2.040","1,072,000"
12/02/2024,"2.030","2.060","2.020","2.030","1,101,000"
11/29/2024,"2.010","2.050","2.010","2.030","1,811,000"
11/28/2024,"2.030","2.030","2.010","2.020","2,280,000"
11/27/2024,"2.060","2.060","2.020","2.030","6,606,000"
11/26/2024,"2.060","2.060","2.040","2.060","1,392,000"
11/25/2024,"2.050","2.060","2.040","2.050","1,055,000"
11/22/2024,"2.040","2.050","2.030","2.050","860,000"
11/21/2024,"2.040","2.070","2.020","2.040","2,115,000"
11/20/2024,"2.090","2.090","2.030","2.030","6,049,000"
11/19/2024,"2.090","2.110","2.080","2.090","1,228,000"
11/18/2024,"2.160","2.170","2.070","2.090","5,999,000"
11/15/2024,"2.130","2.170","2.120","2.140","2,285,000"
11/14/2024,"2.180","2.180","2.110","2.130","3,431,000"
11/13/2024,"2.170","2.190","2.160","2.180","8,741,000"
11/12/2024,"2.090","2.170","2.060","2.170","9,326,000"
11/11/2024,"2.040","2.090","2.030","2.070","2,372,000"
11/08/2024,"2.040","2.050","2.020","2.030","3,936,000"
11/07/2024,"2.090","2.140","2.050","2.050","2,402,000"
11/06/2024,"2.120","2.150","2.100","2.100","1,992,000"
11/05/2024,"2.070","2.110","2.070","2.110","1,444,000"
11/04/2024,"2.070","2.110","2.070","2.090","621,000"
10/31/2024,"2.050","2.070","2.050","2.070","874,000"
10/30/2024,"2.060","2.060","2.030","2.050","2,275,000"
