Date,Open,High,Low,Close,Volume
04/30/2025,"1.390","1.400","1.390","1.400","13,000"
04/28/2025,"1.350","1.350","1.350","1.350","2,000"
04/25/2025,"1.390","1.390","1.300","1.300","6,000"
04/23/2025,"1.580","1.590","1.320","1.320","10,000"
04/16/2025,"1.310","1.310","1.310","1.310","3,000"
04/15/2025,"1.310","1.310","1.310","1.310","1,000"
04/11/2025,"1.310","1.310","1.310","1.310","2,000"
04/08/2025,"1.310","1.310","1.310","1.310","2,000"
04/07/2025,"1.330","1.330","1.310","1.310","5,000"
04/03/2025,"1.400","1.400","1.400","1.400","1,000"
04/02/2025,"1.330","1.350","1.330","1.350","2,000"
03/31/2025,"1.330","1.330","1.330","1.330","1,000"
03/26/2025,"1.650","1.650","1.650","1.650","3,000"
03/25/2025,"1.310","1.310","1.310","1.310","1,000"
03/20/2025,"1.550","1.550","1.550","1.550","3,000"
03/19/2025,"1.500","1.550","1.500","1.550","42,000"
03/18/2025,"1.550","1.550","1.550","1.550","18,000"
03/17/2025,"1.350","1.520","1.350","1.520","2,000"
03/14/2025,"1.280","1.280","1.280","1.280","13,000"
03/13/2025,"1.290","1.290","1.290","1.290","1,000"
03/07/2025,"1.520","1.520","1.520","1.520","2,000"
03/05/2025,"1.250","1.270","1.230","1.270","37,000"
02/28/2025,"1.250","1.250","1.250","1.250","5,000"
02/20/2025,"1.260","1.260","1.260","1.260","3,000"
02/19/2025,"1.260","1.260","1.260","1.260","8,000"
02/13/2025,"1.260","1.260","1.260","1.260","1,000"
02/11/2025,"1.260","1.260","1.260","1.260","1,000"
02/10/2025,"1.260","1.260","1.260","1.260","3,000"
02/04/2025,"1.260","1.260","1.260","1.260","2,000"
01/21/2025,"1.280","1.280","1.280","1.280","12,000"
01/17/2025,"1.270","1.270","1.270","1.270","30,000"
01/16/2025,"1.270","1.270","1.270","1.270","17,000"
