Date,Open,High,Low,Close,Volume
04/30/2025,"0.610","0.640","0.610","0.640","20,000"
04/29/2025,"0.630","0.640","0.630","0.640","11,000"
04/25/2025,"0.640","0.640","0.640","0.640","21,000"
04/24/2025,"0.610","0.630","0.610","0.630","15,000"
04/23/2025,"0.630","0.630","0.620","0.630","467,000"
04/22/2025,"0.600","0.620","0.600","0.620","6,000"
04/21/2025,"0.620","0.620","0.620","0.620","11,000"
04/16/2025,"0.620","0.620","0.620","0.620","35,000"
04/15/2025,"0.600","0.610","0.590","0.610","34,000"
04/14/2025,"0.590","0.600","0.590","0.600","18,000"
04/11/2025,"0.590","0.590","0.590","0.590","11,000"
04/10/2025,"0.610","0.610","0.610","0.610","3,000"
04/08/2025,"0.590","0.610","0.580","0.610","100,000"
04/07/2025,"0.580","0.590","0.580","0.590","11,000"
04/03/2025,"0.600","0.620","0.600","0.620","70,000"
04/02/2025,"0.590","0.600","0.590","0.600","92,000"
03/31/2025,"0.590","0.590","0.590","0.590","10,000"
03/27/2025,"0.590","0.590","0.590","0.590","18,000"
03/26/2025,"0.600","0.610","0.600","0.600","14,000"
03/25/2025,"0.600","0.600","0.600","0.600","25,000"
03/24/2025,"0.600","0.610","0.590","0.590","86,000"
03/21/2025,"0.600","0.610","0.600","0.610","120,000"
03/20/2025,"0.640","0.640","0.600","0.600","524,000"
03/19/2025,"0.630","0.630","0.610","0.610","56,000"
03/18/2025,"0.610","0.630","0.610","0.610","28,000"
03/17/2025,"0.610","0.640","0.610","0.620","56,000"
03/14/2025,"0.620","0.630","0.610","0.610","210,000"
03/13/2025,"0.630","0.630","0.610","0.610","145,000"
03/12/2025,"0.620","0.630","0.610","0.610","19,000"
03/11/2025,"0.630","0.630","0.620","0.630","17,000"
03/10/2025,"0.610","0.630","0.610","0.630","312,000"
03/07/2025,"0.640","0.640","0.600","0.620","244,000"
03/06/2025,"0.640","0.640","0.630","0.630","65,000"
03/05/2025,"0.630","0.650","0.630","0.650","92,000"
03/04/2025,"0.650","0.650","0.630","0.640","365,000"
03/03/2025,"0.660","0.660","0.650","0.650","21,000"
02/26/2025,"0.660","0.660","0.660","0.660","8,000"
02/25/2025,"0.660","0.660","0.660","0.660","11,000"
02/24/2025,"0.660","0.660","0.660","0.660","15,000"
02/20/2025,"0.680","0.690","0.680","0.680","42,000"
02/19/2025,"0.660","0.680","0.660","0.680","20,000"
02/18/2025,"0.650","0.650","0.650","0.650","1,000"
02/17/2025,"0.680","0.680","0.650","0.660","20,000"
02/14/2025,"0.650","0.680","0.650","0.680","4,000"
02/12/2025,"0.650","0.650","0.650","0.650","5,000"
02/11/2025,"0.650","0.680","0.650","0.650","14,000"
02/10/2025,"0.680","0.680","0.670","0.680","7,000"
02/07/2025,"0.660","0.680","0.660","0.680","131,000"
02/06/2025,"0.660","0.660","0.650","0.650","26,000"
02/05/2025,"0.670","0.670","0.660","0.660","41,000"
02/04/2025,"0.650","0.650","0.650","0.650","14,000"
02/03/2025,"0.670","0.670","0.660","0.660","14,000"
01/31/2025,"0.680","0.680","0.680","0.680","1,000"
01/30/2025,"0.680","0.680","0.680","0.680","5,000"
01/27/2025,"0.660","0.660","0.660","0.660","10,000"
01/24/2025,"0.660","0.660","0.660","0.660","10,000"
01/23/2025,"0.670","0.670","0.650","0.660","61,000"
01/22/2025,"0.670","0.670","0.670","0.670","10,000"
01/21/2025,"0.680","0.680","0.660","0.660","12,000"
01/20/2025,"0.680","0.680","0.680","0.680","20,000"
01/17/2025,"0.670","0.680","0.660","0.670","26,000"
01/16/2025,"0.670","0.670","0.650","0.650","326,000"
01/15/2025,"0.680","0.680","0.660","0.660","31,000"
01/14/2025,"0.680","0.690","0.680","0.690","3,000"
01/13/2025,"0.680","0.680","0.680","0.680","1,000"
01/10/2025,"0.660","0.680","0.660","0.680","14,000"
01/09/2025,"0.660","0.690","0.660","0.690","17,000"
01/08/2025,"0.680","0.680","0.680","0.680","10,000"
01/07/2025,"0.670","0.680","0.670","0.670","59,000"
01/06/2025,"0.690","0.690","0.650","0.690","17,000"
01/03/2025,"0.680","0.690","0.670","0.690","15,000"
