Date,Open,High,Low,Close,Volume
12/13/2022,"18.96","18.96","18.96","18.96","100"
12/12/2022,"18.96","18.96","18.96","18.96","200"
12/09/2022,"18.98","18.98","18.96","18.96","1,200"
12/07/2022,"16.60","16.60","16.60","16.60","500"
12/06/2022,"16.40","16.40","16.40","16.40","100"
11/29/2022,"17.00","17.00","16.34","16.40","2,200"
11/24/2022,"20.00","20.00","17.02","17.02","1,100"
11/22/2022,"17.20","17.20","17.20","17.20","500"
11/21/2022,"17.00","17.00","17.00","17.00","500"
11/18/2022,"19.50","19.50","16.22","16.22","800"
11/16/2022,"20.85","20.85","20.85","20.85","100"
11/07/2022,"16.10","16.10","16.10","16.10","100"
10/28/2022,"17.00","17.00","16.02","16.02","700"
10/27/2022,"22.00","22.00","22.00","22.00","200"
10/25/2022,"22.60","22.60","22.50","22.50","800"
10/24/2022,"18.50","22.95","18.50","22.70","142,800"
10/14/2022,"18.50","18.50","18.50","18.50","100"
10/12/2022,"18.50","18.50","18.50","18.50","1,200"
10/10/2022,"17.00","17.00","17.00","17.00","600"
10/06/2022,"17.00","17.00","17.00","17.00","200"
10/05/2022,"18.20","18.20","18.20","18.20","400"
10/04/2022,"18.50","18.50","18.50","18.50","1,200"
10/03/2022,"18.62","18.62","18.60","18.60","700"
09/30/2022,"18.60","18.60","18.60","18.60","200"
09/28/2022,"18.64","18.64","18.64","18.64","800"
09/23/2022,"19.02","19.02","19.02","19.02","2,000"
09/16/2022,"20.90","20.90","20.90","20.90","400"
09/15/2022,"21.00","21.00","21.00","21.00","200"
09/12/2022,"18.72","20.55","18.72","20.50","4,200"
09/07/2022,"21.00","21.00","21.00","21.00","1,200"
08/30/2022,"19.00","22.95","19.00","22.95","12,000"
08/23/2022,"23.40","23.40","23.40","23.40","400"
08/22/2022,"20.00","23.45","18.62","23.45","8,500"
08/19/2022,"18.62","18.62","18.62","18.62","100"
08/16/2022,"18.50","23.80","18.50","23.80","300"
08/12/2022,"21.55","23.85","21.55","23.85","4,000"
08/08/2022,"18.22","18.22","18.22","18.22","200"
08/05/2022,"18.22","18.22","18.22","18.22","100"
08/02/2022,"18.22","18.22","18.22","18.22","100"
07/26/2022,"18.12","18.12","18.12","18.12","500"
07/25/2022,"21.95","21.95","21.95","21.95","100"
07/22/2022,"18.12","18.12","18.12","18.12","100"
07/19/2022,"18.10","18.10","18.10","18.10","200"
07/15/2022,"18.12","18.12","18.10","18.10","2,600"
