Date,Open,High,Low,Close,Volume
12/29/2023,"0.078","0.080","0.078","0.080","2,730,000"
12/28/2023,"0.082","0.082","0.080","0.080","5,510,000"
12/27/2023,"0.082","0.083","0.082","0.083","1,580,000"
12/22/2023,"0.081","0.082","0.081","0.082","1,470,000"
12/21/2023,"0.079","0.081","0.078","0.081","10,550,000"
12/20/2023,"0.080","0.082","0.079","0.080","3,260,000"
12/19/2023,"0.083","0.083","0.080","0.080","1,240,000"
12/18/2023,"0.082","0.082","0.082","0.082","210,000"
12/15/2023,"0.082","0.085","0.081","0.082","1,410,000"
12/14/2023,"0.086","0.087","0.082","0.082","910,000"
12/13/2023,"0.081","0.087","0.081","0.083","140,000"
12/12/2023,"0.083","0.083","0.081","0.081","1,380,000"
12/11/2023,"0.089","0.089","0.083","0.084","620,000"
12/07/2023,"0.090","0.090","0.082","0.090","2,830,000"
12/05/2023,"0.088","0.092","0.085","0.090","1,680,000"
12/04/2023,"0.086","0.091","0.086","0.090","4,880,000"
12/01/2023,"0.084","0.084","0.078","0.084","2,110,000"
11/30/2023,"0.078","0.085","0.078","0.084","1,530,000"
11/29/2023,"0.085","0.087","0.083","0.083","6,860,000"
11/28/2023,"0.080","0.087","0.076","0.085","4,880,000"
11/24/2023,"0.076","0.080","0.076","0.080","3,250,000"
11/23/2023,"0.078","0.082","0.078","0.081","2,630,000"
11/22/2023,"0.074","0.078","0.074","0.078","1,050,000"
11/21/2023,"0.077","0.079","0.071","0.073","7,090,000"
11/20/2023,"0.081","0.081","0.077","0.078","2,260,000"
11/17/2023,"0.081","0.081","0.079","0.080","11,390,000"
11/16/2023,"0.081","0.081","0.079","0.080","6,500,000"
11/15/2023,"0.082","0.082","0.080","0.081","1,870,000"
11/14/2023,"0.084","0.084","0.083","0.083","1,450,000"
11/13/2023,"0.086","0.086","0.084","0.084","1,260,000"
11/10/2023,"0.088","0.088","0.088","0.088","400,000"
11/08/2023,"0.088","0.088","0.088","0.088","700,000"
11/07/2023,"0.089","0.089","0.088","0.088","3,400,000"
11/06/2023,"0.090","0.090","0.089","0.089","360,000"
