Date,Open,High,Low,Close,Volume
12/27/2024,"0.067","0.067","0.067","0.067","2,820,000"
12/26/2024,"0.064","0.068","0.064","0.068","970,000"
12/20/2024,"0.068","0.068","0.068","0.068","30,000"
12/19/2024,"0.065","0.068","0.062","0.068","110,000"
12/18/2024,"0.067","0.067","0.067","0.067","20,000"
12/17/2024,"0.065","0.065","0.065","0.065","400,000"
12/16/2024,"0.065","0.065","0.065","0.065","10,000"
12/13/2024,"0.069","0.069","0.069","0.069","310,000"
12/12/2024,"0.065","0.068","0.065","0.068","1,930,000"
12/11/2024,"0.066","0.067","0.066","0.067","830,000"
12/10/2024,"0.067","0.068","0.067","0.068","380,000"
12/06/2024,"0.063","0.063","0.063","0.063","30,000"
12/05/2024,"0.063","0.063","0.063","0.063","1,290,000"
12/04/2024,"0.064","0.064","0.063","0.063","1,960,000"
12/03/2024,"0.063","0.063","0.062","0.062","1,270,000"
12/02/2024,"0.063","0.063","0.063","0.063","620,000"
11/26/2024,"0.066","0.066","0.063","0.066","660,000"
11/25/2024,"0.073","0.073","0.066","0.067","3,140,000"
11/22/2024,"0.068","0.068","0.066","0.066","2,510,000"
11/21/2024,"0.073","0.073","0.067","0.072","690,000"
11/20/2024,"0.077","0.077","0.072","0.072","3,800,000"
11/19/2024,"0.078","0.079","0.077","0.077","960,000"
11/18/2024,"0.078","0.080","0.078","0.079","820,000"
11/14/2024,"0.079","0.079","0.079","0.079","1,500,000"
11/13/2024,"0.081","0.081","0.080","0.080","1,400,000"
11/12/2024,"0.081","0.081","0.081","0.081","10,000"
11/11/2024,"0.079","0.079","0.079","0.079","320,000"
11/08/2024,"0.080","0.080","0.080","0.080","970,000"
11/07/2024,"0.080","0.080","0.080","0.080","220,000"
11/06/2024,"0.083","0.083","0.082","0.083","1,720,000"
11/05/2024,"0.081","0.084","0.080","0.084","3,210,000"
11/04/2024,"0.085","0.085","0.080","0.080","1,130,000"
10/31/2024,"0.082","0.084","0.081","0.081","1,620,000"
10/30/2024,"0.082","0.085","0.082","0.085","880,000"
10/29/2024,"0.085","0.085","0.082","0.084","2,160,000"
10/25/2024,"0.087","0.087","0.087","0.087","20,000"
10/23/2024,"0.087","0.087","0.084","0.085","2,020,000"
10/21/2024,"0.088","0.089","0.088","0.088","330,000"
10/18/2024,"0.087","0.088","0.086","0.088","2,660,000"
10/17/2024,"0.083","0.087","0.083","0.087","660,000"
10/16/2024,"0.088","0.088","0.085","0.087","550,000"
10/15/2024,"0.082","0.088","0.082","0.088","2,240,000"
10/14/2024,"0.079","0.081","0.078","0.081","6,310,000"
10/11/2024,"0.077","0.079","0.077","0.078","1,280,000"
10/10/2024,"0.073","0.089","0.073","0.089","2,380,000"
10/09/2024,"0.072","0.074","0.066","0.074","1,080,000"
10/07/2024,"0.077","0.079","0.077","0.079","140,000"
10/03/2024,"0.076","0.078","0.076","0.078","580,000"
10/02/2024,"0.068","0.075","0.068","0.072","3,550,000"
10/01/2024,"0.065","0.068","0.065","0.068","1,350,000"
09/30/2024,"0.066","0.067","0.066","0.067","4,760,000"
09/27/2024,"0.065","0.069","0.065","0.066","1,830,000"
09/26/2024,"0.064","0.070","0.064","0.068","3,360,000"
09/25/2024,"0.062","0.064","0.062","0.064","1,690,000"
09/24/2024,"0.062","0.063","0.062","0.062","8,390,000"
09/23/2024,"0.064","0.064","0.062","0.062","3,020,000"
09/19/2024,"0.064","0.064","0.062","0.064","3,410,000"
09/18/2024,"0.059","0.062","0.059","0.062","1,620,000"
09/17/2024,"0.061","0.063","0.060","0.062","2,730,000"
09/16/2024,"0.064","0.064","0.062","0.062","1,370,000"
09/13/2024,"0.063","0.063","0.063","0.063","240,000"
09/12/2024,"0.064","0.064","0.060","0.060","16,870,000"
09/11/2024,"0.064","0.065","0.064","0.064","3,120,000"
09/10/2024,"0.064","0.064","0.064","0.064","100,000"
09/09/2024,"0.063","0.064","0.063","0.064","290,000"
09/06/2024,"0.063","0.063","0.063","0.063","1,530,000"
09/05/2024,"0.064","0.065","0.063","0.063","3,870,000"
09/04/2024,"0.065","0.065","0.065","0.065","110,000"
09/03/2024,"0.065","0.065","0.065","0.065","2,230,000"
09/02/2024,"0.064","0.065","0.064","0.065","2,460,000"
08/30/2024,"0.063","0.064","0.063","0.064","40,000"
08/29/2024,"0.068","0.068","0.068","0.068","500,000"
08/27/2024,"0.068","0.068","0.067","0.067","20,000"
08/22/2024,"0.061","0.061","0.061","0.061","10,000"
08/20/2024,"0.063","0.067","0.063","0.067","580,000"
08/19/2024,"0.062","0.066","0.062","0.066","180,000"
