Date,Open,High,Low,Close,Volume
12/22/2023,"15.98","15.98","15.98","15.98","100"
12/18/2023,"15.00","15.00","15.00","15.00","600"
12/14/2023,"14.98","14.98","14.98","14.98","100"
12/11/2023,"15.00","15.00","15.00","15.00","100"
11/24/2023,"16.00","16.00","16.00","16.00","100"
11/21/2023,"15.50","15.50","15.50","15.50","100"
11/20/2023,"11.20","14.90","11.20","14.90","1,000"
11/10/2023,"15.96","15.96","15.96","15.96","400"
10/31/2023,"15.98","15.98","15.98","15.98","300"
10/26/2023,"15.98","15.98","15.92","15.92","600"
10/19/2023,"14.96","14.96","14.96","14.96","500"
10/13/2023,"14.00","14.98","14.00","14.98","1,000"
10/03/2023,"13.00","13.00","13.00","13.00","800"
10/02/2023,"14.88","14.98","14.88","14.98","200"
09/29/2023,"14.88","14.88","14.88","14.88","8,700"
09/26/2023,"14.98","14.98","14.88","14.88","900"
09/21/2023,"14.98","14.98","14.92","14.92","200"
09/18/2023,"10.58","10.58","10.58","10.58","100"
09/15/2023,"16.38","16.38","14.76","14.76","300"
09/14/2023,"16.36","16.36","11.52","11.52","200"
09/13/2023,"12.00","12.00","12.00","12.00","400"
09/12/2023,"12.00","12.00","12.00","12.00","2,200"
09/05/2023,"14.06","14.06","14.06","14.06","500"
08/22/2023,"14.12","14.12","14.12","14.12","200"
08/17/2023,"14.14","14.14","14.14","14.14","300"
08/07/2023,"14.14","14.14","14.14","14.14","400"
08/01/2023,"14.14","14.14","14.14","14.14","200"
07/31/2023,"14.14","14.14","14.14","14.14","100"
07/26/2023,"14.16","14.16","14.12","14.12","2,500"
07/18/2023,"14.16","14.16","14.16","14.16","200"
07/17/2023,"16.00","16.00","16.00","16.00","200"
07/06/2023,"14.98","16.00","14.98","16.00","3,000"
07/03/2023,"14.20","14.20","14.20","14.20","100"
06/23/2023,"14.14","14.14","14.12","14.12","600"
06/20/2023,"16.48","16.48","16.48","16.48","1,600"
06/19/2023,"16.00","16.00","16.00","16.00","2,000"
06/09/2023,"16.00","16.00","16.00","16.00","1,300"
06/08/2023,"16.00","16.00","16.00","16.00","2,500"
05/31/2023,"15.98","15.98","15.98","15.98","100"
05/22/2023,"14.50","14.50","14.50","14.50","100"
05/18/2023,"16.00","16.00","14.50","14.50","700"
05/09/2023,"15.50","15.50","15.50","15.50","600"
05/02/2023,"16.00","16.00","16.00","16.00","200"
04/18/2023,"16.00","16.00","16.00","16.00","200"
04/17/2023,"14.14","14.14","14.14","14.14","200"
04/13/2023,"16.98","17.00","16.20","16.60","5,500"
04/12/2023,"16.02","16.02","14.70","14.70","3,000"
04/11/2023,"16.90","16.90","16.90","16.90","2,100"
04/04/2023,"16.98","16.98","16.98","16.98","300"
04/03/2023,"16.70","16.70","16.70","16.70","100"
03/31/2023,"16.70","16.70","16.70","16.70","100"
03/29/2023,"16.00","16.00","16.00","16.00","100"
03/22/2023,"16.70","16.70","16.70","16.70","300"
03/17/2023,"17.74","17.74","16.80","16.80","1,000"
03/16/2023,"16.90","16.90","16.90","16.90","300"
03/14/2023,"16.90","16.90","16.90","16.90","42,300"
03/08/2023,"16.94","17.80","16.94","17.80","300"
02/27/2023,"18.00","18.00","16.92","16.92","900"
02/15/2023,"18.78","18.78","18.78","18.78","500"
02/13/2023,"16.80","16.80","16.80","16.80","1,400"
02/07/2023,"16.82","16.82","16.80","16.80","1,000"
02/06/2023,"17.40","17.40","17.00","17.00","5,100"
01/27/2023,"17.00","17.02","17.00","17.02","700"
01/26/2023,"17.50","17.96","17.50","17.50","1,900"
01/23/2023,"17.98","17.98","17.98","17.98","300"
01/18/2023,"18.88","18.88","18.88","18.88","800"
01/12/2023,"19.00","19.00","18.98","18.98","200"
01/11/2023,"19.00","19.00","19.00","19.00","300"
