Date,Open,High,Low,Close,Volume
12/31/2021,"0.400","0.400","0.370","0.400","160,000"
12/15/2021,"0.394","0.394","0.394","0.394","40,000"
11/26/2021,"0.399","0.400","0.399","0.400","460,000"
11/18/2021,"0.400","0.400","0.400","0.400","20,000"
11/05/2021,"0.400","0.400","0.400","0.400","20,000"
11/04/2021,"0.390","0.390","0.390","0.390","40,000"
11/03/2021,"0.400","0.400","0.400","0.400","120,000"
11/02/2021,"0.400","0.400","0.400","0.400","100,000"
10/29/2021,"0.385","0.405","0.312","0.400","40,380,000"
10/22/2021,"0.437","0.438","0.376","0.405","40,200,000"
10/21/2021,"0.293","0.405","0.293","0.405","4,510,000"
10/14/2021,"0.413","0.413","0.402","0.402","160,000"
10/13/2021,"0.420","0.420","0.413","0.413","140,000"
09/28/2021,"0.434","0.434","0.434","0.434","440,000"
09/27/2021,"0.441","0.441","0.431","0.434","350,000"
09/24/2021,"0.459","0.459","0.459","0.459","10,000"
09/23/2021,"0.441","0.441","0.441","0.441","200,000"
09/22/2021,"0.441","0.441","0.441","0.441","100,000"
09/21/2021,"0.436","0.459","0.436","0.459","70,000"
09/17/2021,"0.436","0.450","0.436","0.450","320,000"
09/16/2021,"0.435","0.435","0.435","0.435","40,000"
09/15/2021,"0.431","0.440","0.431","0.440","290,000"
09/14/2021,"0.430","0.430","0.430","0.430","600,000"
09/09/2021,"0.423","0.423","0.423","0.423","100,000"
09/06/2021,"0.423","0.423","0.423","0.423","10,000"
09/03/2021,"0.423","0.423","0.423","0.423","110,000"
09/02/2021,"0.430","0.430","0.430","0.430","200,000"
08/31/2021,"0.422","0.422","0.422","0.422","30,070,000"
08/27/2021,"0.484","0.484","0.460","0.460","30,110,000"
08/23/2021,"0.412","0.413","0.412","0.412","80,000"
08/19/2021,"0.414","0.414","0.414","0.414","100,000"
08/18/2021,"0.413","0.413","0.413","0.413","10,000"
08/12/2021,"0.413","0.413","0.413","0.413","20,000"
