Date,Open,High,Low,Close,Volume
12/29/2023,"4.860","5.200","4.680","4.950","1,325,000"
12/28/2023,"4.890","4.920","4.510","4.740","1,671,000"
12/27/2023,"4.880","5.050","4.780","4.900","932,000"
12/22/2023,"4.310","4.900","4.310","4.850","860,000"
12/21/2023,"4.900","5.200","4.350","4.350","2,060,000"
12/20/2023,"3.780","5.460","3.780","4.900","4,608,000"
12/19/2023,"3.630","3.780","3.600","3.770","608,000"
12/18/2023,"3.340","3.630","3.340","3.600","479,000"
12/15/2023,"3.400","3.400","3.330","3.330","230,000"
12/14/2023,"3.220","3.400","3.220","3.400","102,000"
12/13/2023,"3.140","3.220","3.140","3.220","285,000"
12/12/2023,"3.100","3.150","3.100","3.140","67,000"
12/11/2023,"3.130","3.140","3.130","3.140","70,000"
12/07/2023,"3.110","3.140","3.100","3.140","20,000"
12/06/2023,"3.140","3.140","3.140","3.140","32,000"
12/05/2023,"3.050","3.160","3.040","3.140","45,000"
12/04/2023,"3.150","3.180","3.150","3.170","253,000"
12/01/2023,"3.050","3.050","3.040","3.050","21,000"
11/30/2023,"3.040","3.050","3.040","3.040","47,000"
11/29/2023,"3.180","3.180","3.180","3.180","20,000"
11/28/2023,"3.200","3.200","3.200","3.200","105,000"
11/24/2023,"3.200","3.200","2.900","3.180","655,000"
11/23/2023,"3.160","3.200","3.160","3.200","56,000"
11/22/2023,"3.200","3.230","3.160","3.230","81,000"
11/21/2023,"3.240","3.360","3.210","3.210","93,000"
11/20/2023,"3.400","3.400","3.260","3.390","43,000"
11/17/2023,"3.270","3.400","3.230","3.400","58,000"
11/16/2023,"3.400","3.400","3.240","3.240","136,000"
11/15/2023,"3.400","3.400","3.300","3.350","95,000"
11/14/2023,"3.490","3.490","3.400","3.400","109,000"
11/13/2023,"3.350","3.490","3.350","3.440","174,000"
11/10/2023,"3.410","3.470","3.260","3.300","1,745,000"
11/09/2023,"3.340","3.630","3.340","3.410","1,629,000"
11/08/2023,"2.930","3.380","2.900","3.380","1,039,000"
11/07/2023,"2.650","2.930","2.650","2.900","803,000"
11/06/2023,"2.600","2.790","2.560","2.770","120,000"
11/03/2023,"2.710","2.800","2.550","2.790","652,000"
10/31/2023,"2.800","2.810","2.650","2.780","421,000"
10/27/2023,"2.840","2.920","2.800","2.860","71,000"
10/26/2023,"2.970","2.970","2.750","2.840","760,000"
10/25/2023,"3.300","3.300","2.890","3.000","919,000"
10/24/2023,"3.410","3.470","3.260","3.300","240,000"
10/23/2023,"3.540","3.670","3.260","3.410","796,000"
10/20/2023,"3.800","3.800","3.560","3.690","82,000"
10/19/2023,"3.750","3.810","3.590","3.700","266,000"
10/18/2023,"3.790","4.040","3.750","3.750","2,416,000"
10/17/2023,"3.780","3.830","3.690","3.790","211,000"
10/16/2023,"3.800","3.840","3.660","3.770","267,000"
10/13/2023,"3.630","3.790","3.620","3.780","244,000"
10/12/2023,"3.600","3.670","3.560","3.650","116,000"
10/11/2023,"3.770","3.770","3.570","3.700","24,000"
10/10/2023,"3.530","3.770","3.530","3.770","178,000"
10/09/2023,"3.510","3.540","3.390","3.540","296,000"
10/06/2023,"3.780","3.800","3.510","3.510","200,000"
10/05/2023,"3.750","3.780","3.680","3.770","269,000"
10/04/2023,"3.780","4.090","3.700","3.740","1,134,000"
10/03/2023,"3.530","3.780","3.500","3.760","310,000"
10/02/2023,"3.460","3.530","3.310","3.530","225,000"
09/29/2023,"3.590","3.590","3.300","3.490","714,000"
09/28/2023,"3.560","3.700","3.500","3.600","200,000"
09/27/2023,"3.750","3.750","3.500","3.690","303,000"
09/26/2023,"3.430","3.880","3.400","3.770","375,000"
09/25/2023,"3.470","3.650","3.460","3.580","110,000"
09/22/2023,"3.500","3.690","3.360","3.460","95,000"
09/21/2023,"3.670","3.750","3.620","3.620","94,000"
09/20/2023,"3.530","3.680","3.260","3.660","575,000"
09/19/2023,"3.860","3.860","3.350","3.540","448,000"
09/18/2023,"3.700","3.790","3.610","3.770","180,000"
09/15/2023,"3.970","3.970","3.610","3.720","757,000"
09/14/2023,"4.200","4.200","3.750","3.820","1,405,000"
09/13/2023,"4.050","4.420","4.050","4.160","1,843,000"
09/12/2023,"3.590","4.000","3.590","3.970","1,531,000"
09/11/2023,"3.500","3.570","3.300","3.560","495,000"
09/08/2023,"3.560","3.590","3.340","3.490","376,000"
09/07/2023,"3.350","3.610","3.250","3.560","285,000"
09/06/2023,"3.680","3.680","3.310","3.390","830,000"
09/05/2023,"3.920","3.980","3.620","3.680","643,000"
09/04/2023,"3.870","4.160","3.740","3.980","1,923,000"
09/01/2023,"3.880","3.900","3.590","3.870","773,000"
08/31/2023,"3.100","3.940","3.100","3.900","2,777,000"
08/30/2023,"2.540","2.950","2.540","2.890","971,000"
08/29/2023,"2.690","2.690","2.540","2.580","147,000"
08/25/2023,"2.710","2.710","2.580","2.690","487,000"
08/24/2023,"2.900","2.900","2.750","2.800","222,000"
08/23/2023,"2.990","3.000","2.800","2.870","335,000"
08/22/2023,"2.450","3.200","2.450","2.900","1,003,000"
08/18/2023,"2.030","3.000","2.020","2.430","2,290,000"
08/17/2023,"1.990","2.000","1.990","2.000","113,000"
08/16/2023,"1.980","2.020","1.980","1.990","73,000"
08/15/2023,"2.000","2.000","1.980","1.980","110,000"
08/14/2023,"2.000","2.030","1.990","2.020","249,000"
08/11/2023,"1.990","1.990","1.810","1.980","11,000"
08/10/2023,"1.970","1.990","1.970","1.990","26,000"
08/09/2023,"1.990","1.990","1.820","1.980","5,000"
08/08/2023,"1.800","1.900","1.800","1.900","7,000"
08/07/2023,"2.000","2.000","2.000","2.000","1,000"
08/04/2023,"1.960","1.980","1.910","1.970","22,000"
08/03/2023,"1.880","1.960","1.880","1.960","111,000"
08/02/2023,"1.880","1.880","1.880","1.880","2,000"
08/01/2023,"1.880","1.880","1.880","1.880","11,000"
07/31/2023,"1.880","1.880","1.850","1.880","30,000"
07/28/2023,"1.880","1.880","1.880","1.880","12,000"
07/27/2023,"1.870","1.870","1.870","1.870","27,000"
07/25/2023,"1.870","1.870","1.870","1.870","6,000"
07/24/2023,"1.860","1.860","1.860","1.860","34,000"
07/21/2023,"1.800","1.850","1.800","1.850","39,000"
07/20/2023,"1.860","1.860","1.860","1.860","1,000"
07/19/2023,"1.840","1.840","1.840","1.840","20,000"
07/17/2023,"1.800","1.800","1.800","1.800","6,000"
07/13/2023,"1.850","1.850","1.830","1.830","55,000"
07/12/2023,"1.850","1.850","1.850","1.850","25,000"
07/07/2023,"1.850","1.850","1.850","1.850","5,000"
07/06/2023,"1.730","1.860","1.730","1.860","8,000"
07/05/2023,"1.780","1.780","1.750","1.750","61,000"
07/04/2023,"1.800","1.800","1.800","1.800","25,000"
06/29/2023,"1.800","1.800","1.800","1.800","2,000"
06/27/2023,"1.800","1.800","1.800","1.800","3,000"
06/23/2023,"1.850","1.860","1.850","1.860","11,000"
06/22/2023,"1.760","1.830","1.760","1.820","97,000"
06/21/2023,"1.800","1.820","1.760","1.820","32,000"
06/20/2023,"1.830","1.830","1.830","1.830","2,000"
06/14/2023,"1.800","1.800","1.800","1.800","5,000"
06/13/2023,"1.780","1.780","1.780","1.780","2,000"
06/05/2023,"1.780","1.780","1.780","1.780","2,000"
06/02/2023,"1.800","1.800","1.800","1.800","20,000"
06/01/2023,"1.780","1.800","1.780","1.780","11,000"
05/25/2023,"1.870","1.870","1.870","1.870","10,000"
05/24/2023,"1.810","1.870","1.810","1.870","18,000"
05/23/2023,"1.810","1.810","1.810","1.810","20,000"
05/22/2023,"1.780","1.780","1.780","1.780","10,000"
05/19/2023,"1.870","1.870","1.800","1.870","125,000"
05/18/2023,"1.870","1.870","1.870","1.870","3,000"
05/17/2023,"1.830","1.880","1.830","1.880","10,000"
05/16/2023,"1.840","1.880","1.800","1.800","9,837,000"
05/15/2023,"1.840","1.880","1.840","1.880","44,000"
05/12/2023,"1.840","1.900","1.840","1.900","28,000"
05/11/2023,"1.780","1.830","1.780","1.830","569,000"
05/09/2023,"1.820","1.820","1.820","1.820","10,000"
05/04/2023,"1.800","1.800","1.800","1.800","85,000"
05/02/2023,"1.800","1.850","1.800","1.800","8,000"
04/27/2023,"1.780","1.780","1.780","1.780","2,000"
04/26/2023,"1.810","1.810","1.780","1.780","68,000"
04/25/2023,"1.840","1.840","1.810","1.810","32,000"
04/24/2023,"1.850","1.850","1.800","1.800","18,000"
04/20/2023,"1.710","1.840","1.710","1.800","47,000"
04/04/2023,"1.750","1.790","1.750","1.790","23,000"
04/03/2023,"1.870","1.870","1.710","1.710","21,000"
03/31/2023,"1.800","1.800","1.800","1.800","1,000"
03/30/2023,"1.800","1.820","1.800","1.800","8,000"
03/29/2023,"1.840","1.840","1.800","1.800","5,000"
03/28/2023,"1.730","1.840","1.730","1.840","6,000"
03/27/2023,"1.730","1.730","1.730","1.730","19,000"
03/21/2023,"1.740","1.740","1.740","1.740","17,000"
03/20/2023,"1.740","1.740","1.740","1.740","17,000"
03/17/2023,"1.710","1.730","1.710","1.730","14,000"
03/15/2023,"1.840","1.840","1.840","1.840","5,000"
03/14/2023,"1.850","1.850","1.850","1.850","1,000"
03/13/2023,"1.860","1.860","1.860","1.860","5,000"
03/10/2023,"1.870","1.870","1.850","1.860","15,000"
03/09/2023,"1.880","1.890","1.880","1.880","12,000"
03/08/2023,"1.890","1.890","1.700","1.760","76,000"
03/07/2023,"1.890","1.890","1.890","1.890","3,000"
03/06/2023,"1.830","1.900","1.830","1.900","33,000"
03/03/2023,"1.840","1.850","1.830","1.830","25,000"
03/02/2023,"1.850","1.850","1.850","1.850","1,000"
03/01/2023,"1.800","1.850","1.800","1.850","150,000"
02/28/2023,"1.740","1.800","1.740","1.790","112,000"
02/27/2023,"1.740","1.740","1.740","1.740","3,000"
02/20/2023,"1.740","1.740","1.700","1.700","21,000"
02/17/2023,"1.740","1.740","1.740","1.740","1,000"
02/13/2023,"1.680","1.760","1.680","1.760","16,000"
02/10/2023,"1.650","1.650","1.650","1.650","9,000"
02/03/2023,"1.650","1.650","1.650","1.650","27,000"
02/02/2023,"1.610","1.610","1.600","1.600","2,000"
01/31/2023,"1.610","1.610","1.600","1.600","40,000"
01/27/2023,"1.710","1.710","1.620","1.620","116,000"
01/24/2023,"1.710","1.710","1.710","1.710","9,000"
01/23/2023,"1.660","1.710","1.660","1.710","13,000"
01/19/2023,"1.770","1.780","1.750","1.750","7,000"
01/18/2023,"1.750","1.750","1.750","1.750","9,000"
01/12/2023,"1.750","1.750","1.660","1.660","5,000"
01/11/2023,"1.700","1.700","1.700","1.700","5,000"
01/10/2023,"1.560","1.560","1.560","1.560","2,000"
