Date,Open,High,Low,Close,Volume
12/31/2021,"2.950","2.990","2.910","2.910","4,368,000"
12/29/2021,"2.960","2.980","2.950","2.950","31,000"
12/28/2021,"2.910","2.980","2.910","2.980","6,000"
12/27/2021,"2.940","2.940","2.900","2.900","200,000"
12/23/2021,"3.000","3.000","3.000","3.000","205,000"
12/22/2021,"2.910","3.000","2.910","3.000","379,000"
12/17/2021,"2.960","2.960","2.910","2.910","156,000"
12/16/2021,"3.000","3.000","3.000","3.000","1,950,000"
12/14/2021,"2.960","2.960","2.960","2.960","3,000"
12/13/2021,"3.080","3.080","2.960","2.960","4,000"
12/09/2021,"2.950","2.950","2.930","2.930","7,000"
12/07/2021,"2.980","2.980","2.920","2.930","32,000"
12/06/2021,"3.140","3.140","3.140","3.140","3,000"
12/03/2021,"2.930","2.930","2.930","2.930","50,000"
12/02/2021,"2.970","2.970","2.930","2.930","135,000"
12/01/2021,"2.970","2.970","2.970","2.970","134,000"
11/29/2021,"2.950","2.970","2.950","2.970","1,027,000"
11/26/2021,"3.030","3.030","2.950","2.950","262,000"
11/25/2021,"3.060","3.060","2.970","3.000","2,011,000"
11/24/2021,"3.130","3.190","3.050","3.060","1,912,000"
11/23/2021,"3.130","3.130","3.120","3.120","17,000"
11/22/2021,"3.150","3.150","3.150","3.150","10,000"
11/19/2021,"3.150","3.150","3.150","3.150","24,000"
11/18/2021,"3.150","3.220","3.150","3.220","52,000"
11/17/2021,"3.190","3.220","3.150","3.210","110,000"
11/16/2021,"3.100","3.110","3.100","3.110","12,000"
11/15/2021,"3.100","3.100","3.100","3.100","5,000"
11/12/2021,"3.130","3.160","3.100","3.100","117,000"
11/11/2021,"3.130","3.130","3.130","3.130","4,000"
11/10/2021,"3.200","3.200","3.200","3.200","21,000"
11/08/2021,"3.120","3.120","3.120","3.120","44,000"
11/05/2021,"3.240","3.240","3.100","3.120","518,000"
11/04/2021,"3.120","3.140","3.120","3.120","75,000"
11/03/2021,"3.250","3.250","3.120","3.120","344,000"
11/02/2021,"3.150","3.240","3.150","3.240","168,000"
10/29/2021,"3.160","3.290","3.150","3.150","1,688,000"
10/28/2021,"3.280","3.280","3.160","3.160","55,000"
10/27/2021,"3.240","3.300","3.160","3.300","57,000"
10/26/2021,"3.200","3.250","3.180","3.250","200,000"
10/25/2021,"3.250","3.310","3.250","3.300","116,000"
10/22/2021,"3.310","3.310","3.310","3.310","14,000"
10/21/2021,"3.300","3.310","3.300","3.310","27,000"
10/20/2021,"3.250","3.250","3.250","3.250","7,000"
10/19/2021,"3.210","3.250","3.210","3.250","230,000"
10/18/2021,"3.300","3.300","3.210","3.210","160,000"
10/15/2021,"3.310","3.310","3.310","3.310","6,000"
10/14/2021,"3.210","3.300","3.210","3.300","209,000"
10/13/2021,"3.270","3.290","3.270","3.290","137,000"
10/12/2021,"3.300","3.300","3.250","3.250","17,000"
10/11/2021,"3.260","3.310","3.150","3.150","508,000"
10/08/2021,"3.230","3.260","3.230","3.260","88,000"
10/07/2021,"3.250","3.250","3.190","3.240","241,000"
10/06/2021,"3.250","3.250","3.160","3.200","84,000"
10/05/2021,"3.240","3.260","3.240","3.260","89,000"
10/04/2021,"3.110","3.240","3.110","3.240","83,000"
10/01/2021,"3.110","3.120","3.110","3.110","69,000"
09/30/2021,"3.110","3.150","3.110","3.140","126,000"
09/29/2021,"3.130","3.140","3.100","3.110","667,000"
09/28/2021,"3.180","3.180","3.170","3.170","211,000"
09/27/2021,"3.220","3.220","3.170","3.180","380,000"
09/23/2021,"3.150","3.180","3.150","3.180","55,000"
09/22/2021,"3.230","3.230","3.180","3.180","295,000"
09/21/2021,"3.240","3.250","3.240","3.250","85,000"
09/20/2021,"3.260","3.300","3.260","3.270","589,000"
09/17/2021,"3.300","3.310","3.300","3.300","1,232,000"
09/16/2021,"3.300","3.320","3.300","3.310","951,000"
09/15/2021,"3.220","3.350","3.220","3.310","1,430,000"
09/14/2021,"3.300","3.300","3.250","3.300","1,097,000"
09/13/2021,"3.300","3.370","3.200","3.350","1,948,000"
09/10/2021,"3.200","3.350","3.200","3.350","1,640,000"
09/09/2021,"3.200","3.250","3.150","3.250","1,318,000"
09/08/2021,"3.250","3.250","3.200","3.250","1,064,000"
09/07/2021,"3.110","3.240","3.110","3.240","1,263,000"
09/06/2021,"3.090","3.180","3.090","3.100","1,036,000"
09/03/2021,"3.050","3.200","3.050","3.060","1,850,000"
09/02/2021,"3.050","3.070","3.050","3.070","1,039,000"
09/01/2021,"3.040","3.060","3.040","3.050","1,040,000"
08/31/2021,"3.010","3.080","3.010","3.050","2,433,000"
08/27/2021,"3.010","3.050","3.010","3.010","1,030,000"
08/26/2021,"3.020","3.080","3.010","3.020","1,523,000"
08/25/2021,"2.990","3.010","2.990","3.010","1,004,000"
08/24/2021,"3.010","3.020","3.010","3.020","1,015,000"
08/23/2021,"3.000","3.050","3.000","3.050","1,117,000"
08/20/2021,"3.000","3.040","2.990","2.990","1,046,000"
08/19/2021,"3.000","3.010","2.990","3.000","1,032,000"
08/18/2021,"3.010","3.030","2.960","3.010","1,244,000"
08/17/2021,"3.010","3.030","3.010","3.020","1,032,000"
08/16/2021,"3.340","3.340","3.000","3.010","1,032,000"
08/13/2021,"2.950","2.980","2.950","2.980","1,008,000"
08/12/2021,"2.940","2.950","2.930","2.930","2,691,000"
08/11/2021,"2.930","2.960","2.930","2.930","1,210,000"
08/10/2021,"2.930","2.970","2.930","2.930","1,159,000"
08/09/2021,"2.950","2.950","2.930","2.930","1,412,000"
08/06/2021,"2.930","3.040","2.930","2.950","1,446,000"
08/05/2021,"2.930","2.960","2.930","2.940","1,487,000"
08/04/2021,"2.960","3.000","2.960","2.970","1,285,000"
08/03/2021,"3.030","3.030","2.960","3.000","1,116,000"
08/02/2021,"3.010","3.020","3.010","3.020","1,010,000"
07/30/2021,"3.110","3.110","3.000","3.000","1,399,000"
07/29/2021,"3.100","3.100","3.090","3.100","1,037,000"
07/28/2021,"3.110","3.110","3.100","3.110","1,075,000"
07/27/2021,"3.110","3.120","3.110","3.120","1,247,000"
07/26/2021,"3.160","3.160","3.100","3.100","1,383,000"
