Date,Open,High,Low,Close,Volume
12/29/2022,"0.580","0.580","0.580","0.580","10,000"
12/28/2022,"0.455","0.455","0.450","0.450","120,000"
12/27/2022,"0.455","0.455","0.455","0.455","7,000"
12/22/2022,"0.590","0.590","0.590","0.590","10,000"
12/13/2022,"0.450","0.450","0.450","0.450","20,000"
12/05/2022,"0.450","0.450","0.450","0.450","90,000"
10/12/2022,"0.450","0.450","0.450","0.450","20,000"
10/06/2022,"0.450","0.450","0.450","0.450","20,000"
10/04/2022,"0.450","0.450","0.450","0.450","10,000"
09/20/2022,"0.450","0.450","0.450","0.450","10,000"
09/19/2022,"0.450","0.450","0.450","0.450","10,000"
09/07/2022,"0.455","0.455","0.455","0.455","10,000"
09/06/2022,"0.475","0.475","0.475","0.475","30,000"
09/05/2022,"0.475","0.480","0.475","0.475","50,000"
08/16/2022,"0.475","0.475","0.475","0.475","4,000"
08/12/2022,"0.530","0.550","0.530","0.550","100,000"
08/10/2022,"0.460","0.460","0.460","0.460","10,000"
07/19/2022,"0.465","0.465","0.460","0.460","30,000"
07/14/2022,"0.560","0.560","0.495","0.495","24,000"
07/13/2022,"0.530","0.640","0.520","0.560","50,000"
07/12/2022,"0.650","0.650","0.650","0.650","10,000"
07/11/2022,"0.550","0.650","0.550","0.650","28,000"
07/08/2022,"0.690","0.690","0.690","0.690","2,000"
07/07/2022,"0.710","0.710","0.710","0.710","19,000"
07/06/2022,"0.700","0.700","0.700","0.700","1,000"
07/05/2022,"0.530","0.530","0.530","0.530","1,000"
07/04/2022,"0.510","0.730","0.510","0.730","3,000"
07/01/2022,"0.540","0.540","0.540","0.540","10,000"
06/30/2022,"0.680","0.680","0.630","0.630","14,000"
06/28/2022,"0.650","0.660","0.650","0.650","28,000"
06/27/2022,"0.470","0.740","0.470","0.740","26,000"
06/22/2022,"0.740","0.750","0.550","0.550","35,000"
06/21/2022,"0.460","0.530","0.460","0.530","40,000"
06/20/2022,"0.340","0.390","0.340","0.390","20,000"
06/16/2022,"0.440","0.440","0.440","0.440","31,000"
06/08/2022,"0.590","0.610","0.590","0.610","7,000"
06/06/2022,"0.610","0.610","0.600","0.600","208,000"
06/03/2022,"0.620","0.620","0.620","0.620","9,000"
06/01/2022,"0.650","0.650","0.610","0.620","137,000"
05/31/2022,"0.660","0.660","0.660","0.660","1,000"
05/27/2022,"0.690","0.690","0.690","0.690","28,000"
05/26/2022,"0.660","0.690","0.660","0.690","109,000"
05/25/2022,"0.930","0.930","0.650","0.650","40,000"
05/24/2022,"0.640","0.660","0.600","0.620","194,000"
05/16/2022,"0.610","0.800","0.610","0.800","16,000"
05/13/2022,"0.850","0.850","0.850","0.850","3,000"
05/04/2022,"0.850","0.850","0.850","0.850","257,000"
04/26/2022,"0.850","0.850","0.850","0.850","17,000"
04/21/2022,"0.860","0.860","0.850","0.850","62,000"
04/18/2022,"0.860","0.860","0.860","0.860","40,000"
04/11/2022,"0.870","0.870","0.860","0.860","12,000"
04/04/2022,"0.860","0.860","0.860","0.860","1,000"
03/29/2022,"0.910","0.910","0.910","0.910","1,000"
03/24/2022,"0.910","0.910","0.910","0.910","40,000"
03/17/2022,"0.870","0.870","0.870","0.870","18,000"
03/14/2022,"0.850","0.850","0.850","0.850","10,000"
03/08/2022,"0.860","0.860","0.850","0.850","17,000"
03/04/2022,"0.920","0.920","0.920","0.920","1,000"
03/03/2022,"0.860","0.920","0.860","0.920","22,000"
02/24/2022,"0.920","0.920","0.920","0.920","6,000"
02/22/2022,"0.900","0.900","0.900","0.900","100,000"
02/21/2022,"0.900","0.900","0.900","0.900","1,558,000"
02/17/2022,"0.900","0.900","0.900","0.900","45,000"
02/08/2022,"0.900","0.900","0.900","0.900","1,000"
02/04/2022,"0.900","0.900","0.900","0.900","30,000"
01/28/2022,"0.900","0.900","0.900","0.900","15,000"
01/24/2022,"0.910","0.910","0.910","0.910","13,000"
01/18/2022,"0.910","0.910","0.910","0.910","14,000"
01/17/2022,"0.910","0.910","0.910","0.910","1,000"
01/12/2022,"0.910","0.910","0.910","0.910","60,000"
01/10/2022,"0.910","0.910","0.910","0.910","50,000"
01/07/2022,"0.910","0.910","0.910","0.910","30,000"
01/06/2022,"0.910","0.910","0.910","0.910","22,000"
01/05/2022,"0.910","0.910","0.910","0.910","100,000"
