Date,Open,High,Low,Close,Volume
12/27/2024,"0.003","0.003","0.003","0.003","1,000,000"
12/26/2024,"0.003","0.003","0.003","0.003","8,000,000"
12/23/2024,"0.003","0.003","0.003","0.003","7,000,000"
12/20/2024,"0.003","0.003","0.003","0.003","7,000,000"
12/19/2024,"0.003","0.003","0.003","0.003","1,000,000"
12/17/2024,"0.003","0.003","0.003","0.003","12,000,000"
12/16/2024,"0.003","0.003","0.003","0.003","1,000,000"
12/13/2024,"0.003","0.003","0.003","0.003","3,000,000"
12/12/2024,"0.003","0.003","0.003","0.003","38,000,000"
12/11/2024,"0.003","0.003","0.003","0.003","54,000,000"
12/09/2024,"0.003","0.003","0.003","0.003","2,000,000"
12/06/2024,"0.003","0.003","0.003","0.003","15,000,000"
12/05/2024,"0.003","0.003","0.003","0.003","34,000,000"
12/04/2024,"0.003","0.003","0.003","0.003","2,000,000"
12/03/2024,"0.003","0.003","0.003","0.003","7,000,000"
12/02/2024,"0.003","0.003","0.003","0.003","27,000,000"
11/27/2024,"0.003","0.003","0.003","0.003","12,000,000"
11/26/2024,"0.003","0.003","0.003","0.003","4,000,000"
11/25/2024,"0.003","0.003","0.003","0.003","39,000,000"
11/22/2024,"0.003","0.003","0.003","0.003","59,000,000"
11/21/2024,"0.003","0.003","0.003","0.003","214,000,000"
11/20/2024,"0.003","0.003","0.003","0.003","175,000,000"
11/19/2024,"0.003","0.003","0.003","0.003","84,000,000"
11/18/2024,"0.003","0.003","0.003","0.003","2,000,000"
11/15/2024,"0.003","0.003","0.003","0.003","1,000,000"
11/14/2024,"0.003","0.003","0.003","0.003","52,000,000"
11/13/2024,"0.003","0.003","0.003","0.003","63,000,000"
11/12/2024,"0.004","0.004","0.004","0.004","84,000,000"
11/11/2024,"0.003","0.004","0.003","0.004","46,000,000"
11/07/2024,"0.004","0.004","0.004","0.004","3,000,000"
11/06/2024,"0.004","0.004","0.004","0.004","46,000,000"
11/05/2024,"0.004","0.004","0.004","0.004","21,000,000"
10/31/2024,"0.004","0.004","0.004","0.004","1,000,000"
10/30/2024,"0.004","0.004","0.004","0.004","1,000,000"
10/24/2024,"0.004","0.004","0.004","0.004","6,000,000"
10/23/2024,"0.004","0.004","0.004","0.004","23,000,000"
10/22/2024,"0.004","0.004","0.004","0.004","8,000,000"
10/21/2024,"0.004","0.004","0.004","0.004","44,000,000"
10/18/2024,"0.004","0.004","0.004","0.004","63,000,000"
10/17/2024,"0.004","0.004","0.004","0.004","27,000,000"
10/16/2024,"0.004","0.004","0.004","0.004","4,000,000"
10/14/2024,"0.004","0.004","0.004","0.004","27,000,000"
10/10/2024,"0.004","0.004","0.004","0.004","27,000,000"
10/09/2024,"0.004","0.004","0.004","0.004","19,000,000"
10/08/2024,"0.004","0.004","0.004","0.004","12,000,000"
10/07/2024,"0.004","0.004","0.004","0.004","129,000,000"
10/04/2024,"0.004","0.004","0.004","0.004","61,000,000"
10/03/2024,"0.004","0.004","0.004","0.004","68,000,000"
10/02/2024,"0.004","0.004","0.004","0.004","196,000,000"
10/01/2024,"0.003","0.004","0.003","0.004","19,000,000"
09/30/2024,"0.004","0.004","0.003","0.003","10,000,000"
09/27/2024,"0.003","0.004","0.003","0.004","182,000,000"
09/26/2024,"0.003","0.003","0.003","0.003","135,000,000"
09/25/2024,"0.003","0.003","0.003","0.003","29,000,000"
09/24/2024,"0.003","0.003","0.003","0.003","51,000,000"
09/23/2024,"0.003","0.003","0.003","0.003","62,000,000"
09/20/2024,"0.003","0.003","0.003","0.003","20,000,000"
09/19/2024,"0.003","0.003","0.003","0.003","3,000,000"
09/18/2024,"0.003","0.003","0.003","0.003","131,000,000"
09/17/2024,"0.003","0.003","0.003","0.003","117,000,000"
09/16/2024,"0.004","0.004","0.003","0.003","36,000,000"
09/13/2024,"0.003","0.003","0.003","0.003","26,000,000"
09/12/2024,"0.003","0.004","0.003","0.003","17,000,000"
09/11/2024,"0.003","0.004","0.003","0.003","103,000,000"
09/10/2024,"0.004","0.004","0.003","0.003","49,000,000"
09/06/2024,"0.004","0.004","0.004","0.004","9,000,000"
09/05/2024,"0.004","0.004","0.004","0.004","9,000,000"
09/04/2024,"0.004","0.004","0.004","0.004","9,000,000"
09/03/2024,"0.004","0.004","0.004","0.004","11,000,000"
09/02/2024,"0.004","0.004","0.004","0.004","2,000,000"
08/30/2024,"0.004","0.004","0.004","0.004","25,000,000"
08/29/2024,"0.004","0.004","0.004","0.004","30,000,000"
08/28/2024,"0.004","0.004","0.004","0.004","21,000,000"
08/27/2024,"0.004","0.004","0.004","0.004","20,000,000"
08/22/2024,"0.004","0.004","0.004","0.004","2,000,000"
08/21/2024,"0.004","0.004","0.004","0.004","26,000,000"
08/20/2024,"0.004","0.004","0.004","0.004","20,000,000"
08/19/2024,"0.004","0.004","0.004","0.004","30,000,000"
08/15/2024,"0.004","0.004","0.004","0.004","2,000,000"
08/14/2024,"0.004","0.004","0.004","0.004","6,000,000"
08/13/2024,"0.004","0.004","0.004","0.004","24,000,000"
08/09/2024,"0.004","0.004","0.004","0.004","12,000,000"
08/07/2024,"0.004","0.004","0.004","0.004","4,000,000"
08/06/2024,"0.004","0.004","0.004","0.004","15,000,000"
08/05/2024,"0.004","0.004","0.004","0.004","26,000,000"
08/02/2024,"0.004","0.004","0.004","0.004","26,000,000"
08/01/2024,"0.004","0.004","0.004","0.004","1,000,000"
07/31/2024,"0.004","0.004","0.004","0.004","2,000,000"
07/30/2024,"0.004","0.004","0.004","0.004","140,000,000"
07/29/2024,"0.004","0.004","0.004","0.004","42,000,000"
07/26/2024,"0.004","0.004","0.004","0.004","27,000,000"
07/25/2024,"0.004","0.004","0.004","0.004","11,000,000"
07/23/2024,"0.004","0.004","0.004","0.004","13,000,000"
07/22/2024,"0.004","0.004","0.004","0.004","3,000,000"
07/19/2024,"0.004","0.004","0.004","0.004","1,000,000"
07/17/2024,"0.004","0.004","0.004","0.004","32,000,000"
07/16/2024,"0.004","0.004","0.004","0.004","1,000,000"
07/15/2024,"0.004","0.004","0.004","0.004","1,000,000"
07/11/2024,"0.004","0.004","0.004","0.004","13,000,000"
07/02/2024,"0.004","0.004","0.004","0.004","16,000,000"
06/28/2024,"0.004","0.004","0.004","0.004","4,000,000"
06/25/2024,"0.004","0.004","0.004","0.004","34,000,000"
06/24/2024,"0.004","0.004","0.004","0.004","3,000,000"
06/21/2024,"0.004","0.004","0.004","0.004","4,000,000"
06/20/2024,"0.004","0.004","0.004","0.004","1,000,000"
06/19/2024,"0.004","0.004","0.004","0.004","2,000,000"
06/18/2024,"0.005","0.005","0.004","0.004","29,000,000"
06/13/2024,"0.004","0.004","0.004","0.004","1,000,000"
06/11/2024,"0.004","0.004","0.004","0.004","3,000,000"
06/10/2024,"0.004","0.004","0.004","0.004","6,000,000"
06/07/2024,"0.004","0.004","0.004","0.004","3,000,000"
06/05/2024,"0.004","0.004","0.004","0.004","2,000,000"
06/03/2024,"0.004","0.004","0.004","0.004","3,000,000"
05/31/2024,"0.004","0.004","0.004","0.004","16,000,000"
