Date,Open,High,Low,Close,Volume
12/27/2024,"0.740","0.750","0.700","0.750","560,000"
12/26/2024,"0.750","0.780","0.700","0.720","3,380,000"
12/23/2024,"0.690","0.750","0.660","0.750","4,930,000"
12/20/2024,"0.650","0.690","0.650","0.680","169,000"
12/19/2024,"0.670","0.670","0.640","0.650","613,000"
12/18/2024,"0.650","0.670","0.640","0.670","365,000"
12/17/2024,"0.650","0.680","0.650","0.650","211,000"
12/16/2024,"0.670","0.670","0.660","0.660","227,000"
12/13/2024,"0.670","0.680","0.640","0.670","1,030,000"
12/12/2024,"0.670","0.670","0.640","0.670","184,000"
12/11/2024,"0.670","0.670","0.650","0.670","71,000"
12/10/2024,"0.670","0.670","0.640","0.670","310,000"
12/09/2024,"0.700","0.700","0.640","0.670","166,000"
12/06/2024,"0.680","0.700","0.680","0.700","414,000"
12/05/2024,"0.660","0.690","0.660","0.690","644,000"
12/04/2024,"0.660","0.660","0.660","0.660","2,000"
12/03/2024,"0.670","0.670","0.660","0.660","132,000"
12/02/2024,"0.660","0.670","0.640","0.650","155,000"
11/29/2024,"0.630","0.670","0.630","0.670","675,000"
11/28/2024,"0.660","0.660","0.630","0.630","237,000"
11/27/2024,"0.660","0.660","0.640","0.660","71,000"
11/26/2024,"0.650","0.660","0.630","0.630","748,000"
11/25/2024,"0.660","0.660","0.630","0.640","1,180,000"
11/22/2024,"0.670","0.670","0.640","0.660","260,000"
11/21/2024,"0.640","0.660","0.630","0.660","383,000"
11/20/2024,"0.670","0.670","0.650","0.660","545,000"
11/19/2024,"0.660","0.660","0.640","0.660","447,000"
11/18/2024,"0.660","0.670","0.650","0.670","140,000"
11/15/2024,"0.640","0.680","0.640","0.680","102,000"
11/14/2024,"0.640","0.660","0.640","0.660","427,000"
11/13/2024,"0.670","0.670","0.650","0.650","86,000"
11/12/2024,"0.660","0.680","0.650","0.660","862,000"
11/11/2024,"0.690","0.690","0.660","0.660","240,000"
11/08/2024,"0.680","0.700","0.680","0.700","235,000"
11/07/2024,"0.700","0.710","0.660","0.670","1,916,000"
