Date,Open,High,Low,Close,Volume
05/07/2025,"0.550","0.570","0.540","0.560","49,000"
05/06/2025,"0.560","0.570","0.540","0.550","92,000"
05/05/2025,"0.570","0.580","0.550","0.560","413,000"
05/02/2025,"0.570","0.570","0.530","0.560","159,000"
04/30/2025,"0.570","0.570","0.570","0.570","72,000"
04/29/2025,"0.560","0.570","0.560","0.570","5,000"
04/28/2025,"0.560","0.560","0.560","0.560","3,000"
04/25/2025,"0.530","0.570","0.530","0.570","28,000"
04/24/2025,"0.530","0.560","0.530","0.560","19,000"
04/23/2025,"0.540","0.570","0.540","0.570","561,000"
04/22/2025,"0.560","0.560","0.550","0.550","28,000"
04/21/2025,"0.520","0.560","0.520","0.560","554,000"
04/16/2025,"0.520","0.540","0.520","0.540","52,000"
04/15/2025,"0.510","0.530","0.500","0.530","228,000"
04/14/2025,"0.510","0.540","0.510","0.520","146,000"
04/11/2025,"0.520","0.530","0.510","0.530","85,000"
04/10/2025,"0.510","0.530","0.510","0.530","54,000"
04/08/2025,"0.500","0.530","0.500","0.530","169,000"
04/07/2025,"0.540","0.540","0.490","0.500","1,456,000"
