Date,Open,High,Low,Close,Volume
12/31/2021,"6.480","6.630","6.480","6.480","15,200"
12/29/2021,"6.460","6.500","6.350","6.480","118,900"
12/28/2021,"6.500","6.500","6.460","6.500","61,200"
12/27/2021,"6.650","6.650","6.500","6.500","23,400"
12/24/2021,"6.540","6.540","6.540","6.540","11,000"
12/23/2021,"6.520","6.640","6.430","6.430","20,300"
12/22/2021,"6.640","6.640","6.400","6.520","111,400"
12/21/2021,"6.600","6.650","6.600","6.620","32,300"
12/20/2021,"6.580","6.650","6.400","6.650","123,200"
12/17/2021,"6.600","6.600","6.510","6.570","47,300"
12/16/2021,"6.590","6.650","6.590","6.600","11,900"
12/15/2021,"6.690","6.700","6.570","6.590","99,800"
12/14/2021,"6.600","6.690","6.600","6.680","10,800"
12/13/2021,"6.600","6.600","6.500","6.600","54,400"
12/10/2021,"6.630","6.680","6.600","6.600","43,000"
12/09/2021,"6.610","6.700","6.610","6.620","73,900"
12/07/2021,"6.790","6.830","6.600","6.610","74,300"
12/06/2021,"6.480","6.600","6.450","6.600","43,400"
12/03/2021,"6.500","6.600","6.480","6.480","88,600"
12/02/2021,"6.400","6.450","6.350","6.450","221,800"
12/01/2021,"6.650","6.650","6.430","6.450","195,900"
11/29/2021,"6.720","6.720","6.310","6.640","550,700"
11/26/2021,"6.880","6.930","6.840","6.850","143,300"
11/25/2021,"6.850","6.950","6.850","6.880","86,700"
11/24/2021,"6.950","6.950","6.850","6.850","159,700"
11/23/2021,"6.850","6.990","6.850","6.900","308,100"
11/22/2021,"6.810","6.920","6.800","6.850","89,400"
11/19/2021,"6.870","6.870","6.700","6.810","108,800"
11/18/2021,"6.940","6.990","6.700","6.870","497,000"
11/17/2021,"6.950","6.950","6.500","6.830","1,050,200"
11/16/2021,"7.210","7.210","6.860","7.000","786,200"
11/15/2021,"7.200","7.300","7.190","7.210","171,600"
11/12/2021,"7.300","7.300","7.120","7.200","292,900"
11/11/2021,"7.500","7.500","7.310","7.310","365,100"
11/10/2021,"7.580","7.590","7.440","7.500","329,700"
11/09/2021,"7.400","7.580","7.300","7.580","818,900"
11/08/2021,"7.340","7.400","7.200","7.400","215,200"
11/05/2021,"7.210","7.390","7.200","7.200","328,500"
11/04/2021,"7.150","7.300","7.100","7.200","68,700"
11/03/2021,"7.200","7.200","7.000","7.150","481,100"
11/02/2021,"7.200","7.350","7.100","7.200","236,400"
10/29/2021,"7.380","7.380","7.200","7.220","101,500"
10/28/2021,"7.450","7.450","7.350","7.380","154,900"
10/27/2021,"7.450","7.540","7.400","7.450","192,800"
10/26/2021,"7.400","7.450","7.210","7.450","254,600"
10/25/2021,"7.430","7.430","7.200","7.420","391,400"
10/22/2021,"7.280","7.420","7.180","7.420","394,500"
10/21/2021,"7.590","7.590","7.230","7.280","458,900"
10/20/2021,"7.400","7.600","7.400","7.580","734,400"
10/19/2021,"6.870","7.400","6.870","7.400","1,743,300"
10/18/2021,"7.050","7.100","6.860","6.870","438,500"
10/15/2021,"7.120","7.160","7.000","7.050","192,700"
10/14/2021,"6.910","7.180","6.910","7.120","559,700"
10/13/2021,"7.120","7.210","6.800","7.090","995,000"
10/12/2021,"6.650","7.150","6.600","7.040","1,291,200"
10/11/2021,"6.520","6.630","6.470","6.600","570,400"
10/08/2021,"6.600","6.600","6.520","6.520","67,900"
10/07/2021,"6.540","6.600","6.520","6.600","222,200"
10/06/2021,"6.410","6.520","6.220","6.520","223,700"
10/05/2021,"6.420","6.420","6.300","6.400","257,800"
10/04/2021,"6.350","6.430","6.200","6.430","40,800"
10/01/2021,"6.300","6.500","6.150","6.350","139,800"
09/30/2021,"6.070","6.400","6.070","6.300","160,500"
09/29/2021,"6.300","6.300","6.030","6.250","205,800"
09/28/2021,"6.300","6.360","6.200","6.300","29,100"
09/27/2021,"6.500","6.500","6.100","6.300","307,300"
09/24/2021,"6.500","6.580","6.440","6.440","114,600"
09/23/2021,"6.580","6.580","6.440","6.570","34,600"
09/22/2021,"6.510","6.600","6.400","6.580","320,000"
09/21/2021,"6.400","6.600","6.400","6.600","145,200"
09/20/2021,"6.570","6.570","6.350","6.400","533,100"
09/17/2021,"6.600","6.670","6.570","6.570","82,600"
09/16/2021,"6.530","6.700","6.530","6.670","423,200"
09/15/2021,"6.540","6.550","6.530","6.530","90,400"
09/14/2021,"6.550","6.550","6.460","6.540","107,500"
09/13/2021,"6.360","6.670","6.360","6.550","36,600"
09/10/2021,"6.510","6.700","6.500","6.510","56,700"
09/09/2021,"6.360","6.500","6.360","6.500","14,400"
09/08/2021,"6.550","6.550","6.450","6.450","25,400"
09/07/2021,"6.450","6.620","6.450","6.500","92,300"
09/06/2021,"6.340","6.500","6.330","6.450","32,500"
09/03/2021,"6.580","6.600","6.200","6.330","252,600"
09/02/2021,"6.400","6.600","6.290","6.440","148,000"
09/01/2021,"6.610","6.610","6.200","6.400","243,700"
08/31/2021,"6.700","6.850","6.340","6.610","403,300"
08/27/2021,"6.300","6.620","6.300","6.620","497,200"
08/26/2021,"6.180","6.300","6.180","6.300","429,700"
08/25/2021,"6.070","6.150","6.060","6.150","425,300"
08/24/2021,"6.090","6.090","6.000","6.080","98,000"
08/23/2021,"6.050","6.100","5.950","6.090","148,100"
08/20/2021,"6.000","6.090","5.990","6.050","163,400"
08/19/2021,"5.990","6.000","5.990","6.000","12,800"
08/18/2021,"6.070","6.070","6.000","6.000","139,700"
08/17/2021,"6.080","6.080","6.010","6.070","144,600"
08/16/2021,"6.000","6.010","5.970","6.010","21,400"
08/13/2021,"5.900","6.000","5.900","6.000","34,000"
08/12/2021,"6.090","6.150","6.000","6.000","140,400"
08/11/2021,"6.000","6.100","6.000","6.090","61,900"
08/10/2021,"6.180","6.180","5.910","6.000","273,500"
08/09/2021,"5.850","6.000","5.850","5.950","51,300"
08/06/2021,"6.000","6.000","5.900","5.950","172,900"
08/05/2021,"6.050","6.050","5.950","6.000","43,400"
08/04/2021,"5.950","6.100","5.950","6.050","28,700"
08/03/2021,"5.900","5.950","5.900","5.950","44,200"
08/02/2021,"5.950","5.950","5.850","5.900","88,700"
07/30/2021,"6.100","6.100","5.950","5.980","257,900"
07/29/2021,"5.960","6.100","5.960","5.970","227,300"
07/28/2021,"6.000","6.000","5.980","5.990","100,200"
07/27/2021,"6.000","6.000","5.980","5.990","73,100"
07/26/2021,"6.000","6.000","5.900","5.950","174,100"
07/23/2021,"6.300","6.300","6.000","6.090","154,900"
07/22/2021,"6.240","6.290","6.160","6.290","40,800"
07/21/2021,"6.180","6.300","6.150","6.240","286,100"
07/19/2021,"6.400","6.400","6.180","6.290","237,600"
07/16/2021,"6.620","6.630","6.450","6.500","409,900"
07/15/2021,"6.610","6.850","6.610","6.750","122,600"
07/14/2021,"6.560","6.610","6.480","6.610","443,200"
07/13/2021,"6.770","6.770","6.600","6.600","91,500"
07/12/2021,"6.800","6.850","6.650","6.770","85,600"
07/09/2021,"6.850","6.850","6.500","6.850","611,600"
07/08/2021,"7.000","7.080","6.900","6.900","163,100"
07/07/2021,"7.130","7.160","6.920","7.100","296,400"
07/06/2021,"6.870","7.150","6.870","7.120","1,352,900"
07/05/2021,"6.870","6.870","6.780","6.850","127,900"
07/02/2021,"6.900","6.900","6.800","6.870","53,200"
07/01/2021,"6.850","6.890","6.700","6.860","181,300"
06/30/2021,"6.860","6.900","6.800","6.850","275,500"
06/29/2021,"6.980","7.000","6.720","6.900","209,800"
06/28/2021,"6.980","6.980","6.950","6.970","99,500"
06/25/2021,"6.980","6.990","6.930","6.970","585,100"
06/24/2021,"6.940","6.990","6.820","6.900","356,000"
06/23/2021,"6.530","6.980","6.500","6.900","334,400"
06/22/2021,"6.510","6.570","6.370","6.530","364,700"
06/21/2021,"6.800","6.800","6.550","6.570","237,400"
06/18/2021,"6.780","6.780","6.650","6.740","208,300"
06/17/2021,"6.840","6.900","6.760","6.800","163,300"
06/16/2021,"7.080","7.090","6.790","6.880","336,100"
06/15/2021,"6.610","7.100","6.610","7.020","913,000"
06/14/2021,"6.520","6.600","6.520","6.600","106,300"
06/11/2021,"6.650","6.650","6.560","6.560","130,400"
06/10/2021,"6.620","6.700","6.600","6.650","245,000"
06/09/2021,"6.500","6.680","6.500","6.600","190,700"
06/08/2021,"6.590","6.590","6.450","6.500","73,000"
06/07/2021,"6.680","6.690","6.450","6.590","141,900"
06/04/2021,"6.750","6.750","6.680","6.680","95,800"
06/03/2021,"6.580","6.670","6.580","6.620","201,100"
06/02/2021,"6.400","6.590","6.400","6.570","327,700"
06/01/2021,"6.280","6.400","6.280","6.400","221,500"
05/31/2021,"6.300","6.350","6.250","6.350","95,700"
05/28/2021,"6.400","6.400","6.240","6.350","191,000"
05/27/2021,"6.100","6.320","6.100","6.300","301,200"
05/26/2021,"6.000","6.120","6.000","6.030","125,200"
05/25/2021,"5.850","5.990","5.840","5.990","148,700"
05/24/2021,"5.850","5.900","5.850","5.870","68,300"
05/21/2021,"5.810","5.930","5.810","5.850","115,800"
05/20/2021,"5.900","5.900","5.820","5.820","104,500"
05/19/2021,"5.930","5.930","5.800","5.870","76,900"
05/18/2021,"5.790","5.930","5.750","5.900","270,700"
05/17/2021,"5.830","5.830","5.780","5.790","95,000"
05/14/2021,"5.850","5.980","5.760","5.800","287,400"
05/12/2021,"5.860","5.970","5.830","5.850","165,600"
05/11/2021,"5.970","5.980","5.830","5.830","94,000"
05/10/2021,"5.830","5.970","5.810","5.870","60,800"
05/07/2021,"5.890","5.990","5.800","5.830","122,200"
05/06/2021,"5.960","5.960","5.910","5.920","30,200"
05/05/2021,"5.990","5.990","5.900","5.960","147,400"
05/04/2021,"5.960","6.000","5.900","5.950","92,200"
05/03/2021,"5.950","6.000","5.900","5.960","128,500"
04/30/2021,"5.920","5.920","5.880","5.920","132,500"
04/29/2021,"5.880","5.920","5.880","5.920","126,800"
04/28/2021,"6.000","6.000","5.880","5.880","108,300"
04/27/2021,"6.000","6.000","5.900","5.930","183,900"
04/26/2021,"5.910","5.980","5.900","5.950","259,600"
04/23/2021,"5.930","5.930","5.900","5.900","92,400"
04/22/2021,"5.990","6.000","5.900","5.930","302,100"
04/21/2021,"5.900","6.000","5.890","5.990","78,800"
04/20/2021,"5.920","6.030","5.890","5.920","23,000"
04/19/2021,"6.000","6.000","5.880","5.880","160,400"
04/16/2021,"6.000","6.040","5.920","6.030","75,400"
04/15/2021,"5.950","6.000","5.930","5.960","50,800"
04/14/2021,"5.980","5.980","5.910","5.960","85,300"
04/13/2021,"5.940","6.080","5.920","5.980","61,300"
04/12/2021,"6.000","6.140","5.920","5.920","447,000"
04/08/2021,"5.950","6.000","5.920","6.000","103,100"
04/07/2021,"5.900","5.950","5.850","5.950","181,200"
04/06/2021,"5.800","5.900","5.800","5.890","51,000"
04/05/2021,"5.730","5.900","5.730","5.780","44,600"
03/31/2021,"5.710","5.900","5.710","5.780","143,200"
03/30/2021,"5.850","5.850","5.710","5.710","432,400"
03/29/2021,"5.750","5.850","5.740","5.800","47,600"
03/26/2021,"5.900","5.900","5.850","5.850","129,000"
03/25/2021,"5.800","5.850","5.740","5.850","249,700"
03/24/2021,"5.800","5.830","5.710","5.800","114,800"
03/23/2021,"5.720","5.800","5.700","5.800","17,200"
03/22/2021,"5.700","5.800","5.670","5.800","211,100"
03/19/2021,"5.850","5.900","5.800","5.890","71,200"
03/18/2021,"5.790","6.140","5.750","5.970","117,200"
03/17/2021,"5.940","5.940","5.670","5.790","166,800"
03/16/2021,"5.600","5.670","5.520","5.600","119,100"
03/15/2021,"5.810","5.810","5.500","5.590","311,100"
03/12/2021,"5.900","5.970","5.500","5.810","209,400"
03/11/2021,"5.790","5.900","5.700","5.800","230,500"
03/10/2021,"5.990","6.040","5.600","5.790","713,100"
03/09/2021,"6.400","6.400","5.200","5.200","2,262,600"
03/08/2021,"6.530","6.530","6.300","6.400","306,000"
03/05/2021,"6.580","6.600","6.450","6.480","135,300"
03/04/2021,"6.500","6.510","6.450","6.460","56,600"
03/03/2021,"6.600","6.600","6.450","6.460","90,400"
03/02/2021,"6.490","6.650","6.450","6.450","157,500"
03/01/2021,"6.880","6.880","6.370","6.370","859,100"
02/26/2021,"6.450","6.900","6.400","6.880","474,200"
02/24/2021,"6.500","6.630","6.440","6.490","425,200"
02/23/2021,"6.600","6.600","6.500","6.500","233,700"
02/22/2021,"6.750","6.750","6.600","6.610","257,400"
02/19/2021,"6.670","6.670","6.590","6.600","474,500"
02/18/2021,"6.610","6.790","6.610","6.650","81,800"
02/17/2021,"6.650","6.700","6.600","6.610","196,800"
02/16/2021,"6.700","6.700","6.610","6.650","230,600"
02/15/2021,"6.760","6.760","6.650","6.700","130,900"
02/11/2021,"6.910","6.910","6.700","6.750","143,900"
02/10/2021,"6.700","6.940","6.700","6.910","233,300"
02/09/2021,"6.700","6.900","6.700","6.780","197,200"
02/08/2021,"6.620","6.700","6.600","6.700","230,800"
02/05/2021,"6.620","6.650","6.610","6.630","141,400"
02/04/2021,"6.900","6.900","6.600","6.620","303,400"
02/03/2021,"6.650","6.820","6.540","6.820","605,600"
02/02/2021,"6.600","6.650","6.500","6.500","611,000"
02/01/2021,"6.250","6.500","6.250","6.490","324,200"
01/29/2021,"5.930","6.400","5.930","6.250","362,500"
01/28/2021,"6.200","6.200","5.900","6.060","671,700"
01/27/2021,"6.300","6.300","6.200","6.250","250,300"
01/26/2021,"6.470","6.500","6.260","6.300","513,300"
01/25/2021,"6.400","6.500","6.400","6.470","92,100"
01/22/2021,"6.600","6.610","6.390","6.500","522,300"
01/21/2021,"6.690","6.750","6.500","6.610","412,600"
01/20/2021,"6.680","6.700","6.500","6.690","752,600"
01/19/2021,"6.790","6.790","6.620","6.680","460,500"
01/18/2021,"6.850","7.020","6.780","6.790","472,100"
01/15/2021,"7.020","7.050","6.620","6.800","887,200"
01/14/2021,"7.150","7.150","7.000","7.020","487,700"
01/13/2021,"7.200","7.210","7.100","7.140","186,200"
01/12/2021,"7.160","7.210","7.100","7.200","363,600"
01/11/2021,"7.040","7.450","7.040","7.280","422,700"
01/08/2021,"7.200","7.350","6.970","6.990","845,500"
01/07/2021,"7.350","7.440","7.120","7.200","278,600"
01/06/2021,"7.300","7.450","7.150","7.300","1,065,300"
01/05/2021,"6.940","7.280","6.940","7.280","731,200"
01/04/2021,"6.860","7.000","6.850","6.910","529,600"
