Date,Open,High,Low,Close,Volume
12/28/2023,"0.231","0.231","0.231","0.231","30,000"
12/21/2023,"0.231","0.231","0.231","0.231","40,000"
12/20/2023,"0.237","0.237","0.231","0.231","30,000"
12/19/2023,"0.237","0.237","0.230","0.237","100,000"
12/18/2023,"0.237","0.237","0.237","0.237","60,000"
12/15/2023,"0.239","0.239","0.239","0.239","40,000"
12/14/2023,"0.202","0.202","0.200","0.200","170,000"
12/13/2023,"0.203","0.203","0.203","0.203","60,000"
12/05/2023,"0.230","0.230","0.230","0.230","10,000"
12/04/2023,"0.230","0.230","0.230","0.230","30,000"
11/28/2023,"0.239","0.239","0.239","0.239","10,000"
11/14/2023,"0.202","0.202","0.202","0.202","10,000"
11/10/2023,"0.201","0.201","0.201","0.201","10,000"
11/09/2023,"0.220","0.220","0.220","0.220","20,000"
11/08/2023,"0.220","0.220","0.220","0.220","30,000"
11/03/2023,"0.215","0.215","0.212","0.212","30,000"
10/27/2023,"0.210","0.215","0.210","0.215","80,000"
10/26/2023,"0.220","0.220","0.220","0.220","20,000"
10/24/2023,"0.221","0.221","0.221","0.221","30,000"
10/20/2023,"0.221","0.249","0.221","0.249","30,000"
10/09/2023,"0.220","0.220","0.220","0.220","180,000"
10/06/2023,"0.221","0.221","0.221","0.221","10,000"
10/03/2023,"0.255","0.255","0.255","0.255","30,000"
10/02/2023,"0.255","0.255","0.250","0.250","180,000"
09/29/2023,"0.250","0.250","0.250","0.250","50,000"
09/28/2023,"0.250","0.250","0.250","0.250","10,000"
09/20/2023,"0.255","0.255","0.225","0.225","190,000"
09/19/2023,"0.260","0.260","0.260","0.260","10,000"
09/18/2023,"0.260","0.260","0.226","0.226","240,000"
09/12/2023,"0.260","0.260","0.260","0.260","10,000"
09/11/2023,"0.232","0.232","0.230","0.230","110,000"
09/08/2023,"0.249","0.249","0.249","0.249","20,000"
09/06/2023,"0.241","0.241","0.241","0.241","20,000"
08/24/2023,"0.255","0.255","0.255","0.255","30,000"
08/22/2023,"0.255","0.255","0.255","0.255","20,000"
08/17/2023,"0.230","0.260","0.230","0.260","20,000"
08/15/2023,"0.233","0.233","0.233","0.233","10,000"
08/14/2023,"0.231","0.260","0.231","0.260","60,000"
08/11/2023,"0.260","0.260","0.260","0.260","10,000"
08/10/2023,"0.265","0.265","0.265","0.265","10,000"
08/09/2023,"0.260","0.260","0.260","0.260","60,000"
08/08/2023,"0.260","0.260","0.260","0.260","30,000"
08/07/2023,"0.231","0.260","0.231","0.260","60,000"
08/02/2023,"0.255","0.255","0.255","0.255","20,000"
07/31/2023,"0.260","0.260","0.260","0.260","10,000"
07/28/2023,"0.260","0.260","0.260","0.260","90,000"
07/26/2023,"0.265","0.265","0.265","0.265","20,000"
07/17/2023,"0.295","0.295","0.295","0.295","10,000"
07/13/2023,"0.290","0.290","0.290","0.290","10,000"
07/12/2023,"0.260","0.260","0.260","0.260","20,000"
07/11/2023,"0.265","0.295","0.265","0.295","110,000"
07/05/2023,"0.280","0.280","0.260","0.260","330,000"
07/03/2023,"0.295","0.295","0.295","0.295","10,000"
06/30/2023,"0.280","0.280","0.280","0.280","90,000"
06/22/2023,"0.300","0.300","0.300","0.300","80,000"
06/20/2023,"0.285","0.285","0.285","0.285","30,000"
06/19/2023,"0.300","0.300","0.300","0.300","10,000"
06/14/2023,"0.290","0.290","0.290","0.290","10,000"
06/07/2023,"0.290","0.290","0.290","0.290","60,000"
06/06/2023,"0.310","0.310","0.310","0.310","10,000"
06/05/2023,"0.290","0.290","0.290","0.290","10,000"
06/02/2023,"0.280","0.320","0.280","0.315","70,000"
06/01/2023,"0.290","0.305","0.280","0.305","490,000"
05/30/2023,"0.295","0.295","0.290","0.290","20,000"
05/29/2023,"0.295","0.295","0.295","0.295","210,000"
05/25/2023,"0.300","0.315","0.300","0.315","20,000"
05/24/2023,"0.305","0.305","0.305","0.305","30,000"
05/23/2023,"0.335","0.335","0.300","0.315","70,000"
05/22/2023,"0.305","0.305","0.305","0.305","10,000"
05/12/2023,"0.315","0.315","0.315","0.315","10,000"
05/08/2023,"0.315","0.335","0.315","0.335","30,000"
05/05/2023,"0.320","0.340","0.320","0.320","320,000"
05/04/2023,"0.315","0.315","0.315","0.315","10,000"
05/03/2023,"0.330","0.345","0.315","0.345","380,000"
05/02/2023,"0.305","0.340","0.305","0.335","210,000"
04/28/2023,"0.305","0.305","0.305","0.305","170,000"
04/27/2023,"0.345","0.345","0.345","0.345","240,000"
04/26/2023,"0.350","0.350","0.345","0.345","20,000"
04/25/2023,"0.320","0.320","0.320","0.320","10,000"
04/20/2023,"0.300","0.350","0.300","0.350","20,000"
04/19/2023,"0.315","0.340","0.315","0.340","260,000"
04/14/2023,"0.300","0.320","0.300","0.320","30,000"
04/13/2023,"0.295","0.295","0.290","0.290","60,000"
04/11/2023,"0.310","0.310","0.310","0.310","30,000"
04/05/2023,"0.310","0.310","0.310","0.310","10,000"
04/03/2023,"0.295","0.315","0.295","0.315","80,000"
03/31/2023,"0.325","0.325","0.325","0.325","10,000"
03/30/2023,"0.300","0.310","0.300","0.310","60,000"
03/29/2023,"0.320","0.320","0.320","0.320","250,000"
03/28/2023,"0.295","0.320","0.295","0.320","30,000"
03/27/2023,"0.335","0.335","0.290","0.290","120,000"
03/17/2023,"0.335","0.340","0.335","0.340","50,000"
03/14/2023,"0.305","0.345","0.305","0.345","90,000"
03/13/2023,"0.305","0.305","0.305","0.305","20,000"
03/10/2023,"0.315","0.315","0.305","0.305","250,000"
03/08/2023,"0.310","0.345","0.310","0.345","20,000"
03/07/2023,"0.295","0.295","0.295","0.295","43"
03/06/2023,"0.305","0.345","0.305","0.330","70,000"
03/03/2023,"0.305","0.305","0.305","0.305","10,000"
03/01/2023,"0.300","0.305","0.300","0.305","30,000"
02/22/2023,"0.350","0.350","0.310","0.350","70,000"
02/21/2023,"0.305","0.305","0.305","0.305","180,000"
02/15/2023,"0.350","0.350","0.350","0.350","20,000"
02/10/2023,"0.350","0.350","0.330","0.350","50,000"
02/09/2023,"0.360","0.360","0.350","0.350","40,000"
02/08/2023,"0.330","0.380","0.300","0.360","830,000"
02/07/2023,"0.315","0.330","0.315","0.320","80,000"
02/06/2023,"0.330","0.330","0.325","0.330","380,000"
02/03/2023,"0.285","0.310","0.285","0.310","20,000"
02/02/2023,"0.300","0.330","0.275","0.325","620,000"
02/01/2023,"0.325","0.325","0.325","0.325","10,000"
01/31/2023,"0.330","0.330","0.330","0.330","50,000"
01/30/2023,"0.300","0.345","0.300","0.335","120,000"
01/27/2023,"0.300","0.330","0.295","0.315","430,000"
01/26/2023,"0.330","0.340","0.330","0.330","150,000"
01/25/2023,"0.310","0.330","0.300","0.330","590,000"
01/24/2023,"0.285","0.335","0.285","0.320","40,000"
01/23/2023,"0.290","0.300","0.290","0.295","320,000"
01/20/2023,"0.285","0.295","0.285","0.290","60,000"
01/19/2023,"0.280","0.285","0.280","0.285","100,000"
01/17/2023,"0.280","0.280","0.280","0.280","20,000"
01/16/2023,"0.285","0.285","0.285","0.285","110,000"
01/13/2023,"0.290","0.290","0.290","0.290","30,000"
01/11/2023,"0.280","0.280","0.280","0.280","150,000"
01/09/2023,"0.290","0.290","0.290","0.290","200,000"
01/06/2023,"0.290","0.290","0.290","0.290","10,000"
01/05/2023,"0.275","0.310","0.275","0.285","140,000"
01/03/2023,"0.290","0.290","0.280","0.290","100,000"
