Date,Open,High,Low,Close,Volume
12/29/2023,"397.60","399.00","393.20","399.00","222,500"
12/28/2023,"393.00","398.00","390.60","398.00","290,820"
12/27/2023,"388.00","393.00","384.20","393.00","122,920"
12/22/2023,"385.00","390.00","384.20","388.00","103,260"
12/21/2023,"385.00","388.00","382.00","387.00","133,410"
12/20/2023,"383.00","389.00","380.40","389.00","243,990"
12/19/2023,"375.00","383.00","375.00","383.00","183,320"
12/18/2023,"383.20","383.20","375.00","375.00","190,330"
12/15/2023,"380.00","385.00","378.00","385.00","690,210"
12/14/2023,"374.00","381.80","372.60","380.00","518,110"
12/13/2023,"373.00","374.80","371.80","371.80","76,740"
12/12/2023,"369.00","375.80","369.00","375.80","168,570"
12/11/2023,"372.60","372.60","366.60","372.60","127,020"
12/07/2023,"374.00","374.00","369.80","372.60","141,100"
12/06/2023,"367.00","373.00","366.40","373.00","144,460"
12/05/2023,"370.00","370.00","365.20","367.00","158,240"
12/04/2023,"360.40","370.00","360.40","370.00","207,230"
12/01/2023,"361.00","369.00","361.00","367.00","177,010"
11/30/2023,"374.00","375.00","360.00","360.00","748,910"
11/29/2023,"368.00","376.00","368.00","374.00","257,530"
11/28/2023,"369.20","371.00","368.00","368.00","122,500"
11/24/2023,"371.60","371.60","368.60","370.60","103,800"
11/23/2023,"373.00","373.00","371.00","372.00","47,490"
11/22/2023,"373.20","375.00","372.00","373.00","150,390"
11/21/2023,"377.20","378.00","373.00","373.00","166,580"
11/20/2023,"378.00","378.00","372.20","377.20","119,510"
11/17/2023,"371.80","378.00","366.20","378.00","231,940"
11/16/2023,"364.00","371.00","362.40","371.00","159,700"
11/15/2023,"363.00","364.60","360.00","360.00","326,990"
11/14/2023,"367.00","367.00","362.00","363.00","107,870"
11/13/2023,"364.00","369.00","362.80","362.80","33,100"
11/10/2023,"369.00","370.00","364.00","365.00","114,450"
11/09/2023,"372.00","373.00","354.00","369.00","165,500"
11/08/2023,"364.40","372.00","362.00","372.00","183,180"
11/07/2023,"355.00","364.60","354.80","364.40","386,710"
11/06/2023,"355.00","359.00","348.00","352.00","318,690"
11/03/2023,"355.00","368.00","355.00","355.00","118,510"
10/31/2023,"358.00","358.00","351.20","355.00","332,990"
10/27/2023,"359.80","364.60","352.20","352.20","335,070"
10/26/2023,"370.00","370.80","353.00","360.00","430,680"
10/25/2023,"370.00","372.00","368.00","370.00","103,240"
10/24/2023,"373.60","373.60","370.00","370.00","140,380"
10/23/2023,"379.00","379.00","374.00","374.00","177,900"
10/20/2023,"381.00","381.00","375.00","379.00","241,030"
10/19/2023,"380.00","384.40","375.60","375.60","151,200"
10/18/2023,"379.80","388.60","375.20","388.60","258,750"
10/17/2023,"375.00","380.00","375.00","380.00","257,580"
10/16/2023,"376.20","379.00","373.00","376.40","119,070"
10/13/2023,"374.00","377.00","372.00","376.20","153,900"
10/12/2023,"374.60","374.60","368.40","374.00","153,820"
10/11/2023,"365.00","375.00","365.00","375.00","218,040"
10/10/2023,"365.00","369.80","365.00","365.00","100,260"
