Date,Open,High,Low,Close,Volume
12/29/2023,"0.090","0.101","0.090","0.101","80,000"
12/28/2023,"0.090","0.091","0.090","0.090","400,000"
12/21/2023,"0.095","0.095","0.095","0.095","160,000"
12/20/2023,"0.095","0.095","0.090","0.095","1,480,000"
12/18/2023,"0.097","0.097","0.097","0.097","90,000"
12/15/2023,"0.095","0.095","0.094","0.094","260,000"
12/14/2023,"0.094","0.100","0.094","0.100","30,000"
12/13/2023,"0.095","0.099","0.095","0.099","770,000"
12/12/2023,"0.091","0.091","0.091","0.091","10,000"
12/07/2023,"0.098","0.098","0.098","0.098","130,000"
12/06/2023,"0.098","0.098","0.098","0.098","90,000"
12/05/2023,"0.090","0.096","0.090","0.096","210,000"
12/04/2023,"0.095","0.095","0.095","0.095","50,000"
11/23/2023,"0.095","0.095","0.095","0.095","80,000"
11/20/2023,"0.100","0.100","0.090","0.095","1,200,000"
11/13/2023,"0.100","0.100","0.100","0.100","500,000"
11/06/2023,"0.100","0.100","0.100","0.100","160,000"
10/31/2023,"0.105","0.105","0.105","0.105","150,000"
10/26/2023,"0.100","0.100","0.100","0.100","10,000"
10/25/2023,"0.100","0.100","0.100","0.100","260,000"
10/24/2023,"0.102","0.102","0.100","0.100","510,000"
10/23/2023,"0.100","0.101","0.100","0.100","1,020,000"
10/20/2023,"0.101","0.101","0.100","0.100","2,990,000"
10/19/2023,"0.101","0.101","0.101","0.101","10,000"
10/17/2023,"0.101","0.114","0.100","0.114","210,000"
10/16/2023,"0.104","0.104","0.104","0.104","10,000"
10/11/2023,"0.118","0.118","0.118","0.118","460,000"
10/09/2023,"0.100","0.114","0.100","0.114","2,400,000"
10/06/2023,"0.100","0.114","0.100","0.113","1,700,000"
10/04/2023,"0.100","0.100","0.100","0.100","250,000"
10/02/2023,"0.100","0.100","0.100","0.100","50,000"
09/28/2023,"0.100","0.100","0.100","0.100","370,000"
09/27/2023,"0.100","0.100","0.100","0.100","220,000"
09/26/2023,"0.110","0.110","0.100","0.100","320,000"
09/21/2023,"0.100","0.100","0.100","0.100","50,000"
09/20/2023,"0.100","0.100","0.100","0.100","310,000"
