Date,Open,High,Low,Close,Volume
12/27/2024,"0.820","0.840","0.810","0.840","11,604,000"
12/26/2024,"0.820","0.840","0.800","0.830","1,175,000"
12/23/2024,"0.820","0.840","0.810","0.820","2,759,000"
12/20/2024,"0.840","0.840","0.810","0.840","1,707,000"
12/19/2024,"0.840","0.840","0.800","0.810","5,895,000"
12/18/2024,"0.870","0.870","0.850","0.860","1,911,000"
12/17/2024,"0.860","0.870","0.840","0.870","31,106,000"
12/16/2024,"0.850","0.890","0.850","0.860","39,218,000"
12/13/2024,"0.850","0.870","0.840","0.860","11,976,000"
12/12/2024,"0.860","0.870","0.850","0.870","1,821,000"
12/11/2024,"0.900","0.900","0.870","0.870","5,266,000"
12/10/2024,"0.870","0.900","0.860","0.900","14,955,000"
12/09/2024,"0.900","0.900","0.870","0.890","3,029,000"
12/06/2024,"0.940","0.940","0.880","0.890","18,779,000"
12/05/2024,"0.930","0.950","0.920","0.930","5,646,000"
12/04/2024,"0.930","0.950","0.930","0.940","14,420,000"
12/03/2024,"0.920","0.940","0.900","0.930","8,368,000"
12/02/2024,"0.910","0.930","0.880","0.920","22,012,000"
11/29/2024,"0.900","0.920","0.890","0.910","16,766,000"
11/28/2024,"0.880","0.920","0.870","0.900","8,280,000"
11/27/2024,"0.930","0.940","0.890","0.890","21,026,000"
11/26/2024,"0.900","0.960","0.900","0.930","20,403,000"
11/25/2024,"0.910","0.930","0.870","0.900","21,606,000"
11/22/2024,"0.870","0.930","0.860","0.910","29,395,000"
11/21/2024,"0.830","0.880","0.810","0.880","37,348,000"
11/20/2024,"0.810","0.850","0.810","0.830","8,903,000"
11/19/2024,"0.780","0.830","0.750","0.810","20,064,000"
11/18/2024,"0.800","0.800","0.770","0.780","6,165,000"
11/15/2024,"0.760","0.810","0.750","0.780","15,196,000"
11/14/2024,"0.850","0.870","0.730","0.750","45,000,000"
11/13/2024,"1.020","1.020","0.850","0.850","41,872,000"
11/12/2024,"1.010","1.020","0.990","1.000","10,071,000"
11/11/2024,"1.010","1.030","0.990","1.000","14,503,000"
11/08/2024,"1.030","1.050","1.000","1.020","20,661,000"
11/07/2024,"1.020","1.020","0.970","1.010","31,387,000"
11/06/2024,"1.080","1.100","1.020","1.020","45,783,000"
11/05/2024,"1.050","1.100","1.030","1.080","42,276,000"
11/04/2024,"1.000","1.050","1.000","1.030","38,136,000"
10/31/2024,"1.000","1.010","0.980","1.000","1,989,000"
10/30/2024,"0.980","1.000","0.970","1.000","7,612,000"
10/29/2024,"1.030","1.070","0.980","0.980","32,098,000"
10/28/2024,"0.940","1.030","0.930","1.020","44,367,000"
10/25/2024,"0.930","0.950","0.930","0.940","9,625,000"
10/24/2024,"0.960","0.960","0.910","0.930","10,102,000"
10/23/2024,"0.960","0.970","0.950","0.970","8,156,000"
10/22/2024,"0.980","0.990","0.940","0.960","22,815,000"
10/21/2024,"1.020","1.020","0.950","0.960","23,839,000"
10/18/2024,"1.040","1.070","1.010","1.010","25,052,000"
10/17/2024,"1.010","1.070","1.000","1.050","36,132,000"
10/16/2024,"0.910","1.020","0.890","1.010","56,608,000"
10/15/2024,"0.900","0.940","0.900","0.910","12,894,000"
10/14/2024,"0.940","0.960","0.890","0.910","21,787,000"
10/11/2024,"0.950","0.960","0.900","0.940","23,067,000"
10/10/2024,"1.010","1.030","0.930","0.950","28,957,000"
10/09/2024,"1.000","1.040","0.950","1.020","37,342,000"
10/08/2024,"0.940","1.020","0.930","1.010","53,709,000"
10/07/2024,"0.850","0.930","0.850","0.930","38,666,000"
10/04/2024,"0.850","0.870","0.830","0.840","3,037,000"
10/03/2024,"0.880","0.880","0.820","0.840","15,734,000"
10/02/2024,"0.870","0.910","0.850","0.850","32,357,000"
10/01/2024,"0.820","0.880","0.790","0.860","35,455,000"
09/30/2024,"0.780","0.840","0.760","0.820","24,834,000"
09/27/2024,"0.700","0.790","0.700","0.780","26,564,000"
09/26/2024,"0.690","0.710","0.690","0.690","3,287,000"
09/25/2024,"0.700","0.700","0.680","0.690","2,367,000"
09/24/2024,"0.730","0.740","0.690","0.690","6,422,000"
09/23/2024,"0.670","0.740","0.660","0.730","11,502,000"
09/20/2024,"0.700","0.720","0.670","0.670","9,073,000"
09/19/2024,"0.750","0.760","0.710","0.710","9,330,000"
09/18/2024,"0.760","0.780","0.750","0.750","7,965,000"
09/17/2024,"0.770","0.770","0.740","0.760","4,704,000"
09/16/2024,"0.770","0.790","0.730","0.770","10,446,000"
09/13/2024,"0.710","0.780","0.710","0.760","20,592,000"
09/12/2024,"0.690","0.730","0.680","0.700","7,284,000"
09/11/2024,"0.670","0.720","0.660","0.700","8,504,000"
09/10/2024,"0.650","0.690","0.650","0.680","2,224,000"
09/09/2024,"0.660","0.680","0.660","0.660","1,178,000"
09/06/2024,"0.700","0.720","0.660","0.660","6,098,000"
09/05/2024,"0.630","0.710","0.600","0.700","14,337,000"
09/04/2024,"0.640","0.650","0.630","0.630","6,233,000"
09/03/2024,"0.710","0.710","0.640","0.660","9,719,000"
09/02/2024,"0.700","0.720","0.680","0.710","1,589,000"
08/30/2024,"0.760","0.770","0.690","0.700","8,054,000"
08/29/2024,"0.760","0.770","0.750","0.770","1,841,000"
08/28/2024,"0.830","0.840","0.730","0.760","14,625,000"
08/27/2024,"0.820","0.850","0.790","0.820","8,868,000"
08/22/2024,"0.850","0.870","0.820","0.820","4,535,000"
08/21/2024,"0.850","0.900","0.840","0.840","27,561,000"
08/20/2024,"0.810","0.840","0.790","0.840","8,579,000"
08/19/2024,"0.820","0.830","0.770","0.800","5,682,000"
08/16/2024,"0.790","0.830","0.790","0.820","4,036,000"
08/15/2024,"0.880","0.890","0.800","0.800","15,349,000"
08/14/2024,"0.790","0.870","0.750","0.860","31,481,000"
08/13/2024,"0.780","0.820","0.720","0.790","17,891,000"
08/12/2024,"0.870","0.890","0.790","0.790","21,483,000"
08/09/2024,"0.890","0.920","0.880","0.880","12,658,000"
08/08/2024,"0.890","0.920","0.810","0.890","26,493,000"
08/07/2024,"0.860","0.920","0.850","0.890","21,433,000"
08/06/2024,"0.790","0.870","0.790","0.860","28,753,000"
08/05/2024,"0.750","0.810","0.710","0.790","31,942,000"
08/02/2024,"0.680","0.780","0.650","0.730","43,471,000"
08/01/2024,"0.590","0.670","0.560","0.670","24,932,000"
07/31/2024,"0.630","0.660","0.570","0.570","26,924,000"
07/30/2024,"0.600","0.670","0.600","0.620","29,984,000"
07/29/2024,"0.520","0.600","0.510","0.580","26,645,000"
07/26/2024,"0.465","0.510","0.465","0.500","13,120,000"
07/25/2024,"0.460","0.465","0.455","0.460","870,000"
07/23/2024,"0.455","0.470","0.450","0.465","790,000"
07/22/2024,"0.485","0.495","0.455","0.455","4,090,000"
07/19/2024,"0.445","0.490","0.445","0.485","6,230,000"
07/18/2024,"0.450","0.470","0.430","0.440","2,020,000"
07/17/2024,"0.495","0.500","0.465","0.465","2,481,000"
07/16/2024,"0.500","0.510","0.490","0.500","1,623,000"
07/15/2024,"0.530","0.560","0.485","0.500","23,327,000"
07/12/2024,"0.440","0.500","0.440","0.500","6,580,000"
07/11/2024,"0.450","0.455","0.425","0.435","9,550,000"
07/10/2024,"0.490","0.495","0.460","0.470","3,560,000"
