Date,Open,High,Low,Close,Volume
04/30/2025,"13.70","13.76","13.64","13.70","151,300"
04/29/2025,"13.70","13.78","13.66","13.70","223,100"
04/28/2025,"13.70","13.80","13.66","13.70","179,100"
04/25/2025,"13.80","13.80","13.68","13.70","194,400"
04/24/2025,"13.70","13.78","13.70","13.72","134,100"
04/23/2025,"13.70","13.78","13.58","13.70","123,100"
04/22/2025,"13.72","13.76","13.60","13.70","338,900"
04/21/2025,"13.70","13.80","13.50","13.70","253,400"
04/16/2025,"13.70","13.78","13.50","13.50","1,293,900"
04/15/2025,"13.52","13.70","13.52","13.70","180,100"
04/14/2025,"13.78","13.78","13.48","13.50","653,500"
04/11/2025,"13.70","13.80","13.70","13.78","95,900"
04/10/2025,"13.68","13.78","13.56","13.70","106,900"
04/08/2025,"13.58","13.68","13.48","13.68","498,400"
04/07/2025,"13.70","13.72","13.50","13.66","402,900"
04/04/2025,"13.72","13.72","13.66","13.72","230,200"
04/03/2025,"13.78","13.94","13.70","13.74","178,900"
04/02/2025,"13.84","13.94","13.70","13.72","124,800"
03/31/2025,"13.84","13.98","13.70","13.86","368,700"
03/28/2025,"13.76","13.98","13.70","13.84","801,300"
03/27/2025,"13.88","13.88","13.70","13.70","235,200"
03/26/2025,"13.96","13.96","13.78","13.88","88,500"
03/25/2025,"13.90","13.96","13.80","13.96","666,100"
03/24/2025,"13.70","13.90","13.70","13.90","642,100"
03/21/2025,"13.70","13.96","13.50","13.96","1,034,700"
03/20/2025,"13.66","13.88","13.66","13.70","136,600"
03/19/2025,"13.90","13.98","13.64","13.70","882,000"
03/18/2025,"13.88","13.98","13.88","13.90","332,300"
03/17/2025,"13.72","13.92","13.70","13.88","963,000"
03/14/2025,"13.66","13.72","13.62","13.72","221,000"
03/13/2025,"13.62","13.66","13.56","13.66","310,800"
03/12/2025,"13.70","13.70","13.60","13.62","428,800"
03/11/2025,"13.80","13.84","13.70","13.70","225,000"
03/10/2025,"13.68","13.86","13.60","13.80","300,800"
03/07/2025,"13.78","13.78","13.64","13.68","186,000"
03/06/2025,"13.50","13.78","13.48","13.74","208,700"
03/05/2025,"13.50","13.60","13.48","13.48","122,300"
03/04/2025,"13.50","13.50","13.46","13.48","163,800"
03/03/2025,"13.50","13.50","13.48","13.50","267,400"
02/28/2025,"13.48","13.50","13.46","13.48","156,200"
02/27/2025,"13.50","13.50","13.46","13.48","207,100"
02/26/2025,"13.50","13.50","13.46","13.50","284,500"
02/25/2025,"13.40","13.50","13.40","13.50","216,100"
02/24/2025,"13.48","13.50","13.40","13.40","968,300"
02/21/2025,"13.50","13.50","13.44","13.50","569,600"
02/20/2025,"13.48","13.50","13.46","13.48","290,200"
02/19/2025,"13.46","13.52","13.44","13.46","419,200"
02/18/2025,"13.58","13.60","13.50","13.54","193,700"
02/17/2025,"13.60","13.60","13.52","13.56","98,100"
02/14/2025,"13.52","13.56","13.46","13.56","2,137,800"
02/13/2025,"13.54","13.60","13.46","13.52","79,200"
02/12/2025,"13.60","13.64","13.46","13.54","113,100"
02/11/2025,"13.62","13.66","13.50","13.60","413,900"
02/10/2025,"13.66","13.80","13.60","13.62","121,800"
02/07/2025,"13.62","13.74","13.52","13.64","129,300"
02/06/2025,"13.60","13.62","13.50","13.60","365,700"
02/05/2025,"13.48","13.60","13.46","13.58","186,000"
02/04/2025,"13.42","13.50","13.40","13.48","139,700"
02/03/2025,"13.50","13.50","13.40","13.42","228,300"
01/31/2025,"13.50","13.58","13.46","13.50","244,700"
01/30/2025,"13.60","13.60","13.48","13.48","303,600"
01/28/2025,"13.48","13.60","13.46","13.60","225,500"
01/27/2025,"13.50","13.54","13.48","13.50","194,700"
01/24/2025,"13.50","13.56","13.46","13.50","91,300"
01/23/2025,"13.46","13.50","13.42","13.46","119,300"
01/22/2025,"13.42","13.50","13.42","13.44","202,500"
01/21/2025,"13.50","13.50","13.40","13.46","222,500"
01/20/2025,"13.64","13.64","13.48","13.50","198,900"
01/17/2025,"13.64","13.64","13.38","13.64","165,800"
01/16/2025,"13.50","13.66","13.50","13.62","202,800"
01/15/2025,"13.40","13.52","13.40","13.50","241,200"
01/14/2025,"13.42","13.46","13.40","13.40","150,100"
01/13/2025,"13.46","13.46","13.32","13.40","207,000"
01/10/2025,"13.44","13.46","13.40","13.42","195,200"
01/09/2025,"13.48","13.50","13.40","13.44","76,700"
01/08/2025,"13.46","13.48","13.36","13.48","403,400"
01/07/2025,"13.50","13.50","13.32","13.36","377,700"
01/06/2025,"13.50","13.52","13.42","13.42","171,200"
01/03/2025,"13.50","13.50","13.32","13.48","175,500"
01/02/2025,"13.36","13.50","13.00","13.50","590,800"
