Date,Open,High,Low,Close,Volume
12/31/2021,"4.29","4.29","3.90","4.28","5,000"
12/29/2021,"4.10","4.10","3.80","3.80","10,000"
12/28/2021,"4.30","4.31","4.30","4.31","7,000"
12/23/2021,"4.30","4.30","4.30","4.30","3,000"
12/22/2021,"4.25","4.29","4.25","4.29","2,000"
12/21/2021,"4.31","4.32","4.15","4.15","16,000"
12/17/2021,"4.20","4.31","4.01","4.31","83,000"
12/15/2021,"4.30","4.31","4.29","4.30","5,000"
12/14/2021,"4.29","4.30","4.28","4.30","14,000"
12/09/2021,"4.10","4.30","4.10","4.30","5,000"
12/07/2021,"4.18","4.29","4.15","4.29","21,000"
12/06/2021,"4.10","4.30","3.80","3.80","12,000"
12/03/2021,"3.90","3.90","3.90","3.90","3,000"
12/01/2021,"4.10","4.10","3.90","4.09","3,000"
11/29/2021,"4.00","4.39","4.00","4.00","16,000"
11/26/2021,"4.10","4.13","3.30","4.13","123,000"
11/25/2021,"4.20","4.20","4.20","4.20","1,000"
11/22/2021,"4.20","4.20","4.20","4.20","1,000"
11/18/2021,"4.35","4.36","4.35","4.36","3,000"
11/17/2021,"4.20","4.41","4.20","4.41","3,000"
11/15/2021,"4.46","4.46","4.46","4.46","2,000"
11/12/2021,"4.42","4.42","4.30","4.30","17,000"
11/10/2021,"4.20","4.40","4.10","4.34","10,000"
11/08/2021,"4.05","4.25","4.00","4.25","12,000"
11/05/2021,"3.90","4.45","3.90","4.20","24,000"
11/04/2021,"4.00","4.13","4.00","4.10","22,000"
11/03/2021,"4.19","4.19","4.10","4.10","22,000"
11/02/2021,"4.00","4.39","4.00","4.15","20,000"
10/29/2021,"4.30","4.41","3.91","4.00","215,000"
10/28/2021,"4.50","4.50","4.50","4.50","2,000"
10/21/2021,"4.50","4.50","4.50","4.50","44,000"
10/20/2021,"4.01","4.50","4.01","4.50","28,000"
10/14/2021,"5.35","5.35","4.90","4.90","14,600"
10/11/2021,"5.42","5.42","5.42","5.42","1,000"
10/07/2021,"5.42","5.43","5.42","5.42","14,000"
10/06/2021,"5.42","5.42","5.42","5.42","1,900"
10/05/2021,"5.00","5.44","5.00","5.44","5,600"
10/01/2021,"5.30","5.30","5.30","5.30","2,000"
09/29/2021,"5.30","5.30","5.30","5.30","3,800"
09/27/2021,"5.44","5.44","5.31","5.44","8,100"
09/23/2021,"5.30","5.44","5.30","5.44","50,600"
09/22/2021,"5.44","5.44","5.44","5.44","1,500"
09/21/2021,"5.45","5.45","5.45","5.45","2,100"
09/20/2021,"5.45","5.45","5.45","5.45","100"
09/17/2021,"5.39","5.45","5.39","5.45","3,100"
09/16/2021,"5.45","5.45","5.45","5.45","3,200"
09/15/2021,"5.45","5.45","5.45","5.45","1,500"
