Date,Open,High,Low,Close,Volume
12/27/2024,"0.390","0.390","0.385","0.385","50,000"
12/09/2024,"0.435","0.435","0.435","0.435","140,000"
12/06/2024,"0.435","0.435","0.435","0.435","20,000"
12/04/2024,"0.435","0.435","0.435","0.435","30,000"
12/03/2024,"0.430","0.440","0.430","0.440","110,000"
12/02/2024,"0.365","0.440","0.360","0.430","330,000"
11/27/2024,"0.510","0.510","0.485","0.485","5,000"
11/26/2024,"0.340","0.510","0.340","0.510","370,000"
11/25/2024,"0.480","0.480","0.480","0.480","30,000"
11/19/2024,"0.480","0.480","0.480","0.480","10,000"
11/18/2024,"0.490","0.490","0.480","0.480","70,000"
11/15/2024,"0.480","0.480","0.480","0.480","30,000"
11/13/2024,"0.560","0.560","0.550","0.550","4,000"
11/12/2024,"0.560","0.560","0.560","0.560","20,000"
11/11/2024,"0.530","0.530","0.470","0.480","258,000"
11/08/2024,"0.530","0.530","0.530","0.530","80,000"
11/07/2024,"0.510","0.530","0.500","0.530","112,000"
11/05/2024,"0.490","0.560","0.490","0.560","2,000"
11/04/2024,"0.560","0.560","0.560","0.560","20,000"
10/23/2024,"0.560","0.560","0.560","0.560","248,000"
10/21/2024,"0.570","0.570","0.570","0.570","4,000"
10/18/2024,"0.570","0.570","0.570","0.570","1,000"
10/17/2024,"0.640","0.640","0.560","0.570","74,000"
10/16/2024,"0.530","0.640","0.530","0.640","27,000"
10/15/2024,"0.550","0.560","0.550","0.560","2,000"
10/14/2024,"0.580","0.580","0.540","0.560","131,000"
10/11/2024,"0.590","0.590","0.590","0.590","9,000"
10/08/2024,"0.660","0.660","0.600","0.600","38,000"
10/07/2024,"0.600","0.600","0.600","0.600","11,000"
10/04/2024,"0.680","0.680","0.600","0.600","20,000"
10/03/2024,"0.590","0.600","0.590","0.600","37,000"
10/01/2024,"0.580","0.590","0.580","0.580","37,000"
09/30/2024,"0.620","0.620","0.620","0.620","6,000"
09/23/2024,"0.690","0.690","0.620","0.620","15,000"
09/20/2024,"0.560","0.570","0.550","0.550","105,000"
09/19/2024,"0.620","0.620","0.570","0.600","98,000"
09/18/2024,"0.620","0.620","0.620","0.620","6,000"
09/17/2024,"0.670","0.670","0.620","0.620","56,000"
09/16/2024,"0.680","0.680","0.670","0.670","7,000"
