Date,Open,High,Low,Close,Volume
12/31/2021,"5.360","5.370","5.200","5.350","2,686,500"
12/29/2021,"5.260","5.360","5.250","5.360","10,271,300"
12/28/2021,"5.280","5.280","5.110","5.210","4,050,800"
12/27/2021,"5.150","5.210","5.090","5.180","1,095,400"
12/24/2021,"5.140","5.150","5.080","5.150","187,400"
12/23/2021,"5.060","5.140","5.060","5.140","415,500"
12/22/2021,"5.080","5.140","5.060","5.080","385,400"
12/21/2021,"5.100","5.140","5.050","5.090","96,900"
12/20/2021,"5.150","5.150","5.030","5.030","1,294,800"
12/17/2021,"5.200","5.320","5.060","5.150","6,115,600"
12/16/2021,"5.020","5.200","4.980","5.160","4,489,700"
12/15/2021,"5.100","5.100","5.010","5.020","2,257,000"
12/14/2021,"5.150","5.150","5.050","5.100","1,088,900"
12/13/2021,"5.060","5.170","5.040","5.120","2,573,300"
12/10/2021,"5.120","5.120","5.060","5.060","617,700"
12/09/2021,"5.080","5.100","5.030","5.100","882,900"
12/07/2021,"5.120","5.120","5.000","5.080","1,010,700"
12/06/2021,"5.160","5.160","5.000","5.000","2,450,000"
12/03/2021,"5.110","5.180","5.080","5.160","1,728,300"
12/02/2021,"4.900","5.180","4.880","5.110","4,718,000"
12/01/2021,"5.160","5.160","4.900","4.900","6,811,200"
11/29/2021,"5.080","5.190","5.000","5.160","3,545,500"
11/26/2021,"5.300","5.310","5.170","5.190","2,600,000"
11/25/2021,"5.210","5.300","5.210","5.280","3,379,400"
11/24/2021,"5.300","5.310","5.160","5.160","4,185,100"
11/23/2021,"5.190","5.280","5.170","5.260","2,340,700"
11/22/2021,"5.100","5.210","5.050","5.150","2,067,300"
11/19/2021,"5.200","5.200","5.000","5.020","12,913,000"
11/18/2021,"5.220","5.240","5.150","5.220","2,974,800"
11/17/2021,"5.260","5.340","5.200","5.220","5,315,200"
11/16/2021,"5.320","5.390","5.200","5.250","6,340,800"
11/15/2021,"5.400","5.430","5.260","5.310","10,670,600"
11/12/2021,"5.650","5.650","5.540","5.570","4,802,600"
11/11/2021,"5.680","5.680","5.610","5.610","2,816,100"
11/10/2021,"5.680","5.690","5.590","5.600","2,531,100"
