Date,Open,High,Low,Close,Volume
04/30/2025,"0.385","0.400","0.380","0.395","1,580,000"
04/29/2025,"0.395","0.405","0.390","0.405","520,000"
04/28/2025,"0.405","0.410","0.395","0.395","1,560,000"
04/25/2025,"0.415","0.415","0.400","0.410","1,060,000"
04/24/2025,"0.410","0.415","0.405","0.410","220,000"
04/23/2025,"0.400","0.405","0.395","0.405","330,000"
04/22/2025,"0.410","0.410","0.400","0.400","480,000"
04/21/2025,"0.400","0.410","0.400","0.410","890,000"
04/16/2025,"0.395","0.405","0.395","0.400","570,000"
04/15/2025,"0.390","0.400","0.385","0.390","520,000"
04/14/2025,"0.410","0.410","0.390","0.390","570,000"
04/11/2025,"0.420","0.420","0.385","0.400","1,540,000"
04/10/2025,"0.430","0.435","0.395","0.420","1,430,000"
04/08/2025,"0.380","0.440","0.375","0.430","3,230,000"
04/07/2025,"0.470","0.470","0.380","0.390","5,500,000"
04/04/2025,"0.510","0.510","0.480","0.480","1,480,000"
04/03/2025,"0.530","0.530","0.500","0.510","1,290,000"
04/02/2025,"0.510","0.530","0.510","0.530","265,000"
03/31/2025,"0.540","0.540","0.510","0.510","658,000"
03/28/2025,"0.520","0.550","0.520","0.540","165,000"
03/27/2025,"0.530","0.530","0.510","0.520","536,000"
03/26/2025,"0.530","0.570","0.520","0.520","881,000"
03/25/2025,"0.530","0.530","0.530","0.530","101,000"
03/24/2025,"0.560","0.560","0.520","0.520","402,000"
03/21/2025,"0.540","0.590","0.540","0.560","2,363,000"
03/20/2025,"0.520","0.550","0.520","0.530","1,249,000"
03/19/2025,"0.510","0.520","0.510","0.520","337,000"
03/18/2025,"0.520","0.530","0.510","0.520","566,000"
03/17/2025,"0.510","0.530","0.510","0.520","332,000"
03/14/2025,"0.540","0.550","0.510","0.510","1,671,000"
03/13/2025,"0.540","0.550","0.540","0.540","439,000"
03/12/2025,"0.550","0.560","0.540","0.540","870,000"
03/11/2025,"0.570","0.590","0.560","0.560","460,000"
03/10/2025,"0.570","0.580","0.560","0.570","199,000"
03/07/2025,"0.580","0.590","0.580","0.580","206,000"
03/06/2025,"0.580","0.590","0.580","0.580","244,000"
03/05/2025,"0.560","0.590","0.550","0.580","263,000"
03/04/2025,"0.560","0.570","0.560","0.560","194,000"
03/03/2025,"0.560","0.570","0.550","0.560","579,000"
02/28/2025,"0.580","0.580","0.560","0.570","172,000"
02/27/2025,"0.580","0.580","0.560","0.580","585,000"
02/26/2025,"0.580","0.590","0.570","0.580","501,000"
02/25/2025,"0.580","0.580","0.560","0.560","180,000"
02/24/2025,"0.600","0.600","0.580","0.580","112,000"
02/21/2025,"0.590","0.590","0.570","0.590","711,000"
02/20/2025,"0.590","0.590","0.570","0.590","694,000"
02/19/2025,"0.590","0.590","0.570","0.590","623,000"
02/18/2025,"0.600","0.600","0.590","0.590","122,000"
02/17/2025,"0.590","0.600","0.580","0.600","757,000"
02/14/2025,"0.600","0.610","0.580","0.590","702,000"
02/13/2025,"0.610","0.610","0.590","0.590","419,000"
02/12/2025,"0.610","0.620","0.600","0.610","438,000"
02/11/2025,"0.630","0.640","0.600","0.610","388,000"
02/10/2025,"0.630","0.640","0.610","0.630","481,000"
02/07/2025,"0.610","0.620","0.600","0.600","393,000"
02/06/2025,"0.610","0.610","0.590","0.610","140,000"
02/05/2025,"0.600","0.610","0.590","0.600","1,050,000"
02/04/2025,"0.580","0.600","0.580","0.580","311,000"
02/03/2025,"0.580","0.590","0.540","0.570","1,575,000"
01/31/2025,"0.610","0.610","0.580","0.590","473,000"
01/30/2025,"0.610","0.610","0.600","0.610","81,000"
01/28/2025,"0.600","0.610","0.590","0.610","551,000"
01/27/2025,"0.640","0.640","0.600","0.600","1,305,000"
01/24/2025,"0.640","0.640","0.600","0.640","656,000"
01/23/2025,"0.630","0.630","0.620","0.620","264,000"
01/22/2025,"0.610","0.630","0.600","0.620","226,000"
01/21/2025,"0.640","0.640","0.620","0.620","210,000"
01/20/2025,"0.650","0.650","0.610","0.650","521,000"
01/17/2025,"0.600","0.620","0.600","0.620","614,000"
01/16/2025,"0.630","0.640","0.600","0.600","1,093,000"
01/15/2025,"0.640","0.640","0.610","0.630","737,000"
01/14/2025,"0.670","0.670","0.620","0.640","1,185,000"
01/13/2025,"0.680","0.680","0.650","0.660","800,000"
01/10/2025,"0.740","0.740","0.690","0.700","1,602,000"
01/09/2025,"0.690","0.760","0.690","0.710","4,259,000"
01/08/2025,"0.710","0.710","0.650","0.690","2,021,000"
01/07/2025,"0.590","0.740","0.590","0.710","8,440,000"
01/06/2025,"0.600","0.610","0.580","0.590","578,000"
01/03/2025,"0.580","0.610","0.560","0.610","672,000"
01/02/2025,"0.600","0.600","0.560","0.570","627,000"
