Date,Open,High,Low,Close,Volume
12/28/2023,"0.385","0.385","0.385","0.385","20,000"
12/27/2023,"0.375","0.375","0.375","0.375","10,000"
12/22/2023,"0.365","0.365","0.365","0.365","50,000"
12/19/2023,"0.365","0.365","0.365","0.365","110,000"
12/18/2023,"0.365","0.365","0.365","0.365","250,000"
12/15/2023,"0.360","0.360","0.360","0.360","30,000"
12/14/2023,"0.360","0.360","0.360","0.360","50,000"
12/05/2023,"0.365","0.365","0.365","0.365","150,000"
12/04/2023,"0.370","0.370","0.370","0.370","50,000"
12/01/2023,"0.370","0.370","0.370","0.370","100,000"
11/30/2023,"0.365","0.380","0.365","0.370","120,000"
11/28/2023,"0.435","0.435","0.435","0.435","10,000"
11/24/2023,"0.370","0.370","0.370","0.370","320,000"
11/22/2023,"0.360","0.360","0.360","0.360","20,000"
11/20/2023,"0.395","0.400","0.395","0.400","50,000"
11/17/2023,"0.370","0.405","0.370","0.400","530,000"
11/15/2023,"0.370","0.370","0.370","0.370","60,000"
11/13/2023,"0.370","0.370","0.370","0.370","500,000"
11/03/2023,"0.380","0.380","0.380","0.380","50,000"
10/27/2023,"0.380","0.380","0.380","0.380","190,000"
10/25/2023,"0.380","0.380","0.380","0.380","10,000"
10/24/2023,"0.380","0.380","0.380","0.380","10,000"
10/20/2023,"0.380","0.380","0.380","0.380","3,300,000"
10/17/2023,"0.390","0.390","0.390","0.390","1,560,000"
10/11/2023,"0.400","0.400","0.380","0.380","290,000"
10/09/2023,"0.400","0.410","0.400","0.410","4,710,000"
10/06/2023,"0.400","0.400","0.400","0.400","70,000"
09/29/2023,"0.400","0.400","0.400","0.400","60,000"
09/28/2023,"0.420","0.420","0.400","0.400","30,000"
09/15/2023,"0.400","0.400","0.400","0.400","20,000"
09/13/2023,"0.450","0.450","0.450","0.450","100,000"
09/08/2023,"0.445","0.450","0.445","0.450","30,000"
09/06/2023,"0.395","0.395","0.395","0.395","10,000"
09/05/2023,"0.395","0.435","0.395","0.435","50,000"
08/22/2023,"0.450","0.450","0.450","0.450","30,000"
08/14/2023,"0.450","0.450","0.450","0.450","20,000"
08/10/2023,"0.400","0.450","0.400","0.450","150,000"
07/31/2023,"0.395","0.395","0.395","0.395","30,000"
07/25/2023,"0.420","0.420","0.390","0.390","390,000"
07/24/2023,"0.425","0.425","0.410","0.410","360,000"
07/21/2023,"0.425","0.425","0.425","0.425","10,000"
07/18/2023,"0.460","0.460","0.460","0.460","180,000"
07/17/2023,"0.455","0.460","0.455","0.460","140,000"
07/14/2023,"0.440","0.440","0.440","0.440","70,000"
07/06/2023,"0.440","0.440","0.440","0.440","20,000"
07/04/2023,"0.420","0.430","0.410","0.430","470,000"
06/29/2023,"0.490","0.490","0.490","0.490","2,000"
06/27/2023,"0.490","0.500","0.490","0.500","16,000"
06/26/2023,"0.510","0.510","0.510","0.510","7,000"
06/23/2023,"0.540","0.540","0.510","0.510","69,000"
06/22/2023,"0.630","0.630","0.630","0.630","10,000"
06/21/2023,"0.450","0.450","0.450","0.450","90,000"
06/20/2023,"0.450","0.450","0.450","0.450","30,000"
06/14/2023,"0.520","0.520","0.520","0.520","1,000"
06/07/2023,"0.520","0.520","0.520","0.520","30,000"
06/06/2023,"0.455","0.455","0.455","0.455","2,000,000"
05/25/2023,"0.460","0.460","0.460","0.460","10,000"
05/16/2023,"0.570","0.570","0.455","0.455","8,000"
05/08/2023,"0.520","0.520","0.520","0.520","5,000"
05/05/2023,"0.500","0.500","0.500","0.500","30,000"
05/04/2023,"0.470","0.480","0.470","0.470","110,000"
04/28/2023,"0.470","0.470","0.470","0.470","170,000"
04/27/2023,"0.460","0.460","0.460","0.460","100,000"
04/26/2023,"0.510","0.510","0.455","0.455","282,000"
04/24/2023,"0.560","0.560","0.540","0.540","130,000"
04/20/2023,"0.570","0.570","0.570","0.570","1,000"
04/19/2023,"0.550","0.570","0.550","0.570","50,000"
04/17/2023,"0.560","0.560","0.560","0.560","30,000"
04/14/2023,"0.560","0.560","0.560","0.560","20,000"
04/12/2023,"0.560","0.570","0.560","0.570","20,000"
04/04/2023,"0.560","0.560","0.560","0.560","8,000"
03/31/2023,"0.560","0.560","0.560","0.560","1,000"
03/29/2023,"0.570","0.570","0.570","0.570","6,000"
03/27/2023,"0.580","0.580","0.580","0.580","31,000"
03/22/2023,"0.550","0.550","0.550","0.550","8,000"
03/20/2023,"0.550","0.550","0.550","0.550","5,000"
