Date,Open,High,Low,Close,Volume
12/27/2024,"13.94","14.10","13.94","14.02","998,600"
12/26/2024,"13.86","14.12","13.86","13.92","68,000"
12/23/2024,"13.84","13.86","13.76","13.80","911,300"
12/20/2024,"14.00","14.00","13.80","13.84","1,716,500"
12/19/2024,"14.08","14.20","13.84","13.84","1,429,700"
12/18/2024,"14.34","14.34","14.06","14.10","864,400"
12/17/2024,"13.96","14.38","13.90","14.10","3,023,200"
12/16/2024,"13.84","13.98","13.82","13.84","1,073,200"
12/13/2024,"13.72","13.86","13.68","13.84","110,600"
12/12/2024,"13.96","13.96","13.70","13.70","4,890,200"
12/11/2024,"13.80","13.98","13.76","13.78","1,332,500"
12/10/2024,"14.00","14.00","13.76","13.80","2,991,500"
12/09/2024,"13.70","13.78","13.66","13.66","1,847,500"
12/06/2024,"13.98","13.98","13.64","13.68","606,100"
12/05/2024,"13.90","13.90","13.70","13.78","891,900"
12/04/2024,"13.98","14.00","13.78","13.90","667,200"
12/03/2024,"13.86","14.42","13.84","14.00","3,799,800"
12/02/2024,"13.82","13.82","13.68","13.76","822,200"
11/29/2024,"13.80","13.80","13.72","13.80","444,200"
11/28/2024,"13.80","13.86","13.72","13.74","1,457,100"
11/27/2024,"13.98","13.98","13.72","13.76","973,600"
11/26/2024,"14.06","14.08","13.72","13.78","1,425,700"
11/25/2024,"14.22","14.50","14.02","14.06","6,713,300"
11/22/2024,"14.24","14.50","14.14","14.26","531,900"
11/21/2024,"14.44","14.50","14.22","14.26","650,900"
11/20/2024,"14.70","14.70","14.34","14.44","323,100"
11/19/2024,"14.62","14.96","14.30","14.70","460,700"
11/18/2024,"15.02","15.32","14.92","15.02","844,600"
11/15/2024,"15.00","15.04","14.92","14.96","2,061,300"
11/14/2024,"15.20","15.20","14.86","14.98","1,152,500"
11/13/2024,"15.50","15.50","15.00","15.20","703,200"
11/12/2024,"15.58","15.60","15.10","15.26","895,400"
11/11/2024,"15.46","15.74","15.46","15.60","859,200"
11/08/2024,"15.32","15.54","15.20","15.46","3,781,500"
11/07/2024,"15.96","16.00","14.76","14.90","6,946,000"
11/06/2024,"15.50","15.82","15.42","15.56","2,838,100"
11/05/2024,"15.30","15.50","15.22","15.50","1,180,000"
11/04/2024,"15.98","15.98","15.30","15.30","1,295,700"
10/31/2024,"15.74","15.74","15.66","15.68","288,400"
10/30/2024,"15.90","15.96","15.66","15.74","830,600"
10/29/2024,"15.52","16.00","15.52","15.58","226,700"
10/28/2024,"15.74","15.74","15.50","15.58","2,980,100"
10/25/2024,"15.86","16.00","15.86","15.86","277,400"
