Date,Open,High,Low,Close,Volume
12/26/2024,"0.153","0.153","0.153","0.153","40,000"
12/13/2024,"0.140","0.140","0.140","0.140","200,000"
12/11/2024,"0.132","0.132","0.132","0.132","10,000"
11/27/2024,"0.133","0.140","0.133","0.140","280,000"
11/18/2024,"0.159","0.159","0.159","0.159","80,000"
11/14/2024,"0.159","0.159","0.159","0.159","50,000"
11/13/2024,"0.150","0.150","0.150","0.150","20,000"
11/12/2024,"0.133","0.133","0.133","0.133","50,000"
11/08/2024,"0.157","0.157","0.133","0.133","150,000"
11/07/2024,"0.160","0.160","0.133","0.133","120,000"
11/06/2024,"0.160","0.160","0.160","0.160","20,000"
11/05/2024,"0.133","0.133","0.133","0.133","30,000"
11/04/2024,"0.132","0.132","0.132","0.132","10,000"
10/24/2024,"0.140","0.160","0.120","0.160","100,000"
10/18/2024,"0.160","0.160","0.160","0.160","30,000"
10/17/2024,"0.161","0.161","0.160","0.160","50,000"
10/16/2024,"0.140","0.140","0.140","0.140","30,000"
10/14/2024,"0.162","0.162","0.162","0.162","70,000"
10/10/2024,"0.162","0.162","0.162","0.162","30,000"
10/09/2024,"0.162","0.162","0.162","0.162","20,000"
10/02/2024,"0.160","0.160","0.160","0.160","20,000"
10/01/2024,"0.132","0.132","0.132","0.132","100,000"
09/26/2024,"0.160","0.160","0.160","0.160","60,000"
09/23/2024,"0.150","0.150","0.150","0.150","30,000"
09/18/2024,"0.130","0.130","0.114","0.125","510,000"
09/16/2024,"0.122","0.122","0.122","0.122","560,000"
09/13/2024,"0.112","0.112","0.112","0.112","10,000"
09/12/2024,"0.140","0.140","0.140","0.140","300,000"
09/11/2024,"0.175","0.175","0.150","0.155","690,000"
09/10/2024,"0.132","0.132","0.130","0.130","1,500,000"
09/09/2024,"0.141","0.141","0.131","0.131","660,000"
09/04/2024,"0.140","0.140","0.140","0.140","10,000"
08/30/2024,"0.140","0.140","0.140","0.140","10,000"
08/20/2024,"0.142","0.142","0.142","0.142","280,000"
08/19/2024,"0.142","0.142","0.142","0.142","10,000"
08/16/2024,"0.142","0.142","0.142","0.142","40,000"
08/14/2024,"0.143","0.143","0.142","0.142","1,000,000"
08/08/2024,"0.143","0.143","0.143","0.143","10,000"
08/05/2024,"0.150","0.150","0.142","0.142","660,000"
08/02/2024,"0.150","0.150","0.150","0.150","10,000"
07/31/2024,"0.145","0.145","0.142","0.142","300,000"
07/30/2024,"0.130","0.141","0.130","0.141","2,820,000"
07/26/2024,"0.174","0.174","0.172","0.172","810,000"
07/11/2024,"0.173","0.173","0.173","0.173","20,000"
07/10/2024,"0.173","0.173","0.173","0.173","100,000"
07/04/2024,"0.176","0.176","0.176","0.176","90,000"
07/03/2024,"0.174","0.174","0.174","0.174","110,000"
07/02/2024,"0.174","0.174","0.174","0.174","100,000"
06/26/2024,"0.174","0.174","0.174","0.174","70,000"
06/21/2024,"0.174","0.174","0.174","0.174","20,000"
06/18/2024,"0.170","0.170","0.170","0.170","260,000"
06/14/2024,"0.192","0.192","0.170","0.170","2,530,000"
06/10/2024,"0.192","0.192","0.192","0.192","170,000"
06/05/2024,"0.195","0.195","0.190","0.190","540,000"
06/04/2024,"0.201","0.201","0.195","0.195","830,000"
05/31/2024,"0.219","0.219","0.219","0.219","10,000"
05/30/2024,"0.191","0.191","0.191","0.191","10,000"
05/28/2024,"0.191","0.195","0.191","0.195","120,000"
05/24/2024,"0.200","0.210","0.190","0.209","2,590,000"
05/23/2024,"0.192","0.240","0.160","0.190","9,030,000"
05/22/2024,"0.232","0.232","0.215","0.215","2,910,000"
05/10/2024,"0.235","0.235","0.228","0.228","100,000"
05/06/2024,"0.228","0.228","0.228","0.228","50,000"
05/03/2024,"0.240","0.240","0.240","0.240","710,000"
04/29/2024,"0.248","0.248","0.248","0.248","10,000"
04/26/2024,"0.240","0.240","0.240","0.240","350,000"
04/22/2024,"0.240","0.240","0.240","0.240","130,000"
04/15/2024,"0.228","0.228","0.228","0.228","100,000"
03/22/2024,"0.228","0.228","0.228","0.228","330,000"
03/20/2024,"0.229","0.229","0.228","0.228","50,000"
03/18/2024,"0.232","0.232","0.232","0.232","10,000"
03/15/2024,"0.232","0.232","0.232","0.232","50,000"
03/08/2024,"0.228","0.228","0.228","0.228","30,000"
02/28/2024,"0.228","0.228","0.228","0.228","140,000"
02/07/2024,"0.228","0.228","0.228","0.228","400,000"
02/01/2024,"0.240","0.240","0.240","0.240","10,000"
01/24/2024,"0.240","0.240","0.240","0.240","10,000"
01/12/2024,"0.240","0.240","0.240","0.240","130,000"
01/05/2024,"0.275","0.275","0.228","0.260","110,000"
