Date,Open,High,Low,Close,Volume
12/29/2023,"0.650","0.650","0.610","0.630","428,000"
12/28/2023,"0.620","0.650","0.620","0.650","74,000"
12/27/2023,"0.620","0.660","0.620","0.660","34,000"
12/22/2023,"0.630","0.670","0.620","0.670","21,000"
12/21/2023,"0.670","0.670","0.670","0.670","3,000"
12/19/2023,"0.680","0.680","0.670","0.670","9,000"
12/18/2023,"0.630","0.630","0.630","0.630","5,000"
12/15/2023,"0.650","0.670","0.610","0.630","805,000"
12/13/2023,"0.670","0.690","0.630","0.680","28,000"
12/12/2023,"0.630","0.670","0.620","0.650","114,000"
12/07/2023,"0.630","0.680","0.630","0.680","15,000"
12/06/2023,"0.640","0.680","0.610","0.680","129,000"
12/05/2023,"0.650","0.700","0.650","0.680","58,000"
12/04/2023,"0.690","0.690","0.650","0.650","97,000"
11/29/2023,"0.660","0.710","0.660","0.670","36,000"
11/28/2023,"0.660","0.690","0.660","0.690","7,000"
11/24/2023,"0.690","0.690","0.670","0.690","33,000"
11/22/2023,"0.670","0.690","0.660","0.690","28,000"
11/21/2023,"0.660","0.700","0.660","0.690","20,000"
11/17/2023,"0.700","0.700","0.700","0.700","2,000"
11/16/2023,"0.690","0.690","0.690","0.690","7,000"
11/15/2023,"0.680","0.700","0.670","0.670","161,000"
11/10/2023,"0.670","0.670","0.660","0.660","41,000"
11/09/2023,"0.660","0.670","0.660","0.670","154,000"
11/07/2023,"0.680","0.700","0.670","0.700","146,000"
11/06/2023,"0.710","0.720","0.670","0.710","126,000"
11/03/2023,"0.710","0.710","0.660","0.710","185,000"
10/26/2023,"0.690","0.720","0.680","0.720","162,000"
10/25/2023,"0.700","0.720","0.680","0.720","25,000"
10/24/2023,"0.690","0.700","0.690","0.700","21,000"
10/23/2023,"0.700","0.700","0.680","0.680","325,000"
10/20/2023,"0.700","0.700","0.700","0.700","1,000"
10/18/2023,"0.700","0.710","0.690","0.700","118,000"
10/17/2023,"0.700","0.710","0.690","0.700","296,000"
10/16/2023,"0.690","0.710","0.690","0.710","64,000"
10/13/2023,"0.690","0.710","0.680","0.700","99,000"
10/12/2023,"0.710","0.720","0.680","0.680","701,000"
10/10/2023,"0.720","0.720","0.720","0.720","31,000"
10/09/2023,"0.700","0.720","0.680","0.720","51,000"
10/06/2023,"0.720","0.730","0.720","0.720","119,000"
10/05/2023,"0.690","0.720","0.690","0.710","80,000"
10/04/2023,"0.680","0.720","0.680","0.680","536,000"
10/03/2023,"0.700","0.700","0.690","0.690","104,000"
09/29/2023,"0.690","0.700","0.670","0.700","55,000"
09/28/2023,"0.670","0.700","0.670","0.690","62,000"
09/27/2023,"0.680","0.680","0.680","0.680","6,000"
09/26/2023,"0.680","0.680","0.680","0.680","220,000"
09/25/2023,"0.690","0.700","0.660","0.700","22,000"
09/19/2023,"0.650","0.700","0.650","0.700","57,000"
09/18/2023,"0.670","0.700","0.670","0.670","102,000"
09/15/2023,"0.670","0.670","0.650","0.650","140,000"
09/14/2023,"0.680","0.680","0.680","0.680","103,000"
09/13/2023,"0.670","0.690","0.670","0.690","73,000"
09/12/2023,"0.700","0.700","0.700","0.700","3,000"
09/11/2023,"0.680","0.700","0.650","0.700","402,000"
09/08/2023,"0.660","0.700","0.660","0.700","38,000"
09/07/2023,"0.660","0.660","0.660","0.660","3,000"
09/06/2023,"0.670","0.680","0.670","0.670","93,000"
09/05/2023,"0.690","0.700","0.670","0.670","135,000"
09/04/2023,"0.670","0.710","0.670","0.670","100,000"
09/01/2023,"0.680","0.710","0.670","0.710","68,000"
08/31/2023,"0.700","0.700","0.680","0.680","128,000"
08/29/2023,"0.690","0.700","0.680","0.700","77,000"
08/25/2023,"0.690","0.690","0.680","0.690","413,000"
08/23/2023,"0.690","0.690","0.680","0.680","67,000"
08/22/2023,"0.700","0.710","0.700","0.700","214,000"
08/18/2023,"0.680","0.700","0.680","0.700","28,000"
08/16/2023,"0.690","0.710","0.680","0.710","106,000"
08/14/2023,"0.700","0.700","0.690","0.700","62,000"
08/10/2023,"0.700","0.700","0.700","0.700","32,000"
08/08/2023,"0.720","0.730","0.710","0.730","114,000"
08/07/2023,"0.720","0.720","0.700","0.720","27,000"
08/04/2023,"0.720","0.720","0.690","0.700","325,000"
08/03/2023,"0.710","0.760","0.700","0.720","225,000"
08/02/2023,"0.740","0.740","0.710","0.710","107,000"
08/01/2023,"0.750","0.750","0.730","0.740","50,000"
07/31/2023,"0.770","0.770","0.730","0.760","74,000"
07/28/2023,"0.750","0.760","0.740","0.760","114,000"
07/27/2023,"0.760","0.770","0.760","0.770","56,000"
07/26/2023,"0.730","0.770","0.730","0.770","1,008,000"
07/25/2023,"0.720","0.740","0.720","0.730","44,000"
07/24/2023,"0.720","0.750","0.720","0.720","72,000"
07/21/2023,"0.710","0.750","0.710","0.750","27,000"
07/20/2023,"0.720","0.740","0.700","0.710","181,000"
07/19/2023,"0.760","0.760","0.730","0.760","63,000"
07/18/2023,"0.730","0.730","0.730","0.730","27,000"
07/17/2023,"0.740","0.750","0.740","0.750","139,000"
07/14/2023,"0.730","0.740","0.720","0.740","336,000"
07/13/2023,"0.730","0.730","0.720","0.730","49,000"
07/12/2023,"0.720","0.720","0.720","0.720","3,000"
07/11/2023,"0.730","0.750","0.710","0.740","197,000"
07/10/2023,"0.740","0.750","0.710","0.730","99,000"
07/07/2023,"0.720","0.750","0.720","0.740","11,000"
07/06/2023,"0.740","0.740","0.720","0.740","70,000"
07/05/2023,"0.740","0.750","0.710","0.750","132,000"
07/04/2023,"0.720","0.760","0.720","0.750","134,000"
07/03/2023,"0.750","0.760","0.730","0.730","46,000"
06/30/2023,"0.750","0.750","0.720","0.750","163,000"
06/29/2023,"0.760","0.760","0.740","0.750","12,000"
