Date,Open,High,Low,Close,Volume
12/27/2024,"1.590","1.600","1.590","1.600","4,000"
12/20/2024,"1.590","1.590","1.590","1.590","32,000"
12/19/2024,"1.380","1.380","1.380","1.380","1,000"
12/18/2024,"1.590","1.590","1.590","1.590","5,000"
12/17/2024,"1.580","1.590","1.580","1.590","12,000"
12/16/2024,"1.550","1.590","1.550","1.590","21,000"
12/12/2024,"1.590","1.590","1.590","1.590","105,000"
12/10/2024,"1.390","1.390","1.390","1.390","10,000"
12/09/2024,"1.500","1.500","1.500","1.500","2,000"
12/06/2024,"1.510","1.600","1.510","1.600","56,000"
12/05/2024,"1.300","1.320","1.280","1.320","7,000"
12/04/2024,"1.300","1.310","1.300","1.310","2,000"
12/02/2024,"1.260","1.320","1.260","1.320","4,000"
11/29/2024,"1.260","1.260","1.260","1.260","2,000"
11/28/2024,"1.440","1.440","1.270","1.270","2,000"
11/27/2024,"1.290","1.290","1.260","1.260","26,000"
11/25/2024,"1.310","1.310","1.300","1.300","5,000"
11/22/2024,"1.350","1.350","1.250","1.300","20,000"
11/21/2024,"1.080","1.490","1.080","1.450","63,000"
11/20/2024,"1.140","1.150","1.140","1.150","2,000"
11/19/2024,"1.120","1.120","1.050","1.050","6,000"
11/18/2024,"1.100","1.300","1.100","1.300","4,000"
11/15/2024,"1.090","1.090","1.090","1.090","2,000"
11/14/2024,"1.500","1.500","1.500","1.500","1,000"
11/13/2024,"1.510","1.510","1.510","1.510","2,000"
11/12/2024,"1.530","1.530","1.530","1.530","1,000"
11/11/2024,"1.210","1.210","1.210","1.210","1,000"
11/04/2024,"1.620","1.620","1.620","1.620","1,000"
10/31/2024,"1.100","1.100","1.100","1.100","1,000"
10/29/2024,"1.520","1.520","1.520","1.520","1,000"
10/22/2024,"1.400","1.470","1.400","1.470","20,000"
10/21/2024,"1.360","1.400","1.360","1.400","19,000"
10/18/2024,"1.360","1.360","1.350","1.360","17,000"
10/16/2024,"1.360","1.360","1.360","1.360","1,000"
10/14/2024,"1.360","1.360","1.360","1.360","1,000"
10/10/2024,"1.350","1.360","1.340","1.360","5,000"
10/09/2024,"1.370","1.370","1.370","1.370","1,000"
10/08/2024,"1.250","1.250","1.250","1.250","1,000"
10/07/2024,"1.290","1.290","1.200","1.200","43,000"
10/04/2024,"1.200","1.290","1.200","1.290","24,000"
10/02/2024,"0.980","0.980","0.980","0.980","1,000"
09/27/2024,"1.170","1.200","1.010","1.200","87,000"
09/25/2024,"1.190","1.190","1.170","1.170","6,000"
09/24/2024,"1.190","1.190","1.100","1.100","3,000"
09/23/2024,"1.090","1.090","0.980","0.980","14,000"
09/19/2024,"0.950","0.950","0.950","0.950","1,000"
09/18/2024,"0.990","0.990","0.930","0.930","22,000"
09/17/2024,"0.990","1.000","0.990","1.000","95,000"
09/12/2024,"1.000","1.030","1.000","1.000","65,000"
09/05/2024,"1.050","1.050","0.930","0.960","86,000"
09/04/2024,"0.990","0.990","0.920","0.920","4,000"
08/30/2024,"1.040","1.040","1.040","1.040","10,000"
08/29/2024,"1.090","1.310","1.000","1.030","94,000"
08/28/2024,"0.930","1.170","0.930","1.000","142,000"
08/27/2024,"0.700","0.780","0.700","0.780","85,000"
08/14/2024,"0.700","0.700","0.700","0.700","5,000"
08/09/2024,"0.930","0.930","0.930","0.930","1,000"
08/06/2024,"0.850","0.850","0.850","0.850","2,000"
08/05/2024,"0.920","0.930","0.910","0.920","17,000"
07/31/2024,"0.930","0.930","0.930","0.930","5,000"
07/25/2024,"0.940","0.940","0.940","0.940","5,000"
07/22/2024,"0.970","0.970","0.970","0.970","2,000"
07/18/2024,"0.920","0.920","0.920","0.920","3,000"
07/12/2024,"0.930","0.930","0.920","0.920","5,000"
07/11/2024,"0.930","0.930","0.930","0.930","25,000"
07/09/2024,"0.970","0.970","0.930","0.930","7,000"
06/11/2024,"1.000","1.000","0.990","0.990","10,000"
06/06/2024,"0.960","0.960","0.960","0.960","3,000"
06/03/2024,"0.930","0.930","0.930","0.930","5,000"
05/30/2024,"0.970","0.970","0.970","0.970","7,000"
05/28/2024,"0.930","0.930","0.930","0.930","58,000"
05/24/2024,"0.970","0.970","0.970","0.970","5,000"
05/23/2024,"0.920","0.920","0.920","0.920","5,000"
05/10/2024,"1.000","1.000","1.000","1.000","15,000"
05/08/2024,"1.000","1.000","1.000","1.000","1,000"
05/07/2024,"0.910","0.930","0.910","0.930","4,000"
04/29/2024,"0.940","1.000","0.940","1.000","39,000"
04/26/2024,"1.060","1.060","1.060","1.060","1,000"
04/24/2024,"1.000","1.000","1.000","1.000","10,000"
04/23/2024,"1.000","1.000","1.000","1.000","14,000"
04/19/2024,"1.010","1.010","1.010","1.010","8,000"
04/16/2024,"1.010","1.020","1.010","1.020","2,000"
04/12/2024,"1.020","1.020","1.020","1.020","2,000"
04/08/2024,"1.200","1.200","1.200","1.200","4,000"
04/04/2024,"1.200","1.200","1.200","1.200","2,000"
04/02/2024,"1.190","1.200","1.190","1.200","13,000"
04/01/2024,"1.100","1.100","1.100","1.100","2,000"
03/27/2024,"1.200","1.200","1.200","1.200","3,000"
03/26/2024,"1.190","1.190","1.180","1.180","13,000"
03/22/2024,"1.520","1.520","1.520","1.520","1,000"
03/21/2024,"1.150","1.150","1.150","1.150","20,000"
03/20/2024,"1.420","1.420","1.100","1.100","2,000"
03/19/2024,"1.410","1.410","1.390","1.400","28,000"
03/13/2024,"1.030","1.030","1.030","1.030","5,000"
03/12/2024,"1.040","1.050","1.000","1.050","70,000"
03/08/2024,"1.040","1.040","1.040","1.040","1,000"
03/05/2024,"1.040","1.040","1.040","1.040","2,000"
02/26/2024,"1.040","1.040","1.040","1.040","5,000"
02/22/2024,"1.040","1.040","1.030","1.030","33,000"
02/21/2024,"1.030","1.030","1.030","1.030","10,000"
02/19/2024,"1.110","1.110","1.090","1.090","6,000"
02/16/2024,"1.120","1.150","1.110","1.110","10,000"
02/13/2024,"1.110","1.110","1.110","1.110","6,000"
02/06/2024,"1.160","1.160","1.160","1.160","5,000"
02/05/2024,"1.170","1.180","1.160","1.160","13,000"
02/02/2024,"1.320","1.390","1.180","1.180","3,000"
02/01/2024,"1.160","1.160","1.150","1.150","8,000"
01/30/2024,"1.300","1.300","1.300","1.300","5,000"
01/29/2024,"1.400","1.400","1.400","1.400","1,000"
01/25/2024,"1.540","1.540","1.540","1.540","4,000"
01/24/2024,"1.500","1.500","1.500","1.500","4,000"
01/22/2024,"1.500","1.500","1.500","1.500","6,000"
01/17/2024,"1.400","1.400","1.400","1.400","7,000"
01/16/2024,"1.400","1.400","1.400","1.400","30,000"
01/12/2024,"1.390","1.400","1.390","1.400","6,000"
01/10/2024,"1.290","1.300","1.290","1.290","41,000"
01/05/2024,"1.330","1.330","1.330","1.330","10,000"
01/04/2024,"1.190","1.200","1.190","1.200","11,000"
