Date,Open,High,Low,Close,Volume
11/23/2021,"2.100","2.100","2.100","2.100","727,000"
11/22/2021,"2.100","2.100","2.100","2.100","15,000"
11/11/2021,"2.100","2.100","2.100","2.100","3,000"
11/10/2021,"2.100","2.100","2.100","2.100","70,000"
11/09/2021,"2.070","2.070","2.070","2.070","6,000"
10/22/2021,"2.070","2.070","2.070","2.070","50,000"
10/19/2021,"2.080","2.080","2.060","2.060","31,000"
10/13/2021,"2.080","2.080","2.080","2.080","1,000"
10/12/2021,"2.080","2.250","2.080","2.250","2,000"
10/08/2021,"2.250","2.250","2.250","2.250","25,000"
10/05/2021,"2.250","2.250","2.250","2.250","1,000"
10/04/2021,"2.250","2.250","2.250","2.250","2,000"
09/30/2021,"2.250","2.250","2.250","2.250","12,000"
09/28/2021,"2.300","2.300","2.250","2.250","130,000"
09/24/2021,"2.300","2.300","2.300","2.300","1,000"
09/20/2021,"2.300","2.300","2.300","2.300","1,000"
09/17/2021,"2.300","2.300","2.300","2.300","4,000"
09/16/2021,"2.300","2.310","2.300","2.310","5,000"
09/03/2021,"2.480","2.480","2.480","2.480","10,000"
09/01/2021,"2.470","2.470","2.470","2.470","1,000"
08/31/2021,"2.470","2.480","2.470","2.470","18,000"
08/27/2021,"2.460","2.460","2.460","2.460","8,000"
08/26/2021,"2.460","2.460","2.460","2.460","4,000"
08/24/2021,"2.460","2.460","2.460","2.460","1,000"
08/20/2021,"2.300","2.300","2.300","2.300","8,000"
07/23/2021,"2.300","2.300","2.300","2.300","2,000"
07/15/2021,"2.300","2.300","2.300","2.300","1,000"
07/14/2021,"2.470","2.470","2.300","2.300","41,000"
06/28/2021,"2.280","2.280","2.280","2.280","1,000"
06/23/2021,"2.300","2.300","2.270","2.270","50,000"
06/16/2021,"2.260","2.260","2.260","2.260","3,000"
06/14/2021,"2.260","2.260","2.260","2.260","20,000"
05/21/2021,"2.330","2.330","2.330","2.330","10,000"
05/18/2021,"2.330","2.330","2.330","2.330","4,000"
05/12/2021,"2.330","2.330","2.330","2.330","30,000"
05/11/2021,"2.320","2.320","2.320","2.320","3,000"
04/29/2021,"2.310","2.310","2.310","2.310","15,000"
04/22/2021,"2.310","2.310","2.310","2.310","5,000"
04/21/2021,"2.300","2.300","2.300","2.300","7,000"
04/20/2021,"2.300","2.300","2.300","2.300","5,000"
04/07/2021,"2.300","2.300","2.250","2.300","61,000"
04/06/2021,"2.250","2.300","2.250","2.300","70,000"
04/05/2021,"2.300","2.300","2.300","2.300","1,000"
03/29/2021,"2.480","2.480","2.480","2.480","3,000"
03/25/2021,"2.260","2.260","2.260","2.260","65,000"
03/24/2021,"2.260","2.260","2.260","2.260","15,000"
03/22/2021,"2.260","2.350","2.260","2.350","16,000"
03/18/2021,"2.240","2.240","2.240","2.240","3,000"
03/16/2021,"2.240","2.240","2.240","2.240","3,000"
03/15/2021,"2.240","2.240","2.240","2.240","42,000"
03/10/2021,"2.240","2.240","2.240","2.240","2,000"
03/05/2021,"2.280","2.280","2.280","2.280","4,000"
03/04/2021,"2.300","2.300","2.240","2.240","6,000"
03/02/2021,"2.220","2.370","2.220","2.370","5,000"
03/01/2021,"2.210","2.210","2.210","2.210","1,000"
02/26/2021,"2.210","2.300","2.210","2.300","7,000"
02/24/2021,"2.220","2.220","2.210","2.210","66,000"
02/19/2021,"2.200","2.200","2.200","2.200","26,000"
02/18/2021,"2.200","2.200","2.200","2.200","1,000"
02/17/2021,"2.300","2.300","2.300","2.300","1,000"
02/11/2021,"2.380","2.380","2.380","2.380","7,000"
02/10/2021,"2.250","2.250","2.200","2.200","11,000"
02/09/2021,"2.140","2.200","2.140","2.200","61,000"
02/04/2021,"2.480","2.480","2.480","2.480","1,000"
02/03/2021,"2.090","2.480","2.090","2.480","9,000"
02/02/2021,"2.460","2.460","2.460","2.460","1,000"
01/29/2021,"2.300","2.300","2.300","2.300","2,000"
01/27/2021,"2.330","2.330","2.300","2.300","7,000"
01/26/2021,"2.350","2.350","2.350","2.350","3,000"
01/21/2021,"2.350","2.350","2.350","2.350","3,000"
01/19/2021,"2.290","2.290","2.290","2.290","6,000"
01/14/2021,"2.050","2.450","2.050","2.400","10,000"
01/11/2021,"2.300","2.300","2.300","2.300","2,000"
01/08/2021,"2.300","2.300","2.300","2.300","2,000"
01/04/2021,"2.350","2.350","2.350","2.350","10,000"
