Date,Open,High,Low,Close,Volume
12/21/2023,"14.12","14.12","14.12","14.12","2,000"
12/13/2023,"14.30","14.30","14.30","14.30","1,000"
12/12/2023,"14.30","14.30","14.30","14.30","1,200"
10/25/2023,"14.02","14.02","14.02","14.02","300"
10/13/2023,"14.50","14.50","14.50","14.50","500"
09/26/2023,"14.50","14.50","14.50","14.50","200"
09/12/2023,"15.80","15.80","14.50","14.50","45,600"
09/04/2023,"15.80","15.80","15.80","15.80","500"
09/01/2023,"15.80","15.80","15.80","15.80","3,500"
08/31/2023,"15.82","15.82","15.80","15.80","3,000"
08/15/2023,"15.82","15.82","15.80","15.80","5,000"
08/10/2023,"16.00","16.00","15.80","15.80","12,800"
08/08/2023,"15.86","15.86","15.84","15.84","2,800"
08/07/2023,"15.92","15.92","15.84","15.84","3,600"
07/05/2023,"15.82","15.82","15.80","15.80","2,000"
06/23/2023,"15.90","15.94","15.90","15.94","2,600"
06/07/2023,"18.00","18.00","18.00","18.00","400"
06/06/2023,"16.30","19.20","16.30","19.20","28,200"
06/05/2023,"14.92","14.92","14.90","14.90","1,000"
05/31/2023,"16.30","16.30","16.30","16.30","100"
05/22/2023,"16.28","16.28","16.28","16.28","1,000"
05/18/2023,"16.26","16.28","16.26","16.28","1,500"
05/17/2023,"16.14","16.28","16.14","16.28","5,000"
05/15/2023,"14.56","14.56","14.56","14.56","3,000"
05/12/2023,"14.58","14.58","14.58","14.58","600"
05/10/2023,"14.58","14.58","14.58","14.58","200"
04/13/2023,"15.10","15.10","15.00","15.00","4,400"
04/12/2023,"15.16","15.16","15.12","15.12","4,300"
03/31/2023,"15.06","15.06","15.00","15.00","2,700"
03/22/2023,"15.12","15.12","15.02","15.02","3,000"
03/07/2023,"14.00","14.00","14.00","14.00","10"
03/01/2023,"16.20","16.20","15.20","15.20","5,700"
02/28/2023,"16.00","16.00","16.00","16.00","900"
02/20/2023,"16.00","16.00","16.00","16.00","2,600"
02/16/2023,"15.80","16.18","15.80","16.18","7,400"
02/14/2023,"16.18","16.18","16.18","16.18","900"
02/10/2023,"16.12","16.18","16.12","16.18","1,500"
02/07/2023,"15.70","15.70","15.70","15.70","1,000"
02/02/2023,"15.70","15.70","15.70","15.70","1,000"
01/26/2023,"15.54","15.60","15.54","15.60","1,900"
01/23/2023,"14.80","14.80","14.80","14.80","1,000"
01/19/2023,"14.50","14.50","14.50","14.50","700"
01/18/2023,"15.70","15.70","15.70","15.70","900"
01/17/2023,"15.78","15.78","15.74","15.74","1,400"
01/10/2023,"13.60","14.00","13.60","14.00","500"
