Date,Open,High,Low,Close,Volume
12/27/2024,"2.440","2.450","2.430","2.430","176,000"
12/26/2024,"2.430","2.440","2.400","2.430","28,000"
12/23/2024,"2.390","2.470","2.390","2.420","1,057,000"
12/20/2024,"2.390","2.390","2.370","2.380","96,000"
12/19/2024,"2.380","2.400","2.380","2.380","50,000"
12/18/2024,"2.380","2.410","2.370","2.370","190,000"
12/17/2024,"2.410","2.420","2.380","2.380","149,000"
12/16/2024,"2.390","2.410","2.370","2.410","163,000"
12/13/2024,"2.390","2.390","2.350","2.380","309,000"
12/12/2024,"2.380","2.410","2.360","2.390","102,000"
12/11/2024,"2.380","2.400","2.380","2.390","168,000"
12/10/2024,"2.360","2.390","2.330","2.380","177,000"
12/09/2024,"2.390","2.390","2.340","2.340","243,000"
12/06/2024,"2.330","2.400","2.330","2.390","730,000"
12/05/2024,"2.430","2.440","2.330","2.330","475,000"
12/04/2024,"2.430","2.430","2.390","2.420","81,000"
12/03/2024,"2.400","2.430","2.380","2.430","250,000"
12/02/2024,"2.390","2.450","2.390","2.440","295,000"
11/29/2024,"2.460","2.470","2.400","2.460","63,000"
11/28/2024,"2.460","2.480","2.340","2.410","798,000"
11/27/2024,"2.490","2.490","2.460","2.460","196,000"
11/26/2024,"2.500","2.500","2.480","2.490","91,000"
11/25/2024,"2.500","2.500","2.470","2.480","62,000"
11/22/2024,"2.490","2.490","2.470","2.490","229,000"
11/21/2024,"2.480","2.510","2.460","2.490","112,000"
11/20/2024,"2.500","2.500","2.460","2.470","107,000"
11/19/2024,"2.500","2.500","2.480","2.490","110,000"
11/18/2024,"2.470","2.500","2.470","2.480","304,000"
11/15/2024,"2.530","2.540","2.450","2.460","820,000"
11/14/2024,"2.500","2.500","2.470","2.470","1,185,000"
11/13/2024,"2.510","2.530","2.500","2.510","311,000"
11/12/2024,"2.540","2.570","2.520","2.520","11,050,000"
11/11/2024,"2.580","2.610","2.540","2.540","399,000"
11/08/2024,"2.580","2.580","2.540","2.570","453,000"
11/07/2024,"2.600","2.610","2.550","2.550","5,966,000"
11/06/2024,"2.560","2.600","2.560","2.580","1,635,000"
11/05/2024,"2.510","2.550","2.500","2.550","369,000"
11/04/2024,"2.540","2.540","2.500","2.500","321,000"
10/31/2024,"2.490","2.560","2.490","2.520","228,000"
10/30/2024,"2.510","2.510","2.470","2.490","1,375,000"
10/29/2024,"2.540","2.570","2.500","2.510","2,037,000"
10/28/2024,"2.550","2.550","2.540","2.540","1,353,000"
10/25/2024,"2.600","2.620","2.540","2.550","1,512,000"
10/24/2024,"2.670","2.670","2.580","2.600","623,000"
10/23/2024,"2.650","2.660","2.620","2.620","791,000"
10/22/2024,"2.660","2.680","2.660","2.660","861,000"
10/21/2024,"2.700","2.740","2.660","2.670","501,000"
10/18/2024,"2.680","2.700","2.650","2.700","293,000"
10/17/2024,"2.770","2.800","2.680","2.690","1,377,000"
10/16/2024,"2.790","2.790","2.720","2.770","438,000"
10/15/2024,"2.860","2.870","2.780","2.790","1,585,000"
10/14/2024,"2.830","2.850","2.810","2.840","461,000"
10/11/2024,"2.850","2.850","2.780","2.780","513,000"
10/10/2024,"2.820","2.870","2.810","2.810","329,000"
10/09/2024,"2.880","2.880","2.800","2.820","756,000"
10/08/2024,"2.850","2.900","2.840","2.880","1,916,000"
10/07/2024,"2.750","2.830","2.730","2.830","2,289,000"
10/04/2024,"2.700","2.760","2.700","2.750","790,000"
10/03/2024,"2.600","2.700","2.600","2.670","699,000"
10/02/2024,"2.700","2.750","2.590","2.590","2,711,000"
10/01/2024,"2.670","2.710","2.670","2.690","656,000"
09/30/2024,"2.730","2.730","2.650","2.670","432,000"
09/27/2024,"2.720","2.770","2.720","2.730","1,021,000"
09/26/2024,"2.600","2.710","2.590","2.710","1,854,000"
09/25/2024,"2.590","2.600","2.580","2.590","427,000"
09/24/2024,"2.580","2.590","2.570","2.580","855,000"
09/23/2024,"2.580","2.580","2.550","2.570","745,000"
09/20/2024,"2.590","2.590","2.540","2.580","2,347,000"
09/19/2024,"2.580","2.590","2.560","2.560","573,000"
09/18/2024,"2.560","2.560","2.530","2.540","1,033,000"
09/17/2024,"2.550","2.570","2.540","2.540","1,127,000"
09/16/2024,"2.540","2.590","2.530","2.580","1,041,000"
09/13/2024,"2.550","2.580","2.510","2.530","2,542,000"
09/12/2024,"2.530","2.580","2.530","2.540","320,000"
09/11/2024,"2.580","2.580","2.520","2.530","779,000"
09/10/2024,"2.510","2.570","2.510","2.570","728,000"
09/09/2024,"2.580","2.580","2.510","2.510","1,984,000"
09/06/2024,"2.590","2.600","2.570","2.570","617,000"
09/05/2024,"2.570","2.590","2.540","2.580","789,000"
09/04/2024,"2.590","2.600","2.550","2.570","554,000"
09/03/2024,"2.570","2.600","2.560","2.580","763,000"
09/02/2024,"2.600","2.610","2.580","2.580","657,000"
08/30/2024,"2.590","2.600","2.580","2.600","368,000"
08/29/2024,"2.580","2.610","2.570","2.590","397,000"
08/28/2024,"2.610","2.630","2.600","2.600","506,000"
08/27/2024,"2.600","2.620","2.580","2.610","266,000"
08/22/2024,"2.570","2.600","2.550","2.600","275,000"
08/21/2024,"2.580","2.600","2.530","2.600","1,233,000"
08/20/2024,"2.500","2.620","2.500","2.580","1,743,000"
08/19/2024,"2.500","2.520","2.490","2.500","1,585,000"
08/16/2024,"2.500","2.520","2.490","2.500","1,059,000"
08/15/2024,"2.490","2.500","2.480","2.500","435,000"
08/14/2024,"2.490","2.550","2.490","2.490","842,000"
08/13/2024,"2.570","2.570","2.500","2.500","558,000"
08/12/2024,"2.510","2.560","2.500","2.500","381,000"
08/09/2024,"2.570","2.590","2.500","2.500","2,495,000"
08/08/2024,"2.500","2.540","2.480","2.500","3,916,000"
08/07/2024,"2.540","2.550","2.490","2.500","2,442,000"
08/06/2024,"2.530","2.550","2.500","2.500","2,142,000"
08/05/2024,"2.550","2.550","2.520","2.520","709,000"
08/02/2024,"2.570","2.570","2.530","2.550","226,000"
08/01/2024,"2.620","2.640","2.530","2.570","1,391,000"
07/31/2024,"2.610","2.630","2.600","2.610","856,000"
07/30/2024,"2.600","2.610","2.600","2.610","1,358,000"
07/29/2024,"2.600","2.620","2.570","2.600","424,000"
07/26/2024,"2.620","2.620","2.590","2.600","183,000"
07/25/2024,"2.600","2.600","2.590","2.600","49,000"
07/23/2024,"2.630","2.630","2.590","2.600","267,000"
07/22/2024,"2.600","2.620","2.580","2.620","301,000"
07/19/2024,"2.660","2.660","2.580","2.590","1,349,000"
07/18/2024,"2.600","2.690","2.590","2.600","863,000"
07/17/2024,"2.660","2.660","2.590","2.600","656,000"
07/16/2024,"2.700","2.700","2.630","2.660","2,260,000"
07/15/2024,"2.720","2.720","2.690","2.720","475,000"
07/12/2024,"2.770","2.770","2.700","2.720","113,000"
07/11/2024,"2.710","2.740","2.710","2.710","24,000"
07/10/2024,"2.750","2.750","2.700","2.730","669,000"
07/09/2024,"2.790","2.790","2.720","2.720","222,000"
07/08/2024,"2.710","2.750","2.710","2.750","182,000"
07/05/2024,"2.680","2.850","2.680","2.750","402,000"
07/04/2024,"2.700","2.740","2.670","2.680","79,000"
07/03/2024,"2.700","2.700","2.670","2.680","401,000"
07/02/2024,"2.750","2.750","2.690","2.690","213,000"
07/01/2024,"2.720","2.720","2.690","2.700","176,000"
