Date,Open,High,Low,Close,Volume
12/27/2024,"30.90","31.00","30.65","30.85","586,900"
12/26/2024,"30.95","31.10","30.50","31.10","246,800"
12/23/2024,"30.25","31.00","30.25","31.00","256,500"
12/20/2024,"30.20","31.00","29.85","31.00","1,145,200"
12/19/2024,"30.60","30.60","29.90","30.20","1,790,000"
12/18/2024,"30.45","30.60","30.20","30.60","647,700"
12/17/2024,"30.55","30.55","30.25","30.45","875,100"
12/16/2024,"30.80","30.80","30.25","30.25","6,626,900"
12/13/2024,"30.55","31.00","30.00","31.00","1,495,600"
12/12/2024,"30.45","30.50","30.30","30.50","1,081,100"
12/11/2024,"30.45","30.85","30.20","30.45","2,465,200"
12/10/2024,"30.20","30.50","30.00","30.40","2,054,200"
12/09/2024,"30.45","30.45","29.80","30.20","611,200"
12/06/2024,"30.90","30.90","29.35","30.00","1,551,100"
12/05/2024,"30.85","31.10","30.60","30.90","1,069,100"
12/04/2024,"30.20","31.05","30.20","30.80","1,368,500"
12/03/2024,"30.70","31.10","30.50","30.85","1,246,400"
12/02/2024,"30.60","30.80","29.90","30.70","352,200"
11/29/2024,"30.95","30.95","29.70","30.60","856,600"
11/28/2024,"30.45","31.30","29.85","30.90","790,200"
11/27/2024,"31.25","31.55","30.25","30.90","689,300"
11/26/2024,"30.60","31.70","30.40","31.40","1,107,500"
11/25/2024,"30.45","30.80","30.00","30.50","834,700"
11/22/2024,"30.40","30.45","29.80","30.00","787,300"
11/21/2024,"30.20","30.90","30.20","30.40","801,400"
11/20/2024,"30.00","30.30","29.80","30.20","1,245,900"
11/19/2024,"29.95","30.25","29.75","29.85","727,900"
11/18/2024,"29.45","30.00","29.45","30.00","991,400"
11/15/2024,"29.30","30.15","29.30","29.40","1,400,600"
11/14/2024,"29.90","30.20","29.00","29.30","1,022,200"
11/13/2024,"31.60","31.60","29.50","29.90","1,375,000"
11/12/2024,"31.70","31.80","30.85","31.60","872,200"
11/11/2024,"32.00","32.10","31.25","31.70","333,200"
11/08/2024,"30.90","32.35","30.25","32.00","1,950,600"
11/07/2024,"32.00","32.00","30.25","30.95","1,926,600"
11/06/2024,"31.75","31.95","31.55","31.75","288,200"
11/05/2024,"31.65","32.35","31.50","31.75","761,400"
11/04/2024,"32.55","32.60","31.65","31.65","1,179,100"
10/31/2024,"31.90","32.75","31.75","32.60","1,801,100"
10/30/2024,"32.00","32.00","31.25","31.90","1,379,400"
10/29/2024,"32.95","32.95","31.30","32.00","3,238,000"
10/28/2024,"32.95","32.95","32.50","32.95","1,086,400"
10/25/2024,"32.35","33.00","32.20","33.00","4,585,600"
10/24/2024,"32.85","32.85","32.15","32.35","501,300"
10/23/2024,"32.80","32.95","32.60","32.90","220,800"
10/22/2024,"32.80","33.20","32.25","32.80","2,396,600"
10/21/2024,"33.00","33.25","32.75","32.95","403,200"
10/18/2024,"33.25","33.65","32.60","33.00","4,333,000"
10/17/2024,"34.30","34.30","33.20","33.20","1,653,200"
10/16/2024,"33.00","34.45","33.00","34.45","14,167,400"
10/15/2024,"32.30","33.20","32.30","33.00","2,984,900"
10/14/2024,"32.00","32.85","32.00","32.50","1,804,200"
10/11/2024,"32.70","32.80","31.40","32.00","2,134,100"
10/10/2024,"32.90","33.00","32.20","32.55","1,188,300"
10/09/2024,"33.40","33.60","32.70","32.80","1,501,800"
10/08/2024,"33.65","33.65","33.20","33.40","3,340,800"
10/07/2024,"31.50","33.85","31.50","33.85","9,048,800"
10/04/2024,"31.60","31.70","31.20","31.20","1,392,200"
10/03/2024,"31.45","31.90","31.45","31.60","826,200"
10/02/2024,"31.55","31.95","31.40","31.45","1,723,300"
10/01/2024,"31.50","31.70","31.35","31.55","562,200"
09/30/2024,"32.05","32.20","31.35","31.50","1,418,500"
09/27/2024,"32.15","32.40","31.70","32.05","2,368,500"
09/26/2024,"30.65","32.25","30.65","32.00","4,890,500"
09/25/2024,"30.40","30.90","30.20","30.60","2,497,200"
09/24/2024,"30.40","30.90","30.40","30.40","1,460,900"
09/23/2024,"29.90","30.50","29.75","30.40","10,206,600"
09/20/2024,"30.10","30.65","29.70","29.70","4,072,300"
09/19/2024,"29.25","30.40","29.00","30.05","4,621,000"
09/18/2024,"29.00","29.60","29.00","29.30","1,119,100"
09/17/2024,"29.00","29.40","28.90","29.00","3,350,900"
09/16/2024,"29.00","29.70","28.65","29.20","626,500"
09/13/2024,"29.85","30.15","28.70","29.00","1,614,500"
09/12/2024,"30.00","30.10","29.80","29.85","2,574,400"
09/11/2024,"30.25","30.25","29.25","30.00","1,805,900"
09/10/2024,"31.00","31.35","30.25","30.25","1,959,000"
09/09/2024,"29.95","31.25","29.55","30.85","5,119,900"
09/06/2024,"29.10","30.20","28.85","30.00","5,664,800"
09/05/2024,"28.15","29.10","28.05","29.10","3,110,700"
09/04/2024,"27.80","28.15","27.50","28.15","1,085,100"
09/03/2024,"28.10","28.10","27.80","27.90","1,247,600"
09/02/2024,"27.75","28.10","27.50","28.10","1,464,800"
08/30/2024,"27.50","27.80","27.00","27.75","2,269,900"
08/29/2024,"27.05","27.50","27.05","27.40","468,700"
08/28/2024,"27.40","27.60","26.80","27.05","725,600"
08/27/2024,"27.35","27.85","27.35","27.40","720,400"
08/22/2024,"27.70","27.95","27.35","27.35","712,400"
