Date,Open,High,Low,Close,Volume
12/29/2022,"0.285","0.290","0.280","0.290","630,000"
12/28/2022,"0.295","0.300","0.285","0.285","780,000"
12/27/2022,"0.300","0.300","0.280","0.290","2,100,000"
12/23/2022,"0.280","0.290","0.270","0.290","2,370,000"
12/22/2022,"0.280","0.300","0.275","0.280","2,400,000"
12/21/2022,"0.280","0.285","0.275","0.280","2,600,000"
12/20/2022,"0.285","0.285","0.275","0.285","2,480,000"
12/19/2022,"0.285","0.295","0.285","0.285","1,340,000"
12/16/2022,"0.290","0.300","0.290","0.290","900,000"
12/15/2022,"0.290","0.290","0.285","0.290","320,000"
12/14/2022,"0.290","0.295","0.285","0.290","560,000"
12/13/2022,"0.290","0.300","0.285","0.290","1,700,000"
12/12/2022,"0.290","0.305","0.290","0.295","1,650,000"
12/09/2022,"0.310","0.315","0.295","0.295","4,140,000"
12/07/2022,"0.310","0.325","0.305","0.310","1,760,000"
12/06/2022,"0.320","0.325","0.310","0.325","1,250,000"
12/05/2022,"0.320","0.335","0.310","0.320","3,510,000"
12/02/2022,"0.320","0.325","0.305","0.320","4,660,000"
12/01/2022,"0.335","0.340","0.310","0.320","5,590,000"
11/29/2022,"0.315","0.340","0.300","0.325","24,250,000"
11/28/2022,"0.265","0.320","0.265","0.310","16,860,000"
11/25/2022,"0.260","0.270","0.260","0.270","2,180,000"
11/24/2022,"0.265","0.275","0.260","0.260","2,590,000"
11/23/2022,"0.265","0.270","0.260","0.265","2,520,000"
11/22/2022,"0.270","0.270","0.260","0.265","1,850,000"
11/21/2022,"0.270","0.270","0.265","0.270","1,760,000"
11/18/2022,"0.265","0.270","0.260","0.265","1,060,000"
11/17/2022,"0.260","0.270","0.260","0.265","1,460,000"
11/16/2022,"0.255","0.265","0.255","0.260","1,240,000"
11/15/2022,"0.255","0.265","0.255","0.265","570,000"
11/14/2022,"0.255","0.265","0.255","0.255","1,210,000"
11/11/2022,"0.260","0.270","0.255","0.255","2,220,000"
11/10/2022,"0.260","0.265","0.260","0.260","1,470,000"
11/09/2022,"0.265","0.265","0.255","0.260","1,550,000"
11/08/2022,"0.270","0.270","0.255","0.255","4,680,000"
11/07/2022,"0.270","0.285","0.260","0.260","5,070,000"
11/04/2022,"0.275","0.275","0.265","0.275","1,240,000"
11/03/2022,"0.265","0.275","0.265","0.275","760,000"
11/02/2022,"0.270","0.270","0.260","0.265","1,310,000"
10/28/2022,"0.280","0.280","0.270","0.270","1,670,000"
10/27/2022,"0.270","0.280","0.270","0.280","1,590,000"
10/26/2022,"0.270","0.270","0.265","0.270","690,000"
10/25/2022,"0.270","0.275","0.270","0.270","830,000"
10/24/2022,"0.270","0.275","0.265","0.275","830,000"
10/21/2022,"0.265","0.275","0.260","0.275","2,430,000"
10/20/2022,"0.270","0.270","0.265","0.265","1,140,000"
10/19/2022,"0.270","0.285","0.265","0.270","6,130,000"
10/18/2022,"0.275","0.280","0.270","0.270","760,000"
10/17/2022,"0.270","0.275","0.265","0.270","1,290,000"
10/14/2022,"0.275","0.295","0.270","0.270","3,450,000"
10/13/2022,"0.265","0.275","0.265","0.265","410,000"
10/12/2022,"0.275","0.280","0.265","0.275","1,200,000"
10/11/2022,"0.275","0.285","0.275","0.275","3,330,000"
10/10/2022,"0.280","0.280","0.260","0.270","6,650,000"
