Date,Open,High,Low,Close,Volume
12/29/2020,"1.010","1.130","0.970","1.100","210,542,000"
12/28/2020,"1.030","1.040","0.990","1.000","86,639,000"
12/23/2020,"1.000","1.050","0.960","1.040","63,857,000"
12/22/2020,"1.040","1.080","0.990","1.020","95,257,000"
12/21/2020,"1.010","1.060","0.970","1.030","94,744,000"
12/18/2020,"1.140","1.150","1.000","1.010","204,471,016"
12/17/2020,"1.190","1.250","1.070","1.080","355,597,000"
12/16/2020,"1.000","1.200","1.000","1.170","307,708,000"
12/15/2020,"1.030","1.070","0.980","0.990","236,011,016"
12/14/2020,"1.050","1.110","1.020","1.050","326,180,000"
12/11/2020,"0.880","1.000","0.850","0.980","411,521,000"
12/10/2020,"0.750","0.840","0.740","0.840","200,028,984"
12/09/2020,"0.740","0.760","0.720","0.750","23,218,000"
12/07/2020,"0.760","0.760","0.730","0.740","28,963,000"
12/04/2020,"0.750","0.760","0.730","0.760","20,483,000"
12/03/2020,"0.770","0.780","0.730","0.750","62,111,000"
12/02/2020,"0.800","0.800","0.750","0.770","66,558,000"
12/01/2020,"0.720","0.790","0.720","0.790","94,624,000"
11/27/2020,"0.680","0.720","0.660","0.700","85,152,000"
11/26/2020,"0.720","0.750","0.680","0.700","67,781,000"
11/25/2020,"0.790","0.800","0.710","0.720","120,621,000"
11/24/2020,"0.810","0.820","0.760","0.780","88,154,000"
11/23/2020,"0.790","0.830","0.750","0.810","190,006,000"
11/20/2020,"0.820","0.870","0.780","0.800","382,220,000"
11/19/2020,"0.610","0.820","0.580","0.770","629,010,000"
11/18/2020,"0.500","0.580","0.475","0.580","118,028,000"
11/17/2020,"0.530","0.620","0.485","0.510","352,249,969"
11/16/2020,"0.530","0.530","0.450","0.530","218,770,000"
10/29/2020,"0.360","0.380","0.350","0.355","43,630,000"
10/28/2020,"0.350","0.370","0.335","0.365","40,540,000"
10/27/2020,"0.350","0.350","0.320","0.340","22,630,000"
10/26/2020,"0.350","0.350","0.330","0.350","35,860,000"
10/23/2020,"0.295","0.330","0.295","0.330","63,860,000"
10/22/2020,"0.285","0.295","0.285","0.295","16,250,000"
10/21/2020,"0.280","0.290","0.275","0.285","14,580,000"
10/20/2020,"0.275","0.285","0.265","0.275","13,680,000"
10/19/2020,"0.290","0.295","0.260","0.275","46,750,000"
10/16/2020,"0.280","0.290","0.270","0.290","32,710,000"
10/15/2020,"0.300","0.305","0.280","0.290","86,600,000"
10/14/2020,"0.249","0.295","0.249","0.290","150,130,000"
10/13/2020,"0.260","0.265","0.246","0.249","16,810,000"
10/12/2020,"0.249","0.270","0.240","0.260","57,380,000"
10/09/2020,"0.225","0.255","0.223","0.236","55,950,000"
10/08/2020,"0.220","0.228","0.219","0.225","9,180,000"
10/07/2020,"0.220","0.224","0.219","0.221","2,140,000"
10/06/2020,"0.220","0.224","0.217","0.220","7,220,000"
10/05/2020,"0.222","0.225","0.218","0.220","5,980,000"
10/02/2020,"0.224","0.225","0.220","0.221","5,930,000"
10/01/2020,"0.226","0.226","0.220","0.221","5,880,000"
09/30/2020,"0.226","0.226","0.222","0.226","3,420,000"
09/29/2020,"0.226","0.227","0.223","0.226","2,440,000"
09/28/2020,"0.227","0.233","0.226","0.226","5,110,000"
09/25/2020,"0.227","0.227","0.224","0.226","2,770,000"
09/24/2020,"0.220","0.227","0.219","0.227","5,800,000"
09/23/2020,"0.220","0.226","0.220","0.220","3,720,000"
09/22/2020,"0.224","0.224","0.220","0.221","6,290,000"
09/21/2020,"0.226","0.226","0.220","0.224","9,610,000"
09/18/2020,"0.227","0.230","0.225","0.226","2,360,000"
09/17/2020,"0.232","0.234","0.225","0.227","10,430,000"
09/16/2020,"0.221","0.232","0.220","0.231","12,920,000"
09/15/2020,"0.225","0.225","0.221","0.223","4,360,000"
09/14/2020,"0.223","0.225","0.220","0.224","4,120,000"
09/11/2020,"0.219","0.222","0.219","0.220","2,780,000"
09/10/2020,"0.219","0.223","0.219","0.221","2,500,000"
09/09/2020,"0.221","0.223","0.218","0.219","17,750,000"
09/08/2020,"0.222","0.226","0.221","0.223","2,790,000"
09/07/2020,"0.223","0.224","0.221","0.222","2,840,000"
09/04/2020,"0.229","0.229","0.220","0.227","4,610,000"
09/03/2020,"0.219","0.229","0.216","0.229","14,070,000"
09/02/2020,"0.220","0.224","0.219","0.219","8,470,000"
09/01/2020,"0.231","0.231","0.218","0.220","18,490,000"
08/28/2020,"0.231","0.233","0.228","0.230","6,520,000"
08/27/2020,"0.228","0.231","0.225","0.230","8,060,000"
08/26/2020,"0.234","0.238","0.229","0.230","15,060,000"
08/25/2020,"0.243","0.244","0.231","0.238","19,250,000"
08/24/2020,"0.230","0.242","0.225","0.242","48,800,000"
08/20/2020,"0.223","0.233","0.222","0.225","35,980,000"
08/19/2020,"0.214","0.228","0.214","0.222","59,990,000"
08/18/2020,"0.214","0.218","0.212","0.217","6,650,000"
08/17/2020,"0.219","0.219","0.213","0.214","10,670,000"
08/14/2020,"0.224","0.224","0.218","0.219","3,940,000"
08/13/2020,"0.220","0.225","0.218","0.224","3,040,000"
08/12/2020,"0.233","0.233","0.220","0.221","9,740,000"
08/11/2020,"0.236","0.236","0.228","0.231","5,200,000"
08/10/2020,"0.228","0.238","0.228","0.236","13,540,000"
08/07/2020,"0.231","0.236","0.222","0.224","22,310,000"
08/06/2020,"0.216","0.235","0.213","0.228","23,720,000"
08/05/2020,"0.210","0.215","0.210","0.215","1,280,000"
08/04/2020,"0.210","0.211","0.208","0.211","1,740,000"
08/03/2020,"0.215","0.215","0.205","0.210","6,860,000"
