Date,Open,High,Low,Close,Volume
12/29/2020,"1.91","1.98","1.86","1.92","836,000"
12/28/2020,"1.94","1.95","1.87","1.90","1,751,000"
12/23/2020,"1.95","2.00","1.93","1.98","636,000"
12/22/2020,"2.04","2.10","1.95","2.00","1,635,000"
12/21/2020,"2.09","2.09","2.01","2.04","1,177,000"
12/18/2020,"2.12","2.12","2.05","2.09","827,000"
12/17/2020,"2.10","2.16","2.02","2.08","717,000"
12/16/2020,"2.13","2.14","2.01","2.11","1,142,000"
12/15/2020,"2.00","2.15","2.00","2.12","4,088,000"
12/14/2020,"1.91","1.97","1.91","1.97","498,000"
12/11/2020,"1.92","1.92","1.84","1.91","612,000"
12/10/2020,"1.92","1.92","1.88","1.88","284,000"
12/09/2020,"1.90","1.93","1.86","1.91","425,000"
12/07/2020,"1.94","1.94","1.85","1.90","333,000"
12/04/2020,"1.90","1.93","1.87","1.90","666,000"
12/03/2020,"1.84","1.89","1.84","1.89","413,000"
12/02/2020,"1.88","1.88","1.82","1.84","452,000"
12/01/2020,"1.82","1.89","1.79","1.87","613,000"
11/27/2020,"1.86","1.92","1.83","1.85","415,000"
11/26/2020,"2.00","2.03","1.84","1.86","1,413,000"
11/25/2020,"1.92","2.04","1.90","1.99","2,739,000"
11/24/2020,"1.80","1.93","1.80","1.91","2,852,000"
11/23/2020,"1.70","1.79","1.68","1.79","1,924,000"
11/20/2020,"1.64","1.74","1.60","1.68","1,807,000"
11/19/2020,"1.65","1.65","1.60","1.65","251,000"
11/18/2020,"1.63","1.68","1.63","1.64","959,000"
11/17/2020,"1.61","1.64","1.61","1.61","538,000"
11/16/2020,"1.63","1.63","1.61","1.62","453,000"
11/13/2020,"1.64","1.64","1.58","1.63","293,000"
11/11/2020,"1.61","1.64","1.58","1.64","588,000"
11/10/2020,"1.60","1.62","1.57","1.61","338,000"
11/09/2020,"1.60","1.60","1.57","1.58","515,000"
11/06/2020,"1.60","1.61","1.57","1.60","353,000"
11/05/2020,"1.63","1.64","1.59","1.60","463,000"
