Date,Open,High,Low,Close,Volume
12/29/2023,"18.50","18.52","18.48","18.50","149,600"
12/28/2023,"18.42","18.48","18.42","18.48","79,500"
12/27/2023,"18.40","18.42","18.36","18.40","62,600"
12/22/2023,"18.30","18.40","18.30","18.40","38,500"
12/21/2023,"18.30","18.36","18.28","18.36","41,700"
12/20/2023,"18.30","18.36","18.24","18.30","12,700"
12/19/2023,"18.36","18.38","18.26","18.38","44,300"
12/18/2023,"18.36","18.40","18.26","18.26","17,900"
12/15/2023,"18.24","18.40","18.24","18.36","25,900"
12/14/2023,"18.24","18.38","18.24","18.38","6,900"
12/13/2023,"18.20","18.38","18.20","18.38","69,400"
12/12/2023,"18.20","18.28","18.20","18.24","2,500"
12/11/2023,"18.44","18.44","18.16","18.16","273,200"
12/07/2023,"18.42","18.46","18.42","18.46","20,600"
12/06/2023,"18.50","18.50","18.44","18.44","27,100"
12/05/2023,"18.52","18.52","18.46","18.46","49,400"
12/04/2023,"18.54","18.54","18.50","18.54","10,000"
12/01/2023,"18.46","18.52","18.46","18.52","55,300"
11/30/2023,"18.46","18.46","18.40","18.44","55,700"
11/29/2023,"18.40","18.46","18.40","18.46","32,500"
11/28/2023,"18.50","18.50","18.46","18.50","42,500"
11/24/2023,"18.44","18.46","18.44","18.44","10,900"
11/23/2023,"18.50","18.50","18.44","18.50","11,200"
11/22/2023,"18.40","18.40","18.40","18.40","300"
11/21/2023,"18.44","18.44","18.40","18.42","33,300"
11/20/2023,"18.64","18.66","18.40","18.58","40,100"
11/17/2023,"18.44","18.64","18.44","18.64","1,600"
11/16/2023,"18.60","18.64","18.40","18.50","102,500"
11/15/2023,"18.34","18.62","18.32","18.60","19,000"
11/14/2023,"18.30","18.62","18.30","18.52","75,100"
11/13/2023,"18.34","18.60","18.34","18.40","50,100"
11/10/2023,"18.50","18.50","18.32","18.34","34,100"
11/09/2023,"18.42","18.52","18.40","18.50","24,400"
11/08/2023,"18.40","18.62","18.40","18.54","62,900"
11/07/2023,"18.50","18.50","18.40","18.50","22,300"
11/06/2023,"18.64","18.68","18.28","18.60","88,900"
11/03/2023,"18.24","18.62","18.24","18.62","3,800"
10/31/2023,"18.40","18.66","18.20","18.66","20,200"
10/27/2023,"18.50","18.50","18.40","18.40","47,300"
10/26/2023,"18.50","18.66","18.50","18.64","9,900"
