Date,Open,High,Low,Close,Volume
12/29/2022,"5.60","5.60","5.05","5.05","2,600"
12/28/2022,"5.73","5.73","5.73","5.73","2,000"
12/23/2022,"5.40","5.40","5.40","5.40","200"
12/22/2022,"5.50","5.50","5.09","5.09","5,200"
12/21/2022,"5.45","5.50","5.45","5.50","4,700"
12/15/2022,"5.54","5.54","5.50","5.50","1,100"
12/13/2022,"5.54","5.54","5.54","5.54","2,800"
12/12/2022,"5.40","5.54","5.40","5.54","4,200"
12/07/2022,"5.54","5.54","5.40","5.40","2,300"
12/01/2022,"5.40","5.40","5.40","5.40","1,000"
11/28/2022,"5.36","5.38","5.06","5.37","33,400"
11/24/2022,"5.37","5.38","5.37","5.38","1,300"
11/23/2022,"5.10","5.10","5.10","5.10","2,000"
11/22/2022,"5.48","5.48","5.48","5.48","2,500"
11/18/2022,"5.06","5.48","5.06","5.48","800"
11/17/2022,"5.05","5.49","5.05","5.49","12,300"
11/16/2022,"5.49","5.49","5.49","5.49","1,900"
11/15/2022,"5.49","5.49","5.49","5.49","2,900"
11/14/2022,"5.01","5.01","5.00","5.00","10,000"
11/11/2022,"5.01","5.01","5.00","5.01","5,400"
11/10/2022,"5.01","5.01","5.01","5.01","12,200"
11/08/2022,"5.49","5.49","5.49","5.49","200"
11/03/2022,"5.00","5.01","5.00","5.00","176,900"
10/27/2022,"5.12","5.12","5.05","5.05","3,000"
10/26/2022,"5.20","5.20","5.00","5.00","120,200"
10/24/2022,"5.20","5.20","5.20","5.20","200"
10/20/2022,"5.48","5.48","5.48","5.48","1,300"
10/19/2022,"5.48","5.48","5.48","5.48","1,700"
10/13/2022,"5.48","5.48","5.48","5.48","200"
10/12/2022,"5.48","5.48","5.15","5.15","8,500"
10/11/2022,"5.50","5.50","5.50","5.50","3,700"
10/10/2022,"5.50","5.50","5.50","5.50","100"
10/05/2022,"5.00","5.50","5.00","5.50","200"
10/04/2022,"5.50","5.50","5.20","5.20","10,500"
10/03/2022,"5.20","5.20","5.20","5.20","10,000"
09/30/2022,"5.30","5.40","5.22","5.40","42,000"
09/29/2022,"5.30","5.30","5.30","5.30","16,400"
09/28/2022,"5.30","5.30","5.30","5.30","14,000"
09/27/2022,"5.30","5.30","5.30","5.30","35,000"
09/23/2022,"5.30","5.30","5.30","5.30","500"
09/22/2022,"5.48","5.48","5.30","5.45","13,900"
09/21/2022,"5.48","5.48","5.48","5.48","300"
09/20/2022,"5.50","5.50","5.50","5.50","3,600"
09/19/2022,"5.35","5.50","5.30","5.50","40,200"
09/16/2022,"5.53","5.53","5.50","5.50","400"
09/15/2022,"5.50","5.50","5.50","5.50","200"
