Date,Open,High,Low,Close,Volume
12/29/2023,"6.39","6.40","6.35","6.40","12,000"
12/19/2023,"6.84","6.84","6.84","6.84","1,000"
12/13/2023,"5.26","5.26","5.26","5.26","500"
12/12/2023,"5.18","5.18","5.17","5.17","12,000"
12/05/2023,"7.21","7.21","7.21","7.21","100"
10/10/2023,"6.51","7.29","6.51","7.29","300"
09/29/2023,"7.19","7.25","7.19","7.25","14,300"
09/15/2023,"6.50","6.50","6.50","6.50","100"
09/07/2023,"7.19","7.19","6.89","7.19","30,500"
09/06/2023,"5.04","5.04","5.04","5.04","1,100"
08/29/2023,"7.18","7.18","7.18","7.18","400"
08/22/2023,"7.19","7.19","6.00","6.00","900"
08/18/2023,"5.50","5.50","5.01","5.01","800"
08/08/2023,"7.11","7.14","6.69","6.69","10,400"
07/31/2023,"6.90","6.90","5.03","5.03","200"
07/18/2023,"7.29","7.29","7.17","7.17","600"
07/10/2023,"6.20","6.20","6.20","6.20","200"
06/30/2023,"5.66","6.50","5.66","6.50","10,000"
06/20/2023,"4.93","4.93","4.93","4.93","10,000"
06/09/2023,"4.93","4.93","4.93","4.93","2,000"
06/05/2023,"4.88","4.90","4.88","4.90","1,200"
04/26/2023,"7.00","7.00","6.95","6.95","2,100"
02/10/2023,"5.52","5.52","5.52","5.52","100"
02/03/2023,"5.52","5.52","5.52","5.52","100"
01/25/2023,"7.00","7.00","7.00","7.00","500"
01/24/2023,"7.00","7.00","7.00","7.00","100"
01/16/2023,"6.38","6.38","6.38","6.38","1,000"
01/13/2023,"5.56","5.56","5.56","5.56","1,000"
01/04/2023,"7.87","7.87","7.87","7.87","10,000"
