Date,Open,High,Low,Close,Volume
12/29/2020,"6.70","7.40","6.70","7.40","41,800"
12/28/2020,"6.71","6.99","6.71","6.99","2,100"
12/23/2020,"6.90","6.90","6.90","6.90","100"
12/22/2020,"6.90","6.90","6.90","6.90","1,300"
12/21/2020,"7.00","7.00","7.00","7.00","3,000"
12/18/2020,"7.15","7.44","7.15","7.20","10,100"
12/17/2020,"7.00","7.39","7.00","7.30","8,400"
12/16/2020,"6.90","7.00","6.90","7.00","12,900"
12/15/2020,"6.85","6.90","6.85","6.90","2,500"
12/11/2020,"6.90","6.90","6.90","6.90","4,000"
12/10/2020,"6.80","6.90","6.80","6.90","1,200"
12/09/2020,"6.90","6.90","6.90","6.90","100"
12/07/2020,"6.80","6.80","6.80","6.80","400"
12/04/2020,"6.70","6.90","6.70","6.80","6,100"
12/03/2020,"6.70","6.70","6.70","6.70","4,500"
11/27/2020,"6.71","6.95","6.71","6.95","4,200"
11/26/2020,"6.90","6.90","6.70","6.70","4,200"
11/24/2020,"6.99","6.99","6.99","6.99","4,400"
11/23/2020,"6.70","6.90","6.70","6.90","6,500"
11/20/2020,"6.66","7.00","6.66","7.00","1,200"
11/19/2020,"6.66","6.66","6.66","6.66","8,400"
11/18/2020,"6.77","7.19","6.66","6.66","44,000"
11/17/2020,"6.77","6.77","6.77","6.77","2,200"
11/16/2020,"7.24","7.24","6.70","6.75","14,500"
11/13/2020,"6.80","6.80","6.70","6.70","6,100"
11/11/2020,"6.64","6.80","6.64","6.80","12,700"
11/10/2020,"7.24","7.24","7.10","7.10","1,300"
11/09/2020,"6.65","6.65","6.65","6.65","10,500"
11/06/2020,"7.00","7.00","7.00","7.00","300"
11/04/2020,"6.65","6.89","6.65","6.89","12,800"
11/03/2020,"7.00","7.00","7.00","7.00","1,600"
10/30/2020,"7.00","7.00","6.60","7.00","105,200"
10/29/2020,"7.05","7.05","7.00","7.00","5,000"
10/27/2020,"7.45","7.45","7.05","7.05","1,700"
10/26/2020,"7.05","7.07","7.05","7.05","50,900"
10/23/2020,"7.79","7.79","7.06","7.06","13,900"
10/22/2020,"7.07","7.38","7.07","7.38","119,000"
10/21/2020,"7.89","7.89","7.89","7.89","100"
10/16/2020,"7.89","7.89","7.89","7.89","100"
10/14/2020,"7.11","7.89","7.05","7.89","16,100"
09/18/2020,"7.89","7.89","7.89","7.89","200"
08/28/2020,"7.89","7.89","7.89","7.89","500"
08/17/2020,"7.60","7.60","7.60","7.60","281,900"
08/12/2020,"7.60","7.60","7.60","7.60","3,100"
08/04/2020,"7.60","7.60","7.60","7.60","50,000"
07/30/2020,"7.90","7.90","7.90","7.90","100"
07/29/2020,"7.90","7.90","7.90","7.90","250,000"
07/28/2020,"7.89","7.90","7.89","7.90","200,300"
07/08/2020,"7.71","7.71","7.71","7.71","1,300"
07/06/2020,"7.61","7.61","7.61","7.61","200"
07/03/2020,"8.01","8.01","8.00","8.00","55,500"
06/30/2020,"8.39","8.39","8.39","8.39","100"
06/15/2020,"8.00","8.39","8.00","8.39","500"
06/05/2020,"8.00","8.00","8.00","8.00","46,100"
06/04/2020,"8.20","8.20","8.20","8.20","1,000"
06/01/2020,"7.50","7.50","7.50","7.50","400"
05/28/2020,"8.39","8.39","8.39","8.39","700"
05/27/2020,"7.05","7.05","7.05","7.05","100"
04/13/2020,"8.50","8.50","8.50","8.50","1,000"
04/06/2020,"7.80","8.50","7.80","8.50","3,300"
03/31/2020,"8.00","8.50","8.00","8.50","600"
03/27/2020,"7.60","7.60","7.60","7.60","500"
03/25/2020,"7.60","7.60","7.60","7.60","500"
03/20/2020,"7.60","7.60","7.60","7.60","800"
03/19/2020,"7.84","7.84","7.84","7.84","1,500"
03/16/2020,"7.84","7.84","7.84","7.84","1,000"
03/13/2020,"7.90","8.96","7.90","8.96","2,200"
03/12/2020,"7.90","7.90","7.90","7.90","10,000"
03/11/2020,"7.98","7.98","7.90","7.90","167,000"
03/09/2020,"7.98","7.98","7.98","7.98","9,300"
03/06/2020,"8.00","8.00","7.98","7.98","6,420,200"
03/02/2020,"8.94","8.94","8.00","8.00","918,600"
02/28/2020,"8.60","8.94","8.60","8.94","1,300"
02/19/2020,"8.01","8.50","8.01","8.50","1,100"
02/18/2020,"8.94","8.94","8.94","8.94","100"
02/17/2020,"8.96","8.96","8.84","8.84","500"
02/14/2020,"8.96","8.96","8.96","8.96","100"
02/13/2020,"8.00","8.00","8.00","8.00","100"
02/12/2020,"8.96","8.96","8.96","8.96","200"
02/10/2020,"8.00","8.00","8.00","8.00","2,000"
02/06/2020,"8.97","8.97","8.00","8.00","3,400"
01/29/2020,"8.03","8.03","8.00","8.00","15,200"
01/28/2020,"8.03","8.03","8.03","8.03","3,300"
