Date,Open,High,Low,Close,Volume
12/11/2023,"1,000.00","1,000.00","1,000.00","1,000.00","10"
11/23/2023,"980.00","1,005.00","980.00","1,005.00","25"
11/22/2023,"990.00","1,005.00","980.00","1,005.00","165"
11/13/2023,"1,004.00","1,004.00","1,004.00","1,004.00","40"
11/08/2023,"1,000.00","1,000.00","1,000.00","1,000.00","50"
11/03/2023,"990.00","999.00","990.00","999.00","20"
10/31/2023,"980.00","999.00","980.00","999.00","20"
10/23/2023,"999.00","999.00","999.00","999.00","10"
10/19/2023,"940.00","999.00","940.00","999.00","30"
10/17/2023,"930.00","999.00","930.00","999.00","60"
10/12/2023,"998.00","998.00","998.00","998.00","200"
09/14/2023,"1,005.00","1,005.00","1,005.00","1,005.00","10"
09/08/2023,"1,000.00","1,000.00","1,000.00","1,000.00","30"
09/05/2023,"1,000.00","1,000.00","1,000.00","1,000.00","10"
09/04/2023,"1,010.00","1,010.00","1,010.00","1,010.00","300"
08/30/2023,"1,000.00","1,000.00","1,000.00","1,000.00","20"
08/22/2023,"1,000.00","1,000.00","1,000.00","1,000.00","200"
08/18/2023,"1,000.00","1,000.00","1,000.00","1,000.00","5"
08/17/2023,"1,000.00","1,000.00","1,000.00","1,000.00","400"
08/16/2023,"1,000.00","1,000.00","1,000.00","1,000.00","850"
08/15/2023,"960.00","990.00","960.00","960.00","1,010"
08/10/2023,"1,010.00","1,010.00","1,010.00","1,010.00","30"
07/31/2023,"981.00","1,010.00","981.00","1,010.00","105"
07/24/2023,"985.00","1,010.00","985.00","1,010.00","2,005"
07/10/2023,"1,000.00","1,000.00","1,000.00","1,000.00","50"
