Date,Open,High,Low,Close,Volume
04/25/2025,"1,010.00","1,010.00","990.00","990.00","100"
04/24/2025,"990.00","990.00","990.00","990.00","200"
04/23/2025,"967.00","967.00","965.00","965.00","1,000"
04/16/2025,"967.00","967.00","967.00","967.00","2,000"
04/14/2025,"968.00","968.00","965.00","965.00","500"
03/31/2025,"965.50","965.50","965.00","965.00","200"
03/10/2025,"1,002.00","1,002.00","993.00","993.00","2,000"
01/27/2025,"1,002.00","1,002.00","1,002.00","1,002.00","6,700"
01/24/2025,"1,015.00","1,015.00","1,015.00","1,015.00","50"
01/23/2025,"1,015.00","1,015.00","1,015.00","1,015.00","65"
01/17/2025,"1,030.00","1,030.00","1,030.00","1,030.00","5"
01/15/2025,"1,010.00","1,010.00","1,010.00","1,010.00","100"
01/13/2025,"1,010.00","1,010.00","1,010.00","1,010.00","10"
01/03/2025,"1,020.00","1,025.00","1,020.00","1,020.00","180"
