Date,Open,High,Low,Close,Volume
12/29/2020,"53.05","54.60","53.05","54.60","11,700"
12/28/2020,"54.00","54.30","53.20","54.20","390"
12/23/2020,"54.00","54.00","53.50","54.00","2,340"
12/22/2020,"54.30","54.30","53.40","53.50","1,280"
12/21/2020,"54.25","54.30","53.80","54.30","2,930"
12/18/2020,"53.95","54.25","53.95","54.25","5,710"
12/17/2020,"53.95","53.95","53.05","53.95","16,580"
12/16/2020,"53.25","53.95","53.25","53.85","1,930"
12/15/2020,"53.80","53.95","53.30","53.95","2,470"
12/14/2020,"53.80","53.80","53.20","53.20","420"
12/11/2020,"53.60","53.80","53.05","53.80","6,540"
12/10/2020,"53.50","53.60","53.50","53.55","3,360"
12/09/2020,"53.50","53.50","52.80","52.85","720"
12/07/2020,"53.00","53.50","53.00","53.50","2,230"
12/04/2020,"53.55","53.55","53.00","53.55","1,510"
12/03/2020,"53.00","53.55","52.75","53.55","3,660"
12/02/2020,"53.10","53.55","53.10","53.50","4,580"
12/01/2020,"53.50","53.50","53.40","53.40","780"
11/27/2020,"53.35","53.40","53.35","53.40","1,130"
11/26/2020,"53.35","53.35","53.20","53.30","1,140"
11/25/2020,"52.55","53.40","52.55","53.30","3,880"
11/24/2020,"53.00","53.45","52.60","52.60","5,260"
11/23/2020,"53.50","53.50","52.55","53.20","2,920"
11/20/2020,"53.00","53.40","52.50","53.20","1,380"
11/19/2020,"53.30","53.30","52.30","53.30","950"
11/18/2020,"53.50","53.50","52.85","53.30","1,570"
11/17/2020,"53.00","53.05","52.65","53.05","16,240"
11/16/2020,"52.50","53.50","52.50","53.35","2,230"
11/13/2020,"53.50","53.50","53.40","53.40","1,510"
11/11/2020,"52.15","53.50","52.15","53.50","6,690"
11/10/2020,"53.00","53.50","52.05","52.10","1,510"
11/09/2020,"53.00","53.50","53.00","53.00","1,640"
11/06/2020,"52.20","52.20","52.00","52.00","560"
11/05/2020,"51.60","52.00","51.60","52.00","740"
11/04/2020,"53.10","53.10","51.10","51.50","1,550"
11/03/2020,"53.30","53.40","53.00","53.40","15,450"
10/30/2020,"53.15","53.30","53.15","53.30","3,050"
10/29/2020,"53.00","53.15","53.00","53.15","4,960"
10/28/2020,"52.85","53.00","52.85","53.00","3,270"
10/27/2020,"52.70","52.80","52.55","52.80","7,640"
10/26/2020,"52.50","52.70","52.50","52.70","6,000"
10/23/2020,"52.30","52.45","51.95","52.45","9,350"
10/22/2020,"51.95","52.00","51.90","51.90","1,510"
10/21/2020,"51.50","52.00","51.00","52.00","9,480"
10/20/2020,"51.50","51.50","51.40","51.50","1,530"
10/19/2020,"51.40","51.45","51.40","51.45","510"
10/16/2020,"51.00","51.60","50.90","51.45","520"
10/15/2020,"51.65","51.70","51.00","51.00","920"
10/14/2020,"51.00","51.70","51.00","51.70","630"
10/13/2020,"51.00","51.00","51.00","51.00","840"
10/12/2020,"51.70","51.70","51.00","51.00","610"
10/09/2020,"51.80","51.80","51.80","51.80","320"
