Date,Open,High,Low,Close,Volume
12/27/2024,"99.00","119.00","99.00","119.00","1,650"
12/26/2024,"98.00","98.00","98.00","98.00","10"
12/16/2024,"95.00","95.00","95.00","95.00","100"
12/11/2024,"91.00","91.00","91.00","91.00","20"
12/09/2024,"91.00","91.00","91.00","91.00","100"
10/03/2024,"85.50","85.50","85.40","85.40","730"
09/24/2024,"115.00","115.00","115.00","115.00","100"
08/09/2024,"100.00","118.80","100.00","118.80","20"
07/09/2024,"118.80","118.80","118.80","118.80","10"
06/20/2024,"118.80","118.80","118.80","118.80","40"
05/03/2024,"85.40","85.40","85.40","85.40","730"
04/26/2024,"85.30","85.30","85.30","85.30","80"
04/24/2024,"85.25","85.25","85.25","85.25","10"
04/15/2024,"118.90","118.90","118.90","118.90","100"
04/05/2024,"119.00","119.00","119.00","119.00","20"
03/06/2024,"95.00","95.00","85.00","85.00","440"
02/08/2024,"110.00","110.00","110.00","110.00","10"
